Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2777425.8245378085,0.0,835727.6762999999,70.57661198684461,4694129.620837809,0.015035079490252356
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2525762.986636412,0.0,886697.5765,70.57661198684461,4493436.683136412,0.01570659986190842
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2367059.759053598,0.0,847314.2681,70.57661198684461,4295350.147153598,0.016430933350943148
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2295729.357991514,0.0,807872.5929,70.57661198684461,4184578.070891514,0.01686588487326476
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2233890.871809452,0.0,847556.6634,70.57661198684461,4162423.655209452,0.016955653204237142
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2334713.662878951,32965.29910235398,865790.2708,70.57661198684461,4314445.352781305,0.01635821205646919
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2049319.624981325,446926.1170612285,912810.7899,70.57661198684461,4490032.651942554,0.015718507516044578
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,1903883.3838939257,934192.4979797006,825133.2086,70.57661198684461,4744185.210473627,0.014876445344299431
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,1929533.9533977855,1197482.664227159,827578.4303,70.57661198684461,5035571.167924944,0.014015612059342175
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2164627.081831783,1358835.318104404,755807.898,70.57661198684461,5360246.417936187,0.013166673037770187
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2152785.882377168,1380493.7627397384,793770.0558,70.57661198684461,5408025.820916907,0.013050346711339972
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2139039.800037574,1435316.2694105585,788130.0724,70.57661198684461,5443462.261848133,0.01296539014911492
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2196796.6425689165,1279019.9185202802,810705.4957000001,70.57661198684461,5367498.176789196,0.013148884203080084
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,1999886.9769099809,1361273.57939719,794377.132,70.57661198684461,5236513.808307172,0.013477785903072066
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,1913009.4042674704,1313138.7728560544,905629.8893,70.57661198684461,5212754.186423525,0.013539217362418404
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2062350.950141232,1139322.7793211313,894236.1394,70.57661198684461,5176885.988862364,0.013633024203871648
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2427134.950685627,895493.1983688644,878469.8466,70.57661198684461,5282074.115654491,0.01336153382961375
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2968671.884172513,664435.7189310046,732363.0446,70.57661198684461,5446446.767703517,0.012958285465186525
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3447464.3513170583,389785.5068952424,627863.0693,70.57661198684461,5546089.0475123,0.012725474001990965
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3617726.484445965,61540.04272443717,696091.307,70.57661198684461,5456333.954170402,0.012934804317265309
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3630177.0604371936,90.73247277594248,631873.4924999999,70.57661198684461,5343117.405409969,0.013208882873392405
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3753675.760607841,0.0,576238.2311,70.57661198684461,5410890.111707842,0.013043438423215082
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3514365.464416434,0.0,570546.7593,70.57661198684461,5165888.343716434,0.013662047510703747
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,3215034.766182814,0.0,566231.6498,70.57661198684461,4862242.535982814,0.01451523889739055
0.0,0.0,0.0,0.0,0.0,70.57661198684461,0.0,0.0,0.0,0.0,0.0,1080976.12,2906591.344454995,0.0,508475.6204,70.57661198684461,4496043.084854995,0.015697494586869785
