Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,54.986845624415835,10.08439796,102.5897708764044,94.62472911789794,0.0,91823.70925925924,27704.39,180615.79379648663,1449305.5087000001,2832312.78,0.0,983783.0234000001,262.2857435787182,5565545.205155746,0.047126693596117944
0.0,54.986845624415835,10.08439796,24.963757635636597,94.62472911789794,0.0,91823.70925925924,27704.39,43950.27752752922,1449305.5087000001,2519729.11,0.0,1195082.7478,184.65973033795038,5327595.743286788,0.03466098766420799
0.0,54.986845624415835,10.08439796,7.800103778786126,94.62472911789794,0.0,91823.70925925924,27704.39,13732.577075327688,1449305.5087000001,2099046.4,0.0,1411123.9488,167.49607648109992,5092736.533834587,0.03288920904670939
0.0,54.986845624415835,10.08439796,1.8325852387862656,94.62472911789794,0.0,91823.70925925924,27704.39,3226.3824626518763,1449305.5087000001,2136866.31,0.0,1252474.4912,161.52855794110005,4961400.791621911,0.03255704683521353
0.0,46.445090750095254,8.517869557592961,0.0,94.62472911789794,0.0,77559.65015136226,23400.740542837804,0.0,1449305.5087000001,1951549.92,0.0,1433317.824,149.58768942558615,4935133.6433942,0.030310767698421507
0.0,54.986845624415835,10.08439796,14.431201433100485,94.62472911789794,0.0,91823.70925925924,27704.39,25407.04477658536,1449305.5087000001,2005607.13,47790.34553235398,1467332.152,174.12717413541426,5114970.280268199,0.03404265608485296
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,1574263.912894731,783588.6823812285,1507173.033,94.62472911789794,5314331.13697596,0.01780557640819927
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,901039.0927553084,1750159.1887797003,1501163.399,94.62472911789794,5601667.189235009,0.01689224402687521
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,840402.9133962514,2399869.446627159,1245298.2096,94.62472911789794,5934876.078323411,0.01594384244407496
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,1036538.580636893,2743773.416504404,1084308.4718,94.62472911789794,6313925.9776412975,0.014986670647229704
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,858734.906124986,2789505.5554397386,1272186.0783000002,94.62472911789794,6369732.048564725,0.014855370429470341
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,818717.9798132476,2808193.7528105583,1336719.2667999999,94.62472911789794,6412936.508123806,0.014755288626049681
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,634375.5736600605,2783769.58312028,1450415.363,94.62472911789794,6317866.028480341,0.014977324414816433
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,527177.219982927,2758240.7788971895,1431754.926,94.62472911789794,6166478.433580116,0.015345019063491802
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,550282.2058278517,2619941.6158560542,1521553.544,94.62472911789794,6141082.874383906,0.015408476168364854
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,710832.3459618194,2367809.937421131,1572871.353,94.62472911789794,6100819.145082951,0.01551016787543394
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,1218648.2940469156,2011369.7806688643,1549507.762,94.62472911789794,6228831.34541578,0.01519140973170492
0.0,0.0,0.0,0.0,94.62472911789794,0.0,0.0,0.0,0.0,1449305.5087000001,1786614.0641613796,1617597.8690310046,1575000.634,94.62472911789794,6428518.075892385,0.01471952446906085
34.911660000000005,42.21880973142233,7.742784185826015,0.0,94.62472911789794,34566.0,70502.09311022455,21271.38512589565,0.0,1449305.5087000001,2562485.36,1015997.4205052424,1402436.985,179.4979830351463,6556564.7524413625,0.027376833725055415
34.911660000000005,54.986845624415835,10.08439796,208.66961318458556,94.62472911789794,34566.0,91823.70925925924,27704.39,367376.07955032674,1449305.5087000001,2915654.6,229038.77249443717,1348500.417,403.2772458868993,6463969.477004023,0.06238848239020673
34.911660000000005,54.986845624415835,10.08439796,189.46106032625258,94.62472911789794,34566.0,91823.70925925924,27704.39,333558.2047997405,1449305.5087000001,3109567.62,3108.3916020559423,1285277.706,384.0686930285664,6334911.530361056,0.060627317554137417
34.911660000000005,54.986845624415835,10.08439796,239.4482089231365,94.62472911789794,34566.0,91823.70925925924,27704.39,421563.74810411356,1449305.5087000001,3111640.28,0.0,1278761.075,434.0558416254503,6415364.711063373,0.0676587943436662
34.911660000000005,54.986845624415835,10.08439796,180.02587997088696,94.62472911789794,34566.0,91823.70925925924,27704.39,316946.9717797306,1449305.5087000001,2916518.77,0.0,1288015.603,374.6335126732007,6124880.95273899,0.06116584396724773
34.911660000000005,54.986845624415835,10.08439796,149.84134747836896,94.62472911789794,34566.0,91823.70925925924,27704.39,263805.1892224806,1449305.5087000001,2750651.63,0.0,1147010.0798,344.4489801806827,5764866.50698174,0.05974968887198445
