Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,39.059835190422916,98.73336694040248,0.0,106.79336803648533,0.0,65226.853977734056,271245.51357253426,0.0,1635684.6464000002,3113010.76,0.0,1121315.9833,244.58657016731073,6206483.757250268,0.03940823495777145
0.0,23.514195177784874,59.43792771982095,0.0,106.79336803648533,0.0,39266.85731744649,163291.01021928832,0.0,1635684.6464000002,2643857.87,0.0,1459031.2079,189.74549093409115,5941131.591836735,0.03193760111201817
0.0,2.571456642260918,6.49999087282205,0.0,106.79336803648533,0.0,4294.130430840949,17857.11778247816,0.0,1635684.6464000002,2132736.83,0.0,1888652.835,115.8648155515683,5679225.559613319,0.02040151677994934
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,2271375.9540425343,0.0,1625704.348,106.79336803648533,5532764.948442535,0.01930198897506888
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1955842.348593556,0.0,1911945.831,106.79336803648533,5503472.8259935565,0.01940472341974463
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,2023930.9686716597,70927.57178235397,1972576.895,106.79336803648533,5703120.081854014,0.018725428625688018
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1097635.958615283,1179168.5629812283,2001558.021,106.79336803648533,5914047.1889965115,0.018057577936676207
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,2258.014247436775,2531999.0118250903,2058665.347,106.79336803648533,6228607.019472527,0.01714562625360962
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,3178.633192650159,3337254.064500247,1624631.78,106.79336803648533,6600749.124092898,0.01617897696591541
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,5274.509532827418,3991932.7875731783,1374361.202,106.79336803648533,7007253.145506006,0.015240403881366212
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,3738.2356758506494,3757762.3873071014,1694096.325,106.79336803648533,7091281.594382952,0.01505981205443555
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,3551.070276905084,3672276.614849542,1835592.914,106.79336803648533,7147105.245526447,0.014942184894133187
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1548.1663685871754,3305663.4691010793,2121575.077,106.79336803648533,7064471.358869666,0.015116965249268496
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1027.321907606849,3157529.202575283,2109997.989,106.79336803648533,6904239.15988289,0.015467796749714094
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1827.355690833472,3080184.893943039,2149032.274,106.79336803648533,6866729.170033872,0.015552290674652972
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,2113.022898345662,2936652.866456134,2234588.119,106.79336803648533,6809038.654754479,0.015684059593627918
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,3885.5576926058857,3094935.8871887554,2177362.927,106.79336803648533,6911869.018281362,0.015450722193089177
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,613859.5123907168,2550373.420331005,2339883.935,106.79336803648533,7139801.514121722,0.014957470151692607
0.0,0.0,0.0,0.0,106.79336803648533,0.0,0.0,0.0,0.0,1635684.6464000002,1941080.73448452,1642311.0582052423,2073530.03,106.79336803648533,7292606.469089762,0.01464406018467289
34.911660000000005,37.9236973264374,95.8614982785687,0.0,106.79336803648533,34566.0,63329.59306530377,263355.76450156234,0.0,1635684.6464000002,2906078.24,396504.1250944372,1903839.501,275.4902236414914,7203357.8700613035,0.03824469485078448
34.911660000000005,52.54808804011482,132.8282526843159,0.0,106.79336803648533,34566.0,87751.17582273063,364912.782099769,0.0,1635684.6464000002,3081015.47,5614.265684215942,1854835.265,327.08136876091606,7064379.605006715,0.046300083949212575
34.911660000000005,40.24778739953471,101.7362091387396,0.0,106.79336803648533,34566.0,67210.64077300605,279495.0800514824,0.0,1635684.6464000002,3245132.16,0.0,1892081.534,283.6890245747596,7154170.061224489,0.03965365963444881
34.911660000000005,40.37543634157262,102.0588733223528,0.0,106.79336803648533,34566.0,67423.80447075663,280381.5201163538,0.0,1635684.6464000002,2918002.37,0.0,1894175.311,284.13933770041075,6830233.65198711,0.0416002368554034
34.911660000000005,37.478994565800214,94.73740237208709,0.0,106.79336803648533,34566.0,62586.97441650085,260267.5889343052,0.0,1635684.6464000002,2784702.26,0.0,1650951.802,273.92142497437266,6428759.271750806,0.04260875441051831
34.911660000000005,25.836829036174954,65.30895763816677,0.0,106.79336803648533,34566.0,43145.47326107179,179420.213291667,0.0,1635684.6464000002,2643188.01,0.0,1408573.381,232.85081471082708,5944577.723952739,0.039170286860341894
