Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3213986.212470247,0.0,1093748.6751,104.24971786820232,5904460.096670248,0.017656096605173564
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2666664.7521317936,0.0,1388630.6972,104.24971786820232,5652020.6584317945,0.018444680967802295
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2068707.429109452,0.0,1737427.017,104.24971786820232,5402859.655209452,0.019295285186185514
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2156261.6566110626,0.0,1510539.333,104.24971786820232,5263526.198711063,0.019806060411313445
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,1888154.7779558536,0.0,1750779.521,104.24971786820232,5235659.508055854,0.01991147776279156
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,1969205.911424832,55503.26701235397,1804783.249,104.24971786820232,5426217.636537186,0.019212225688524112
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,1313734.029484799,880441.0963812285,1844915.423,104.24971786820232,5635815.757966027,0.0184977157425434
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,434255.7047896856,2030210.9504797002,1874659.65,104.24971786820232,5935851.514369385,0.017562723328883274
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,437015.0773720119,2759922.335227159,1493664.531,104.24971786820232,6287327.152699171,0.016580927846811276
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,652105.4462363904,3160594.791704404,1278328.3426,104.24971786820232,6687753.7896407945,0.015588151290749247
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,372793.28183495183,3222366.0032397388,1554528.075,104.24971786820232,6746412.569174691,0.015452615267636308
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,256883.1828405694,3269466.062410559,1668078.822,104.24971786820232,6791153.276351129,0.015350812097148758
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,4950.033183819614,3216088.480968205,1876042.264,104.24971786820232,6693805.987252025,0.015574057280228919
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,4537.396394014824,3090970.3305773404,1848037.025,104.24971786820232,6540269.961071355,0.015939665868337533
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,4735.636089665466,3008329.2208501277,1899074.095,104.24971786820232,6508864.161039793,0.016016576055191235
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,73827.47242543707,2800963.6668211306,1989147.01,104.24971786820232,6460663.3583465675,0.016136070258717557
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,659128.4598115368,2390482.7193688643,1951842.317,104.24971786820232,6598178.705280401,0.01579977180441827
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,1253236.6973344055,1911063.4088310045,2051529.455,104.24971786820232,6812554.77026541,0.015302587851949243
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2351056.83758414,1173356.4094052422,1831028.398,104.24971786820232,6952166.854089382,0.014995284212271297
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3268563.0513621373,266121.96826443716,1725337.509,104.24971786820232,6856747.737726575,0.015203959931996476
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3452771.013841385,3241.9869550159424,1667940.395,104.24971786820232,6720678.604896402,0.015511784448708854
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3518935.191548765,0.0,1690369.116,104.24971786820232,6806029.516648766,0.01531725914693565
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3202385.534999892,0.0,1698745.953,104.24971786820232,6497856.697099892,0.016043708368442596
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,3029591.742237271,0.0,1489602.155,104.24971786820232,6115919.106337271,0.017045633870497
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2788310.882273791,0.0,1270263.0010000002,104.24971786820232,5655299.092373791,0.018433988400150893
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,2003234.4663672391,0.0,1779950.94,104.24971786820232,5379910.615467239,0.019377592922916687
0.0,0.0,0.0,0.0,104.24971786820232,0.0,0.0,0.0,0.0,1596725.2091,1599720.7482716432,0.0,2012986.077,104.24971786820232,5209432.034371643,0.020011724345450035
