Emissions_tCO2_coal_dispatched,Emissions_tCO2_cogen_gas,Emissions_tCO2_cogen_wood,Emissions_tCO2_gas_ccgt_dispatched,Emissions_tCO2_gas_ocgt_dispatched,Emissions_tCO2_geothermal_dispatched,kWh_coal_dispatched,kWh_cogen_gas,kWh_cogen_wood,kWh_gas_ccgt_dispatched,kWh_gas_ocgt_dispatched,kWh_geothermal_dispatched,kWh_hydro_dispatched,kWh_solar_dispatched,kWh_wind_dispatched,Total_Emissions_tCO2_,Total_kWh_,EF_tCO2_per_MWh_
0.0,36.54045375130042,92.36500898704602,0.0,0.0,93.35346021390193,0.0,61019.68504210707,253750.0246896869,0.0,0.0,1429834.3087,2672137.67,0.0,985121.97,222.25892295224838,5401863.658431794,0.041144859812469244
0.0,18.690555562097945,47.244988916007145,0.0,0.0,93.35346021390193,0.0,31211.75838219116,129793.92559342623,0.0,0.0,1429834.3087,2374399.51,0.0,1205672.739,159.289004692007,5170912.241675617,0.030804816877029406
0.0,13.811888702677605,34.912955182049295,0.0,0.0,93.35346021390193,0.0,23064.76827601054,95914.71203859696,0.0,0.0,1429834.3087,1953250.47,0.0,1440895.9353999998,142.07830409862882,4942960.194414607,0.02874356630651668
0.0,17.524708573585524,44.29802311464136,0.0,0.0,93.35346021390193,0.0,29264.88556746085,121697.86569956418,0.0,0.0,1429834.3087,1968959.64,0.0,1265730.3097,155.1761919021288,4815487.009667025,0.03222440255588162
0.0,25.091689531124064,63.42543376216185,0.0,0.0,93.35346021390193,0.0,41901.14886871203,174245.6971487963,0.0,0.0,1429834.3087,1691934.88,0.0,1452076.338,181.87058350718786,4789992.372717508,0.0379688670368398
0.0,0.0,0.0,20.043732231217625,0.0,93.35346021390193,0.0,0.0,0.0,50109.33057804406,0.0,1429834.3087,1947262.85,44686.22782235398,1492764.468,113.39719244511954,4964657.185100398,0.02284089076390606
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1505301.4603458229,688550.7347812286,1537151.634,93.35346021390193,5160838.137827052,0.018088817692160367
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,990237.7349485244,1496732.1555797004,1527789.37,93.35346021390193,5444593.569228224,0.017146084281022808
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1011811.2056118092,2094563.757227159,1233459.3448,93.35346021390193,5769668.616338968,0.016180038477346306
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1263668.5144451463,2372452.171404404,1073903.2863,93.35346021390193,6139858.28084955,0.015204497554133275
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1036603.6722652648,2439093.9830397386,1287853.8272000002,93.35346021390193,6193385.791205003,0.015073089802748879
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,964013.2211987876,2481580.179510559,1359261.2524,93.35346021390193,6234688.961809346,0.014973234556806207
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,871638.5929275266,2358934.16262028,1485133.028,93.35346021390193,6145540.0922478065,0.015190440353917983
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,759228.5763899845,2348807.7327971896,1460314.128,93.35346021390193,5998184.745887173,0.015563618689456405
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,795699.9645603789,2217252.211556054,1530603.506,93.35346021390193,5973389.990816433,0.015628221220684527
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,891299.4595988381,2011544.1223211312,1599973.562,93.35346021390193,5932651.452619969,0.015735537635988256
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1349889.0807237746,1696245.1710688642,1579373.666,93.35346021390193,6055342.226492639,0.015416710851695974
0.0,0.0,0.0,0.0,0.0,93.35346021390193,0.0,0.0,0.0,0.0,0.0,1429834.3087,1819404.5752256028,1374779.2933310047,1622719.365,93.35346021390193,6246737.542256608,0.014944354486226483
0.0,0.0,0.0,22.308371553693522,0.0,93.35346021390193,0.0,0.0,0.0,55770.92888423381,0.0,1429834.3087,2539506.0,889820.4879052422,1452410.283,115.66183176759544,6367342.008489476,0.01816485302868691
0.0,11.891292542803551,30.05817470300449,166.11,0.0,93.35346021390193,0.0,19857.52368167038,82577.40303023212,415275.0,0.0,1429834.3087,2738713.11,201303.62070443717,1387067.194,301.41292745971,6274628.16011634,0.048036779195234636
34.911660000000005,0.47562500156635246,1.2022594969165235,166.11,0.0,93.35346021390193,34566.0,794.2563601224477,3302.9107058146246,415275.0,0.0,1429834.3087,2939151.44,3021.0745581859424,1322658.252,296.05300471238485,6148603.242324124,0.04814963546102531
34.911660000000005,16.357238802391286,41.34695532981337,166.11,0.0,93.35346021390193,34566.0,27315.302833231177,113590.5366203664,415275.0,0.0,1429834.3087,2882329.16,0.0,1323779.839,352.0793143461066,6226690.147153597,0.05654357387721507
34.911660000000005,3.95936732233836,10.008277423150062,166.11,0.0,93.35346021390193,34566.0,6611.832152371656,27495.26764601666,415275.0,0.0,1429834.3087,2696662.9,0.0,1334304.148,308.34276495939037,5944749.456498388,0.051868084133021186
