house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,4,HP,300,C0,635.1496666,2708.608941,68.30839697,0.135525193,802.9411765,Mod-Nom-Ideal-AK-4-R-HP-C0-2024-Hlow,4025.6604506000003,6099.1197250000005,1.957843177,586.98816017,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,4,HPo,360,C0,661.2466487,2819.645139,71.32562722,0.148237232,864.7058824,Mod-Nom-Ideal-AK-4-R-HPo-C0-2024-Hlow,4051.7574327,6210.155923,1.970555216,590.00539042,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,5,HP,300,C0,747.760984,3186.809617,80.60241875,0.173343892,802.9411765,Mod-Nom-Ideal-AK-5-R-HP-C0-2024-Hlow,4138.2717680000005,6577.320401,1.9956618759999998,599.28218195,2389.0588235,R-HP
Mod,Nom,Ideal,AK,2024,Hlow,R,NA,12,3390.510784,3390.510784,518.6797632,1.822317984,1586.117647,5,HPo,360,C0,773.8495193,3297.56996,83.64623848,0.181698996,864.7058824,Mod-Nom-Ideal-AK-5-R-HPo-C0-2024-Hlow,4164.3603033,6688.080744,2.00401698,602.32600168,2450.8235294,R-HPo
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,1,HP,135,C0,234.3015847,996.6101491,13.39896224,0.053704028,494.1176471,Mod-Nom-Ideal-AK-1-R-HP-C0-2025-Hhigh,3624.8123687,4387.1209331,1.876022012,247.60235094,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,1,HPo,162,C0,243.1903742,1034.464362,13.95187364,0.05320211,555.8823529,Mod-Nom-Ideal-AK-1-R-HPo-C0-2025-Hhigh,3633.7011582,4424.975146,1.8755200939999999,248.15526234,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,2,HP,135,C0,346.2037848,1473.307538,20.198766,0.096266879,494.1176471,Mod-Nom-Ideal-AK-2-R-HP-C0-2025-Hhigh,3736.7145688,4863.818322,1.918584863,254.4021547,2080.2352941,R-HP
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,2,HPo,162,C0,355.2147967,1511.447369,20.7705137,0.095305414,555.8823529,Mod-Nom-Ideal-AK-2-R-HPo-C0-2025-Hhigh,3745.7255807,4901.958153,1.917623398,254.97390240000001,2141.9999999,R-HPo
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,3,HP,180,C0,473.6227091,2014.038439,28.32817447,0.123087459,617.6470588,Mod-Nom-Ideal-AK-3-R-HP-C0-2025-Hhigh,3864.1334931,5404.549223,1.9454054429999998,262.53156317,2203.7647058000002,R-HP
Mod,Nom,Ideal,AK,2025,Hhigh,R,NA,12,3390.510784,3390.510784,234.2033887,1.822317984,1586.117647,3,HPo,216,C0,488.2653678,2076.177865,29.23583014,0.126466521,648.5294118,Mod-Nom-Ideal-AK-3-R-HPo-C0-2025-Hhigh,3878.7761518,5466.688649,1.948784505,263.43921884,2234.6470588,R-HPo
