house_type,insulation,schedule,Loc_code,Grid_year,Hydro_resource,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,kgCO2_SH,P_avg_peak_kW_SH,Embodied_SH,Occ_code,DW_code,Tank_Volume (L),CS_code,P_annual_kWh_WH,Q_annual_kWh_WH,kgCO2_WH,P_avg_peak_kW_WH,Embodied_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,kgCO2_total,Embodied,SH_DW_code
Mod,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1750.130922,5913.333333,0.701938818,157.3933643,3698.655882,HYD200-HYD200
Mod,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1634.655727,4782.808333,0.711559229,144.2573267,3101.313971,HYD200-HYD200
Mod,Nom,Real,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1635.72128,5596.666667,0.729725266,148.9207399,3698.655882,HYD200-HYD200
Mod,H1,Real,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1604.055841,4705.6,0.717477958,142.0507287,3101.313971,HYD200-HYD200
Mod,Nom,Ideal,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Ideal-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,5120.410049,13493.9,1.965812625,498.9397834,4008.251471,HYD200-HYD200
Mod,H1,Ideal,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Ideal-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,4131.809983,11027.45587,1.719953326,403.3707963,3698.655882,HYD200-HYD200
Mod,Nom,Real,CH,2024,Hhigh,HYD200,14,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-Nom-Real-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,4259.241114,11491.66667,2.098004311,423.1336948,4008.251471,HYD200-HYD200
Mod,H1,Real,CH,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mod-H1-Real-CH-4-HYD200-HYD200-Crenew-2024-Hhigh,3622.638957,9927.026667,1.854838862,358.7710778,3698.655882,HYD200-HYD200
Mass,Nom,Ideal,AK,2024,Hhigh,HYD200,11.2,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-Nom-Ideal-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,1454.009316,4973.833333,0.469113809,135.0020656,3121.155882,HYD200-HYD200
Mass,H1,Ideal,AK,2024,Hhigh,HYD200,8.5,NA,NA,NA,NA,NA,NA,4,HYD200,200,Crenew,NA,NA,NA,NA,NA,Mass-H1-Ideal-AK-4-HYD200-HYD200-Crenew-2024-Hhigh,983.0987267,3056.316667,0.256645984,86.61904118,2622.251471,HYD200-HYD200
