house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life
Mass,H1,Real,AK,Hhigh,HYD500-HYD500,4,NA,NA,22030.015917,1041.63931188,NA,NA,3117.660561,4159.29987288
Mass,H1,Real,AK,Hhigh,HYD500-HYD500,5,NA,NA,25102.841178,1212.10068974,NA,NA,3117.660561,4329.76125074
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,3,NA,NA,21138.9070765,1268.977192,NA,NA,3742.887834,5011.865026
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,4,NA,NA,24164.467694,1404.17557755,NA,NA,3742.887834,5147.06341155
Mass,H1,Real,AK,Hlow,HYD1000-HYD1000,5,NA,NA,27203.440384999998,1588.28639831,NA,NA,3742.887834,5331.174232310001
Mass,H1,Real,AK,Hlow,HYD200-HYD200,3,NA,NA,18395.911283999998,1425.74248288,NA,NA,2622.251471,4047.99395388
Mass,H1,Real,AK,Hlow,HYD200-HYD200,4,NA,NA,21533.671548000002,1609.0209489,NA,NA,2622.251471,4231.2724199
Mass,H1,Real,AK,Hlow,HYD200-HYD200,5,NA,NA,24805.933988,1825.8249250000001,NA,NA,2622.251471,4448.076396
Mass,H1,Real,AK,Hlow,HYD500-HYD500,3,NA,NA,18980.4855376,1271.88827644,NA,NA,3117.660561,4389.54883744
Mass,H1,Real,AK,Hlow,HYD500-HYD500,4,NA,NA,22032.953765000002,1427.98677463,NA,NA,3117.660561,4545.64733563
Mass,H1,Real,AK,Hlow,HYD500-HYD500,5,NA,NA,25105.369057,1623.92582366,NA,NA,3117.660561,4741.5863846600005
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,3,NA,NA,35264.614578,1975.09266711,NA,NA,3742.887834,5717.98050111
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,4,NA,NA,38533.761311,2118.77469421,NA,NA,3742.887834,5861.662528209999
Mass,H1,Real,CH,Hhigh,HYD1000-HYD1000,5,NA,NA,41842.197685,2300.03745455,NA,NA,3742.887834,6042.92528855
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,3,NA,NA,30326.246585,2095.6793431,NA,NA,3081.780882,5177.4602251
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,4,NA,NA,33305.812574,2253.2913423,NA,NA,3081.780882,5335.0722243
Mass,H1,Real,CH,Hhigh,HYD200-HYD200,5,NA,NA,36421.909867,2437.8640990999997,NA,NA,3081.780882,5519.6449811
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,3,NA,NA,32105.88271,1953.01663396,NA,NA,3117.660561,5070.677194960001
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,4,NA,NA,35344.150873,2112.20730197,NA,NA,3117.660561,5229.867862970001
Mass,H1,Real,CH,Hhigh,HYD500-HYD500,5,NA,NA,38705.373437,2307.1501922,NA,NA,3117.660561,5424.8107532
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,3,NA,NA,35288.090931,2767.4569541,NA,NA,3742.887834,6510.3447881
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,4,NA,NA,38562.706164,2938.7666091,NA,NA,3742.887834,6681.6544431
Mass,H1,Real,CH,Hlow,HYD1000-HYD1000,5,NA,NA,41868.500369,3156.4494145,NA,NA,3742.887834,6899.3372485
Mass,H1,Real,CH,Hlow,HYD200-HYD200,3,NA,NA,30330.234464999998,2821.8759611,NA,NA,3081.780882,5903.6568431
