house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2024,5619,2024,838.32767,2560.2,3.134540969,346.5894433,0.314774422,108.4809382,0.129401596,8.239260984,1,-248.5284746,60,C0,9,1585.376471,0,1036.875,2622.251471,108.4809382,131.11257355,838.32767,0.314774422
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2024,5635,2024,980.361416,3038.75,3.169312833,345.7151234,0.289121497,122.3324782,0.12478304,79.37210867,6,-160.0313387,54,C0,9,1585.376471,0,1036.875,2622.251471,122.3324782,131.11257355,980.361416,0.289121497
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2024,5651,2024,1128.397663,3517.441667,3.177912529,344.9700602,0.406085421,138.9376435,0.123128262,142.8093685,6,-189.7438122,68,C0,9,1585.376471,0,1036.875,2622.251471,138.9376435,131.11257355,1128.397663,0.406085421
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,5667,2024,856.1572906,2765.215656,3.313222962,554.375552,0.316619626,108.3753863,0.1265835,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,108.3753863,155.88302805,856.1572906,0.316619626
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,5683,2024,995.0054232,3239.093111,3.327443171,548.8548898,0.329118596,121.7065683,0.122317492,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,121.7065683,155.88302805,995.0054232,0.329118596
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,5699,2024,1135.606616,3714.364622,3.334111665,545.5916777,0.379981414,137.0694255,0.120701503,0,0,0,0,C0,5,1585.376471,495.4090909,1036.875,3117.660561,137.0694255,155.88302805,1135.606616,0.379981414
Mass,H1,Ideal,AK,Hlow,R,NA,NA,7,NA,NA,2024,349,2024,538.93399,538.93399,NA,NA,0.329935168,84.36795373,0.156545988,NA,NA,NA,NA,C0,NA,NA,NA,NA,1057.411765,84.36795373,52.870588250000004,538.93399,0.329935168
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,2024,337,2024,86.39709665,86.39709665,NA,NA,0.03777853,15.24123765,0.176409142,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,15.24123765,26.43529412,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,2024,325,2024,452.5368934,452.5368934,NA,NA,0.292156638,69.12671608,0.152753769,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,69.12671608,26.43529412,452.5368934,0.292156638
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8.5,NA,2024,924,2024,584.3428324,1918.650708,3.283433289,NA,0.342511423,61.66079783,0.105521612,NA,NA,NA,NA,C0,NA,NA,NA,NA,1042.909725,61.66079783,52.14548625,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,2024,732,2024,379.1447511,1250.165598,3.297330623,NA,0.261959279,39.25208842,0.103527975,NA,NA,NA,NA,C0,NA,NA,NA,NA,741.1764706,39.25208842,37.05882353,379.1447511,0.261959279
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,5575,2024,1693.982598,4561.500326,2.820552299,974.1031087,0.74201537,170.5694652,0.100691392,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,170.5694652,187.1443917,1693.982598,0.74201537
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,5591,2024,1843.938778,5033.442435,2.848270194,966.6977832,0.754874597,184.8833921,0.100265472,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,184.8833921,187.1443917,1843.938778,0.754874597
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,5607,2024,1994.030476,5506.922867,2.872251362,961.993413,0.836702038,198.3478315,0.099470812,0,0,0,0,C0,5,1585.376471,1120.636364,1036.875,3742.887834,198.3478315,187.1443917,1994.030476,0.836702038
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,5479,2024,1443.164556,3985.185867,2.916519196,391.7092306,0.644914674,148.0195599,0.102565961,0,0,-184.5926599,56,C0,12,2044.905882,0,1036.875,3081.780882,148.0195599,154.0890441,1443.164556,0.644914674
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,5495,2024,1578.011496,4463.869333,2.973404391,390.9890882,0.632248332,161.0133784,0.102035618,37.09402899,5,-95.13898551,48,C0,12,2044.905882,0,1036.875,3081.780882,161.0133784,154.0890441,1578.011496,0.632248332
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,5511,2024,1718.371319,4942.5366,3.010758074,390.3155868,0.752021298,173.3904523,0.100903949,40.96967998,2,-249.6029066,101,C0,12,2044.905882,0,1036.875,3081.780882,173.3904523,154.0890441,1718.371319,0.752021298
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,5527,2024,1525.263097,4220.4,2.913600461,629.9121468,0.657096249,152.7523891,0.100148223,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,152.7523891,155.88302805,1525.263097,0.657096249
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,5543,2024,1672.957156,4695.6,2.941716117,625.7135286,0.678221924,166.7275965,0.09966041,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,166.7275965,155.88302805,1672.957156,0.678221924
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,5559,2024,1826.105973,5171.8,2.956395576,623.3202958,0.757206801,180.0180153,0.098580268,0,0,0,0,C0,6,1585.376471,495.4090909,1036.875,3117.660561,180.0180153,155.88302805,1826.105973,0.757206801
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2024,492,2024,1918.650708,1918.650708,NA,NA,1.111468888,199.1068121,0.103774393,NA,NA,NA,NA,C0,NA,NA,NA,NA,1057.411765,199.1068121,52.870588250000004,1918.650708,1.111468888
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,2024,480,2024,668.4851098,668.4851098,NA,NA,0.280849937,71.99046394,0.107691948,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,71.99046394,26.43529412,668.4851098,0.280849937
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,2024,468,2024,1250.165598,1250.165598,NA,NA,0.830618951,127.1163481,0.101679608,NA,NA,NA,NA,C0,NA,NA,NA,NA,528.7058824,127.1163481,26.43529412,1250.165598,0.830618951
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8.5,NA,2024,925,2024,584.3428324,1918.650708,3.283433289,NA,0.342511423,90.90604624,0.155569712,NA,NA,NA,NA,C0,NA,NA,NA,NA,1042.909725,90.90604624,52.14548625,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,2024,733,2024,379.1447511,1250.165598,3.297330623,NA,0.261959279,56.32988211,0.148570914,NA,NA,NA,NA,C0,NA,NA,NA,NA,741.1764706,56.32988211,37.05882353,379.1447511,0.261959279
