house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,2211,2024,855.9948479,2765.014644,3.313627064,554.1665909,0.013197407,108.427935,0.126668911,0,0,-80.91344065,102,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,108.427935,155.88302805,855.9948479,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,2227,2024,994.802354,3238.832356,3.327869523,548.6501756,0.013197407,121.7619847,0.122398167,0,0,-264.6854489,164,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,121.7619847,155.88302805,994.802354,0.013197407
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,2243,2024,1135.403051,3714.100544,3.334483917,545.3829219,0.013197407,137.1088991,0.12075791,57.29049608,5,-271.95755810000003,151,Cpeak,5,1585.376471,495.4090909,1036.875,3117.660561,137.1088991,155.88302805,1135.403051,0.013197407
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2119,2024,1692.888801,4561.021166,2.822164751,973.624281,0.044458756,170.2117974,0.100545173,0,0,-4.219278958,15,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,170.2117974,187.1443917,1692.888801,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2135,2024,1842.953974,5032.907964,2.849555726,966.2032206,0.044458756,184.5345314,0.100129756,0,0,-37.24081689,44,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,184.5345314,187.1443917,1842.953974,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2151,2024,1992.905448,5506.456602,2.873694405,961.5275417,0.044458756,197.9881408,0.09934648,0,0,-70.48573652,60,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,197.9881408,187.1443917,1992.905448,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2023,2024,1442.569673,3984.847933,2.917542063,391.4482313,0.044458756,147.9155928,0.102536186,0,0,-6188.674559,548,Cpeak,12,2044.905882,0,1036.875,3081.780882,147.9155928,154.0890441,1442.569673,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2039,2024,1577.452273,4463.534,2.97428895,390.6864192,0.044458756,160.9051518,0.102003182,37.69224773,5,-6158.011035,531,Cpeak,12,2044.905882,0,1036.875,3081.780882,160.9051518,154.0890441,1577.452273,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2055,2024,1717.170709,4940.5332,3.011740348,389.9802267,0.044458756,173.1504209,0.100834716,1539.114033,12,-7290.845228,651,Cpeak,12,2044.905882,0,1036.875,3081.780882,173.1504209,154.0890441,1717.170709,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,2071,2024,1524.734491,4220,2.914387862,629.5145403,0.044458756,152.5823628,0.100071431,0,0,-1091.118609,281,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,152.5823628,155.88302805,1524.734491,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,2087,2024,1672.448542,4695.2,2.942403086,625.3171672,0.044458756,166.5311622,0.099573265,0,0,-1339.656037,297,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,166.5311622,155.88302805,1672.448542,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,2103,2024,1825.648709,5171.3,2.956882654,622.9206023,0.044458756,179.8669654,0.098522221,37.71545012,4,-1802.80392,359,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,179.8669654,155.88302805,1825.648709,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2263,2024,1692.888801,4561.021166,2.822164751,973.624281,0.044458756,247.0175725,0.145914825,0,0,-4.219278958,15,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,247.0175725,187.1443917,1692.888801,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2279,2024,1842.953974,5032.907964,2.849555726,966.2032206,0.044458756,262.2498268,0.142298631,0,0,-37.24081689,44,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,262.2498268,187.1443917,1842.953974,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2295,2024,1992.905448,5506.456602,2.873694405,961.5275417,0.044458756,278.8707512,0.139931752,0,0,-70.48573652,60,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,278.8707512,187.1443917,1992.905448,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,2167,2024,1442.569673,3984.847933,2.917542063,391.4482313,0.044458756,219.2622281,0.151994203,0,0,-6188.674559,548,Cpeak,12,2044.905882,0,1036.875,3081.780882,219.2622281,154.0890441,1442.569673,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,2183,2024,1577.452273,4463.534,2.97428895,390.6864192,0.044458756,233.0755419,0.147754418,37.69224773,5,-6158.011035,531,Cpeak,12,2044.905882,0,1036.875,3081.780882,233.0755419,154.0890441,1577.452273,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,2199,2024,1717.170709,4940.5332,3.011740348,389.9802267,0.044458756,249.1080513,0.145068891,1539.114033,12,-7290.845228,651,Cpeak,12,2044.905882,0,1036.875,3081.780882,249.1080513,154.0890441,1717.170709,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,2215,2024,1524.734491,4220,2.914387862,629.5145403,0.044458756,221.7442426,0.145431381,0,0,-1091.118609,281,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,221.7442426,155.88302805,1524.734491,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,2231,2024,1672.448542,4695.2,2.942403086,625.3171672,0.044458756,236.4749384,0.141394448,0,0,-1339.656037,297,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,236.4749384,155.88302805,1672.448542,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,2247,2024,1825.648709,5171.3,2.956882654,622.9206023,0.044458756,253.3528013,0.138774125,37.71545012,4,-1802.80392,359,Cpeak,6,1585.376471,495.4090909,1036.875,3117.660561,253.3528013,155.88302805,1825.648709,0.044458756
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2117,2024,944.9487842,3060.336244,3.3129928,861.2218757,0.013192721,83.56293271,0.088431176,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,83.56293271,187.1443917,944.9487842,0.013192721
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2133,2024,1082.805403,3530.329478,3.325497811,851.9196735,0.013192721,96.37502,0.089004931,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,96.37502,187.1443917,1082.805403,0.013192721
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2149,2024,1222.652567,4002.047256,3.331038106,845.3853941,0.013192721,108.4655922,0.088713339,0,0,0,0,Cpeak,5,1585.376471,1120.636364,1036.875,3742.887834,108.4655922,187.1443917,1222.652567,0.013192721
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,2021,2024,834.6044157,2551.275,3.136582266,346.3149364,0.013192721,74.51716329,0.089284411,8.163404923,1,-1830.660813,334,Cpeak,9,1585.376471,0,1036.875,2622.251471,74.51716329,131.11257355,834.6044157,0.013192721
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,2037,2024,976.5543808,3029.825,3.171451677,345.3898156,0.013192721,87.65258802,0.089756996,83.27784492,7,-1815.75271,283,Cpeak,9,1585.376471,0,1036.875,2622.251471,87.65258802,131.11257355,976.5543808,0.013192721
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,2053,2024,1124.070651,3506.675,3.179620692,344.6073294,0.013192721,100.1224149,0.089071283,1570.878412,15,-2194.129894,303,Cpeak,9,1585.376471,0,1036.875,2622.251471,100.1224149,131.11257355,1124.070651,0.013192721
