house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1465.59844787,24901.08995,3429.4266171,4895.02506497
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1646.0660972,20788.8732524,4117.1766174,5763.242714600001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1817.50521109,23821.718866000003,4117.1766174,5934.68182849
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2018.19601547,26898.356474,4117.1766174,6135.37263287
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1485.15017006,18361.2971454,2884.4766181,4369.62678816
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1659.04723263,21484.1963776,2884.4766181,4543.52385073
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1870.12443728,24729.554322,2884.4766181,4754.60105538
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1496.48411179,18757.2566192,3429.4266171,4925.9107288899995
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1665.8777880300001,21808.8445564,3429.4266171,5095.30440513
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1862.57897413,24901.08995,3429.4266171,5292.0055912299995
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2497.4983297,35792.82102,4117.1766174,6614.6749471
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2675.9226468,39079.33029,4117.1766174,6793.0992642
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2872.5082824,42382.727794,4117.1766174,6989.6848998000005
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2149.9304736,30326.20833,3389.9589702,5539.8894438
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2303.63530255,33291.318654,3389.9589702,5693.59427275
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2478.1371196,36357.21573,3389.9589702,5868.096089799999
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2236.7037365,32329.996160000002,3429.4266171,5666.1303536
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2405.26443025,35577.81656,3429.4266171,5834.691047349999
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2598.4703091,38949.22438,3429.4266171,6027.8969262
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3280.2095406999997,35792.82102,4117.1766174,7397.3861581
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3480.6825108,39079.33029,4117.1766174,7597.8591282
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3699.4066444,42382.727794,4117.1766174,7816.5832618
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2870.6732124,30326.20833,3389.9589702,6260.6321826
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3050.4200259,33291.318654,3389.9589702,6440.3789961
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3250.7024772,36357.21573,3389.9589702,6640.6614474
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2943.355238,32329.996160000002,3429.4266171,6372.7818551
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,3135.3402829,35577.81656,3429.4266171,6564.7669000000005
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3352.7132917,38949.22438,3429.4266171,6782.1399088
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2437.0892164,36533.080848,4160.4891174,6597.5783338
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2595.6025574,39480.895476000005,4160.4891174,6756.0916748
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2779.9529595,42573.501255999996,4160.4891174,6940.442076900001
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,1963.6911359399999,29440.653616,3433.2714702,5396.9626061399995
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2088.15704925,31966.367928,3433.2714702,5521.42851945
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2236.20157225,34601.606886,3433.2714702,5669.473042449999
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2412.64933935,36178.810998,3472.7391171,5885.38845645
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2572.1118909,39292.773740000004,3472.7391171,6044.851008
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2757.1663264,42546.029548,3472.7391171,6229.9054435
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,6,1000,3410.7859485999998,36533.080848,4160.4891174,7571.275066
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,4,NA,6,1000,3590.9770101,39480.895476000005,4160.4891174,7751.4661275
Mass,Nom,Ideal,AK,Hlow,HYD1000,HYD1000,5,NA,6,1000,3799.959127,42573.501255999996,4160.4891174,7960.4482444000005
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,3,NA,11.2,200,2804.2808839,29440.653616,3433.2714702,6237.5523541
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,4,NA,11.2,200,2948.0264929,31966.367928,3433.2714702,6381.2979631
Mass,Nom,Ideal,AK,Hlow,HYD200,HYD200,5,NA,11.2,200,3121.2210016,34601.606886,3433.2714702,6554.4924718
