house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,3847,2024,1675.375323,4655.728466,2.912325253,1064.029498,0.540904067,157.3987867,0.093948374,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,157.3987867,187.1443917,1675.375323,0.540904067
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,3863,2024,1825.870832,5124.475551,2.929736941,1053.856924,0.552432646,171.052194,0.093682527,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,171.052194,187.1443917,1825.870832,0.552432646
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,3879,2024,1975.052136,5591.875753,2.945718676,1045.165481,0.587514791,184.2747704,0.093301218,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,184.2747704,187.1443917,1975.052136,0.587514791
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,3751,2024,1441.497526,4001.178467,2.931800019,408.0981785,0.616763173,146.6497182,0.101734284,0,0,-211.5923297,62,Crenew,12,2044.905882,0,1036.875,3081.780882,146.6497182,154.0890441,1441.497526,0.616763173
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,3767,2024,1576.944442,4479.5274,2.985956631,406.7344118,0.60005682,159.6596173,0.10124619,41.00688339,3,-62.68824268,37,Crenew,12,2044.905882,0,1036.875,3081.780882,159.6596173,154.0890441,1576.944442,0.60005682
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,3783,2024,1717.641721,4958.358333,3.021738892,406.0436553,0.724804641,172.1339561,0.100215286,0,0,-170.4501678,77,Crenew,12,2044.905882,0,1036.875,3081.780882,172.1339561,154.0890441,1717.641721,0.724804641
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,3799,2024,1519.04094,4275.5,2.964372934,683.3853298,0.523798502,146.3534656,0.096345965,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,146.3534656,155.88302805,1519.04094,0.523798502
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,3815,2024,1665.893505,4748.4,2.988017203,677.4816248,0.51436088,159.9059112,0.095988075,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,159.9059112,155.88302805,1665.893505,0.51436088
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,3831,2024,1817.951903,5221.1,2.998554092,673.3069672,0.597195188,173.1580901,0.095248994,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,173.1580901,155.88302805,1817.951903,0.597195188
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,3991,2024,1675.375323,4655.728466,2.912325253,1064.029498,0.540904067,234.5213358,0.139981372,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,234.5213358,187.1443917,1675.375323,0.540904067
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,4007,2024,1825.870832,5124.475551,2.929736941,1053.856924,0.552432646,249.0251422,0.136387053,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,249.0251422,187.1443917,1825.870832,0.552432646
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,4023,2024,1975.052136,5591.875753,2.945718676,1045.165481,0.587514791,265.5901415,0.134472471,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,265.5901415,187.1443917,1975.052136,0.587514791
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,3895,2024,1441.497526,4001.178467,2.931800019,408.0981785,0.616763173,218.0951733,0.15129764,0,0,-211.5923297,62,Crenew,12,2044.905882,0,1036.875,3081.780882,218.0951733,154.0890441,1441.497526,0.616763173
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,3911,2024,1576.944442,4479.5274,2.985956631,406.7344118,0.60005682,232.1551043,0.147218316,41.00688339,3,-62.68824268,37,Crenew,12,2044.905882,0,1036.875,3081.780882,232.1551043,154.0890441,1576.944442,0.60005682
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,3927,2024,1717.641721,4958.358333,3.021738892,406.0436553,0.724804641,248.185391,0.144491944,0,0,-170.4501678,77,Crenew,12,2044.905882,0,1036.875,3081.780882,248.185391,154.0890441,1717.641721,0.724804641
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,3943,2024,1519.04094,4275.5,2.964372934,683.3853298,0.523798502,216.477432,0.142509281,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,216.477432,155.88302805,1519.04094,0.523798502
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,3959,2024,1665.893505,4748.4,2.988017203,677.4816248,0.51436088,230.5810273,0.138412826,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,230.5810273,155.88302805,1665.893505,0.51436088
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,3975,2024,1817.951903,5221.1,2.998554092,673.3069672,0.597195188,247.6141645,0.136205014,0,0,0,0,Crenew,6,1585.376471,495.4090909,1036.875,3117.660561,247.6141645,155.88302805,1817.951903,0.597195188
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,3845,2024,963.1198641,3168.243756,3.363641925,965.0216491,0.102894273,76.55614029,0.079487656,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,76.55614029,187.1443917,963.1198641,0.102894273
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,3861,2024,1101.038064,3635.303689,3.366561368,953.1754122,0.128053229,88.62245071,0.080489906,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,88.62245071,187.1443917,1101.038064,0.128053229
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,3877,2024,1239.405837,4100.4256,3.365985362,942.1843158,0.126105267,100.404684,0.081010337,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,100.404684,187.1443917,1239.405837,0.126105267
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,3749,2024,837.1846813,2569.833333,3.149407581,365.1557263,0.257809458,73.05721551,0.087265352,11.70607235,1,-380.2977421,74,Crenew,9,1585.376471,0,1036.875,2622.251471,73.05721551,131.11257355,837.1846813,0.257809458
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,3765,2024,979.5349238,3047.675,3.180214218,363.4326776,0.249997284,86.27672273,0.088079272,74.86985041,4,-158.7867498,47,Crenew,9,1585.376471,0,1036.875,2622.251471,86.27672273,131.11257355,979.5349238,0.249997284
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,3781,2024,1127.922578,3526.225,3.186218921,362.3639928,0.365263381,98.95249892,0.087729868,12.51999803,2,-90.94053247,39,Crenew,9,1585.376471,0,1036.875,2622.251471,98.95249892,131.11257355,1127.922578,0.365263381
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,3797,2024,863.2290662,2817.384522,3.345991045,613.8144632,0.211090662,71.40274319,0.08271587,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,71.40274319,155.88302805,863.2290662,0.211090662
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,3813,2024,1001.814515,3289.349767,3.354413997,606.8672897,0.170466676,84.01109425,0.083858931,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,84.01109425,155.88302805,1001.814515,0.170466676
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,3829,2024,1141.798157,3761.017056,3.356291763,601.4216414,0.227529518,95.92573069,0.084012862,0,0,0,0,Crenew,5,1585.376471,495.4090909,1036.875,3117.660561,95.92573069,155.88302805,1141.798157,0.227529518
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,3989,2024,963.1198641,3168.243756,3.363641925,965.0216491,0.102894273,112.1560212,0.11645074,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,112.1560212,187.1443917,963.1198641,0.102894273
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,4005,2024,1101.038064,3635.303689,3.366561368,953.1754122,0.128053229,124.5329576,0.113105043,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,124.5329576,187.1443917,1101.038064,0.128053229
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,4021,2024,1239.405837,4100.4256,3.365985362,942.1843158,0.126105267,139.515085,0.112566103,0,0,0,0,Crenew,5,1585.376471,1120.636364,1036.875,3742.887834,139.515085,187.1443917,1239.405837,0.126105267
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2024,3893,2024,837.1846813,2569.833333,3.149407581,365.1557263,0.257809458,106.692064,0.127441491,11.70607235,1,-380.2977421,74,Crenew,9,1585.376471,0,1036.875,2622.251471,106.692064,131.11257355,837.1846813,0.257809458
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2024,3909,2024,979.5349238,3047.675,3.180214218,363.4326776,0.249997284,120.7950778,0.123318807,74.86985041,4,-158.7867498,47,Crenew,9,1585.376471,0,1036.875,2622.251471,120.7950778,131.11257355,979.5349238,0.249997284
