house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2457.1578542368075,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9369.563112936808
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2639.8072635705566,40262.973409347505,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9552.212522270558
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1964.5139617192865,28570.852770529444,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8504.506026219286
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2106.5267544157446,31386.12611125514,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8646.518818915743
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2270.57720453894,34333.47443431575,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8810.569269038939
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2030.4309003010915,30418.85844581611,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8563.170130001092
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2186.41059061854,33520.43368169569,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8719.14982031854
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2365.5909195904237,36736.55883260742,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8898.330149290423
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,3101.90341012269,40291.66486860519,911.6991905000001,38.89839479,4.400098522,46.09699423,0,4102.99808816469
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1160.806993462644,14038.187304758125,338.5301291,14.96867304,1.545996429,17.71927605,0,1533.5710680816442
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,1941.0964166600454,26253.477563847075,573.1690614,23.92972175,2.854102092,28.37771819,0,2569.427020092046
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1341.3839788890882,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,4221.716772459088
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,822.3007603735083,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2495.865021083508
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3045.721848949546,33961.96797018283,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9958.127107649547
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3234.8858759287878,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,10147.291134628787
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3436.6777991424237,40262.973409347505,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,10349.083057842425
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2657.3397362713863,28570.852770529444,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9197.331800771386
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2822.189040244265,31386.12611125514,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9362.181104744264
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3010.8856789224837,34333.47443431575,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9550.877743422483
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2704.0678171041673,30418.85844581611,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9236.807046804166
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2881.667434383878,33520.43368169569,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9414.406664083877
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3082.2060457165617,36736.55883260742,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9614.945275416561
