house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,EOL_S_SH,EOL_S_WH,EOL_S,Other_S_SH,Other_S_WH,Other_S,Manufacture_SH_MJ,Manufacture_WH_MJ,Manufacture_MJ,Distribution_SH_MJ,Distribution_WH_MJ,Distribution_MJ,Installation_SH_MJ,Installation_WH_MJ,Installation_MJ,EOL_SH_MJ,EOL_WH_MJ,EOL_MJ,Other_SH_MJ,Other_WH_MJ,Other_MJ,Embodied_life,Total_life,Embodied_life_R,Total_life_R,Embodied_life_MJ,Total_life_MJ
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,214.65105174814988,234.22561391148838,8021.523821320105,448.87666565963826,0.14191610281641526,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,74.17019318,159.88840098999998,480.35241140000005,285.3529412,765.7053526,32134.63109,16543.06782,48677.69891,581.3213807,409.8029855,991.1243661999999,1385.819188,92.10192421,1477.9211122099998,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3697.146129060001,4146.022794719639,2757.7146698700003,3206.5913355296384,66299.78757521,95154.1898101744
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,214.65105174814988,341.871828360706,10369.579795467738,556.5228801088558,0.17749018580882378,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,74.17019318,159.88840098999998,480.35241140000005,285.3529412,765.7053526,32134.63109,16543.06782,48677.69891,581.3213807,409.8029855,991.1243661999999,1385.819188,92.10192421,1477.9211122099998,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3697.146129060001,4253.669009168857,2757.7146698700003,3314.237549978856,66299.78757521,103600.43432149681
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,214.65105174814988,479.27190205805357,13098.478560912303,693.9229538062034,0.18925812720351023,1215.547618,543.696683,1759.2443010000002,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,81.10948345,166.82769126,480.35241140000005,285.3529412,765.7053526,32134.63109,17918.46961,50053.100699999995,581.3213807,516.8474663,1098.168847,1385.819188,136.149074,1521.9682619999999,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3777.3613089400005,4471.284262746204,2837.9298497500004,3531.852803556204,67826.2809958,114943.11035159964
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,214.65105174814988,635.5297377818154,16675.34687363507,850.1807895299653,0.23006786812919577,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,99.6142575,185.33246530999998,480.35241140000005,285.3529412,765.7053526,32134.63109,21586.20772,53720.838809999994,581.3213807,802.2994150000001,1383.6207957,1385.819188,253.60814010000001,1639.4273281,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3991.6934649800005,4841.874254509966,3052.26200579,3902.442795319965,71896.9301206,131880.19225597795
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,214.65105174814988,753.7271908258338,19038.585242536225,968.3782425739837,0.2631915033887114,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,99.6142575,185.33246530999998,480.35241140000005,285.3529412,765.7053526,32134.63109,21586.20772,53720.838809999994,581.3213807,802.2994150000001,1383.6207957,1385.819188,253.60814010000001,1639.4273281,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3991.6934649800005,4960.071707553984,3052.26200579,4020.6402483639836,71896.9301206,140381.0496980684
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,214.65105174814988,244.9433825556998,8240.914504856963,459.59443430384965,0.1422741804245575,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,78.33376735,164.05197515999998,480.35241140000005,285.3529412,765.7053526,32134.63109,17368.3089,49502.93999,581.3213807,474.029674,1055.3510547,1385.819188,118.53021410000001,1504.3494021,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3745.1732347100005,4204.7676690138505,2805.7417755200004,3265.33620982385,67215.6836336,96859.26098920059
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,214.65105174814988,351.91054088246597,10584.864347773624,566.5615926306158,0.17861422225784795,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,78.33376735,164.05197515999998,480.35241140000005,285.3529412,765.7053526,32134.63109,17368.3089,49502.93999,581.3213807,474.029674,1055.3510547,1385.819188,118.53021410000001,1504.3494021,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3745.1732347100005,4311.734827340616,2805.7417755200004,3372.3033681506163,67215.6836336,105290.73524429649
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,214.65105174814988,496.82391151160766,13457.804042023454,711.4749632597575,0.1977430526561717,1215.547618,595.2489089,1810.7965269000001,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,86.66091566999998,172.37912347999995,480.35241140000005,285.3529412,765.7053526,32134.63109,19018.79105,51153.42214,581.3213807,602.4830509,1183.8044315999998,1385.819188,171.3867938,1557.2059817999998,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,3841.73745756,4553.212420819757,2902.30599837,3613.7809616297573,69047.4757402,117456.84279783831
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,214.65105174814988,667.497438531591,17324.21132386455,882.1484902797409,0.2500545685427041,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,108.86664449999999,194.58485230999997,480.35241140000005,285.3529412,765.7053526,32134.63109,23420.07678,55554.70786999999,581.3213807,945.0253894,1526.3467701,1385.819188,312.3376732,1698.1568611999999,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,4098.732040070001,4980.880530349742,3159.3005808800003,4041.4490711597414,73932.25468809999,136249.56160847607
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,214.65105174814988,785.306818674912,19684.334865831825,999.9578704230619,0.26793954112344537,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,85.71820780999998,108.86664449999999,194.58485230999997,480.35241140000005,285.3529412,765.7053526,32134.63109,23420.07678,55554.70786999999,581.3213807,945.0253894,1526.3467701,1385.819188,312.3376732,1698.1568611999999,6795.395899,741.1764706,7536.5723696000005,7331.117876,285.3529412,7616.4708172,4098.732040070001,5098.689910493063,3159.3005808800003,4159.258451303062,73932.25468809999,144739.21463713533
