house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,Nom,Ideal,AK,Hhigh,HP,NA,NA,NA,11,NA,2025,866,2025,622.8780314,2451.806884,3.93625519,NA,0.270333261,45.95537313,0.073779088,NA,NA,NA,NA,C0,NA,NA,NA,NA,1374.017647,26.58066071,55.71176471,226.3,1491.494118,45.95537313,65.42941176190476,1.265745748095238,2.6529411766666664,10.776190476190477,71.02352942857144,622.8780314,0.270333261
Mass,Nom,Ideal,AK,Hhigh,HPl,NA,NA,NA,7,NA,2025,674,2025,383.7824579,1563.88151,4.074916605,NA,0.208671507,28.87884285,0.075247949,NA,NA,NA,NA,C0,NA,NA,NA,NA,799.2352941,15.16699963,32.11764706,115,725.1176471,28.87884285,38.05882352857143,0.7222380776190476,1.529411764761905,5.476190476190476,34.52941176666667,383.7824579,0.208671507
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,6,1000,2025,5858,2025,1660.934032,4990.1,3.19292476,870.1546918,0.66103941,121.5434728,0.073177785,0,0,0,0,C0,6,1480.571647,1493.863636,1076.25,4050.685283,89.2074326,77.00385561,935.8901551,1739.480647,121.5434728,192.88977538095236,4.247972980952381,3.6668502671428573,44.56619786190476,82.83241176190477,1660.934032,0.66103941
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,6,1000,2025,5874,2025,1794.929498,5461.8,3.218774052,862.5389032,0.680749271,129.8729936,0.072355485,0,0,0,0,C0,6,1480.571647,1493.863636,1076.25,4050.685283,89.2074326,77.00385561,935.8901551,1739.480647,129.8729936,192.88977538095236,4.247972980952381,3.6668502671428573,44.56619786190476,82.83241176190477,1794.929498,0.680749271
Mass,Nom,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,6,1000,2025,5890,2025,1935.539585,5936.3,3.230696932,858.6643722,0.755553618,139.457793,0.072051119,0,0,0,0,C0,6,1480.571647,1493.863636,1076.25,4050.685283,89.2074326,77.00385561,935.8901551,1739.480647,139.457793,192.88977538095236,4.247972980952381,3.6668502671428573,44.56619786190476,82.83241176190477,1935.539585,0.755553618
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,11.2,200,2025,5762,2025,1338.455713,4479.666667,3.611517641,353.1099786,0.495865221,97.78354868,0.073056992,0,0,-283.8729179,75,C0,12,1923.002118,0,1076.25,2999.252118,80.89904203,143.3818235,526.0042941,1946.609824,97.78354868,142.8215294285714,3.852335334761905,6.827705880952381,25.04782352857143,92.6957059047619,1338.455713,0.495865221
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,11.2,200,2025,5778,2025,1453.276137,4958.5,3.658859114,352.4287855,0.489026662,104.3731572,0.071819219,36.31230108,4,-119.3463298,47,C0,12,1923.002118,0,1076.25,2999.252118,80.89904203,143.3818235,526.0042941,1946.609824,104.3731572,142.8215294285714,3.852335334761905,6.827705880952381,25.04782352857143,92.6957059047619,1453.276137,0.489026662
Mass,Nom,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,11.2,200,2025,5794,2025,1573.764181,5437.166667,3.6844863390000002,351.8023606,0.586242156,112.1416175,0.071256938,80.73817432,4,-168.9004722,76,C0,12,1923.002118,0,1076.25,2999.252118,80.89904203,143.3818235,526.0042941,1946.609824,112.1416175,142.8215294285714,3.852335334761905,6.827705880952381,25.04782352857143,92.6957059047619,1573.764181,0.586242156
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,8.5,500,2025,5810,2025,1644.776818,4686.333333,3.029882699,562.9883908,0.649549791,120.4453239,0.073228977,0,0,0,0,C0,9,1701.786882,647.1818182,1076.25,3425.218701,85.05323732,115.4428396,695.1517701,1843.045235,120.4453239,163.10565242857143,4.050154158095237,5.497278076190476,33.10246524285714,87.76405880952382,1644.776818,0.649549791
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,8.5,500,2025,5826,2025,1786.364721,5161.625,3.057305039,558.9316704,0.651039336,128.9130904,0.072165045,0,0,0,0,C0,9,1701.786882,647.1818182,1076.25,3425.218701,85.05323732,115.4428396,695.1517701,1843.045235,128.9130904,163.10565242857143,4.050154158095237,5.497278076190476,33.10246524285714,87.76405880952382,1786.364721,0.651039336
Mass,Nom,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,8.5,500,2025,5842,2025,1934.301269,5638.475,3.070681826,556.9659164,0.762949169,138.4573117,0.071580014,0,0,0,0,C0,9,1701.786882,647.1818182,1076.25,3425.218701,85.05323732,115.4428396,695.1517701,1843.045235,138.4573117,163.10565242857143,4.050154158095237,5.497278076190476,33.10246524285714,87.76405880952382,1934.301269,0.762949169
Mass,Nom,Ideal,AK,Hhigh,R,NA,NA,11,NA,NA,2025,314,2025,2451.806884,2451.806884,NA,NA,1.092900887,180.9724596,0.073811874,NA,NA,NA,NA,C0,NA,NA,NA,NA,700.5007709,29.96171637,1.722358032,48.17784706,0,180.9724596,33.357179566666666,1.4267483985714287,0.08201704914285715,2.294183193333333,0,2451.806884,1.092900887
