house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2400.5200084,36060.584889,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8870.2186993,8122.318903599999
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2164.30517015,32019.424311,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8282.04434691,7750.734392309999
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2318.3693456,35121.419382,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8436.10852236,7904.79856776
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2497.7431056,38338.622889,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8615.482282359999,8084.1723277599995
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3211.6568311,35550.664821,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9651.610925590001,9176.863904490001
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3400.8053861,38702.033454000004,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,9840.75948059,9366.01245949
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3600.9386645,41851.014408,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,10040.892758990001,9566.145737890001
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2823.3956621,30293.963132999997,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9293.094353,8545.194557300001
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2989.4938611000002,33126.497733000004,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9459.192552,8711.292756300001
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3174.4809501,36060.584889,3350.330783,121.69696629999999,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,9644.179640999999,8896.2798453
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2870.2267722,32019.424311,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,8987.96594896,8456.65599436
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,3047.5216035000003,35121.419382,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,9165.26078026,8633.95082566
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3246.7543889,38338.622889,3233.1139479999997,119.98466200000001,95.47431016,541.1856096,2127.980647,420.01844700000004,1717.837855,9364.49356566,8833.18361106
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1175.3147552,19843.9244682,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,7313.42856279,6838.681541690001
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1316.6932111,22738.913463,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,7454.807018690001,6980.059997590001
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1483.88180993,25675.703907000003,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,7621.9956175199995,7147.2485964200005
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1039.36976561,17526.6927297,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6793.751476609999,6135.74458731
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1178.0929198,20507.6419968,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,6932.474630799999,6274.4677415
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1347.46341805,23605.483671,3014.089556,114.00003770000001,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,7101.84512905,6443.838239749999
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1064.24589975,17904.6540456,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,6742.319225939999,6267.572204839999
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1201.98142164,20817.5334402,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,6880.0547478299995,6405.30772673
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1365.02774787,23769.222225,3044.349545,115.3761552,82.34313369,513.1703743,1922.834118,404.9955592,1556.261912,7043.1010740599995,6568.3540529599995
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1527.89005,19843.9244682,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,7666.003857590001,7191.256836490001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1685.97675069,22738.913463,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,7824.09055828,7349.343537180001
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,1871.42066057,25675.703907000003,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,8009.534468160001,7534.787447060001
