house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_EOL_S_life,kgCO2_Other_S_life,kgCO2_total_life,kgCO2_total_life_R,CS_code
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,236.93149513,1814.33902965,213.4918799,10.46295479,0.429555176,12.01552941,0,12.01552941,0,473.331414406,473.331414406,C0
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,1082.86794767,9503.2747614,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,1522.872192958,1522.872192958,C0
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8,NA,1040.85270259,12271.1994804,1248.729155,27.85017653,57.68823529,186.0058824,922.7647059,24.31814684,302.1295587,3483.89085771,2701.56797495,C0
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,652.83112455,7962.0397731,826.9997436999998,17.09340829,25.94117647,92,583.0588235,4.429911541,216.8942646,2197.92427651,1744.189629151,C0
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2430.8858637,35573.634558,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,9955.570837640002,9480.82381644,C0
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2597.1706811,38722.714338,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10121.85565504,9647.10863384,C0
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2779.924784,41874.639996,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10304.60975794,9829.86273674,C0
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2101.23404865,30306.455676,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8571.06662295,7823.16682725,C0
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2242.09978165,33138.241416000004,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8711.93235595,7964.032560249999,C0
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2406.3102338,36085.797699,3350.330783,121.8308497,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,8876.142808100001,8128.243012399999,C0
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2168.32110935,32030.525037,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,8690.72051831,8159.410563609999,C0
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2322.9367112,35132.100276,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,8845.33612016,8314.02616546,C0
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2502.1325902999997,38348.225433,3555.08213,119.6312576,95.47431016,624.2310642,2127.980647,503.0639015,1717.837855,9024.53199926,8493.22204456,C0
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,3342.8737939,40291.664868,702.7952139,34.44306432,1.41405529,39.55399412,0,39.55399412,0,4121.08012153,4121.08012153,C0
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1244.89221048,14038.1873058,305.4290313,14.96867304,0.614536822,17.18984118,0,17.18984118,0,1583.0942928220002,1583.0942928220002,C0
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,2097.98158315,26253.477558,397.36618259999995,19.47439128,0.799518468,22.36415294,0,22.36415294,0,2537.985828438,2537.985828438,C0
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1403.77717592,12271.1994804,1248.729155,27.85017653,57.68823529,186.0058824,922.7647059,24.31814684,302.1295587,3846.81533104,3064.49244828,C0
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,860.24166144,7962.0397731,826.9997436999998,17.09340829,25.94117647,92,583.0588235,4.429911541,216.8942646,2405.3348134,1951.600166041,C0
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3215.4126223,35573.634558,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10740.09759624,10265.35057504,C0
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3404.8985495,38722.714338,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,10929.583523440002,10454.83650224,C0
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3605.1785547,41874.639996,4328.025537,125.15272,83.29767914,894.7499198,2093.459118,786.5751046,1726.886912,11129.86352864,10655.11650744,C0
