house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-Ro,3,226.9057193,2166.667374,46805.95483,2393.573093,0.577776207,1215.547618,302.6470588,1518.194677,26.66070538,5.170983671,31.83168905,55.21764706,5.311764706,60.52941177,180.0058824,32.11764706,212.1235295,882,0,882,2704.679307,5098.2524
Mass,H1,Ideal,AK,Hhigh,HP-Ro,4,226.9057193,2904.212138,62646.25483,3131.117857,0.666109541,1215.547618,578.1176471,1793.665265,26.66070538,7.693414729,34.35412011,55.21764706,6.176470588,61.39411765,180.0058824,49.41176471,229.4176471,882,0,882,3000.83115,6131.949007
Mass,H1,Ideal,AK,Hhigh,HP-Ro,5,226.9057193,3435.624459,72662.20483,3662.530178,0.806109541,1215.547618,578.1176471,1793.665265,26.66070538,7.693414729,34.35412011,55.21764706,6.176470588,61.39411765,180.0058824,49.41176471,229.4176471,882,0,882,3000.83115,6663.361328
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,1,355.3330456,253.0720521,9510.231186,608.4050977,0.170626773,1007.310087,593.0885628,1600.398649,26.36689194,19.54861298,45.91550492,23.90014342,11.48823529,35.38837871,98.01552941,66.38408824,164.3996176,542.2941176,276.7058824,819,2665.102151,3273.507248
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,2,355.3330456,367.169219,11858.28716,722.5022646,0.208875629,1007.310087,593.0885628,1600.398649,26.36689194,19.54861298,45.91550492,23.90014342,11.48823529,35.38837871,98.01552941,66.38408824,164.3996176,542.2941176,276.7058824,819,2665.102151,3387.604415
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,3,355.3330456,513.9718226,14587.18593,869.3048682,0.233725561,1007.310087,703.5346516,1710.844738,26.36689194,26.44293308,52.80982502,23.90014342,16.67647059,40.57661401,98.01552941,82.37682353,180.3923529,542.2941176,276.7058824,819,2803.62353,3672.928398
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,4,355.3330456,683.5752937,18164.05424,1038.908339,0.257450689,1007.310087,998.0575552,2005.367642,26.36689194,44.82778668,71.19467862,23.90014342,30.26470588,54.1648493,98.01552941,125.0241176,223.039647,542.2941176,276.7058824,819,3172.766817,4211.675156
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HP,5,355.3330456,808.9893479,20527.29261,1164.322393,0.290244391,1007.310087,998.0575552,2005.367642,26.36689194,44.82778668,71.19467862,23.90014342,30.26470588,54.1648493,98.01552941,125.0241176,223.039647,542.2941176,276.7058824,819,3172.766817,4337.08921
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,1,355.3330456,264.8759587,9729.62187,620.2090043,0.169217531,1007.310087,659.3562161,1666.666303,26.36689194,23.68520504,50.05209698,23.90014342,14.57647059,38.47661401,98.01552941,75.97972941,173.9952588,542.2941176,276.7058824,819,2748.190272,3368.399277
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,2,355.3330456,377.7836747,12073.57171,733.1167203,0.211297095,1007.310087,659.3562161,1666.666303,26.36689194,23.68520504,50.05209698,23.90014342,14.57647059,38.47661401,98.01552941,75.97972941,173.9952588,542.2941176,276.7058824,819,2748.190272,3481.306993
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,3,355.3330456,532.7544048,14946.51141,888.0874504,0.241014693,1007.310087,791.8915227,1799.201609,26.36689194,31.95838916,58.3252811,23.90014342,20.75294118,44.6530846,98.01552941,95.17101176,193.1865412,542.2941176,276.7058824,819,2914.366516,3802.453966
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,4,355.3330456,718.3147088,18812.91869,1073.647754,0.273474332,1007.310087,1145.319007,2152.629094,26.36689194,54.02021348,80.38710542,23.90014342,37.05882353,60.95896695,98.01552941,146.3477647,244.3632941,542.2941176,276.7058824,819,3357.33846,4430.986214
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-HPo,5,355.3330456,843.0680016,21173.04223,1198.401047,0.29763766,1007.310087,1145.319007,2152.629094,26.36689194,54.02021348,80.38710542,23.90014342,37.05882353,60.95896695,98.01552941,146.3477647,244.3632941,542.2941176,276.7058824,819,3357.33846,4555.739507
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,1,355.3330456,1015.779891,25549.5622,1371.112936,0.340233924,1007.310087,210,1217.310087,26.36689194,3.783646588,30.15053853,23.90014342,5.311764706,29.21190812,98.01552941,22.23529412,120.2508235,542.2941176,0,542.2941176,1939.217474,3310.330411
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,2,355.3330456,1494.009239,35556.0622,1849.342284,0.478567257,1007.310087,210,1217.310087,26.36689194,3.783646588,30.15053853,23.90014342,5.311764706,29.21190812,98.01552941,22.23529412,120.2508235,542.2941176,0,542.2941176,1939.217474,3788.559758
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,3,355.3330456,2099.429433,46942.2622,2454.762478,0.590233924,1007.310087,256.9411765,1264.251263,26.36689194,4.540375906,30.90726785,23.90014342,5.311764706,29.21190812,98.01552941,28.41176471,126.4272941,542.2941176,0,542.2941176,1993.091851,4447.854329
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,4,355.3330456,2781.687163,61698.9622,3137.020208,0.670233924,1007.310087,442.2352941,1449.545381,26.36689194,6.558320753,32.92521269,23.90014342,6.176470588,30.076614,98.01552941,42,140.0155294,542.2941176,0,542.2941176,2194.856854,5331.877063
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-R,5,355.3330456,3311.312539,71725.4122,3666.645584,0.813567257,1007.310087,442.2352941,1449.545381,26.36689194,6.558320753,32.92521269,23.90014342,6.176470588,30.076614,98.01552941,42,140.0155294,542.2941176,0,542.2941176,2194.856854,5861.502438
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,1,355.3330456,1059.84447,26379.0622,1415.177515,0.333567257,1007.310087,237.1764706,1244.486557,26.36689194,4.116960628,30.48385257,23.90014342,5.311764706,29.21190812,98.01552941,25.94117647,123.9567059,542.2941176,0,542.2941176,1970.433141,3385.610657
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,2,355.3330456,1535.226197,36370.8622,1890.559243,0.48690059,1007.310087,237.1764706,1244.486557,26.36689194,4.116960628,30.48385257,23.90014342,5.311764706,29.21190812,98.01552941,25.94117647,123.9567059,542.2941176,0,542.2941176,1970.433141,3860.992384
Mass,H1,Ideal,AK,Hhigh,HPl_Rb-Ro,3,355.3330456,2166.667374,48294.6622,2522.000419,0.610233924,1007.310087,302.6470588,1309.957145,26.36689194,5.170983671,31.53787561,23.90014342,5.311764706,29.21190812,98.01552941,32.11764706,130.1331765,542.2941176,0,542.2941176,2043.134223,4565.134643
