house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,CS_code,year,Grid_year,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,Operation_SH,P_avg_peak_kW_SH,Manufacture_SH,Distribution_SH,Installation_SH,EOL_SH,Other_SH,DW_code,Tank_Volume (L),P_annual_kWh_WH,Q_annual_kWh_WH,Operation_WH,P_avg_peak_kW_WH,Manufacture_WH,Distribution_WH,Installation_WH,EOL_WH,Other_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,Operation,Manufacture,Distribution,Installation,EOL,Other,Operation_SH_total_year,Operation_WH_total_year,Operation_total_year,P_annual_kWh_total_year,P_avg_peak_kW_total_year
Mod,H1,Real,CH,Hlow,HP-Ro,2,C0,2040,2040,HP,12.5,NA,2080.3460924693813,7364.595176264991,192.78939278220088,1.1477666642219555,87.44601204761905,2.0576461209523806,6.511071580952381,17.437331747619048,94.37971728571428,Ro,162,1525.1,1525.1150595859226,85.28788166794637,0.19655172413793104,10.295370804761905,0.1960457441904762,0.21714245514285715,1.2097023009523808,0,Mod-H1-Real-CH-2-HP-Ro-C0-2040-Hlow,3605.4460924693813,8889.710235850915,1.3443183883598866,278.07727445014723,97.74138285238095,2.253691865142857,6.728214036095238,18.647034048571427,94.37971728571428,192.78939278220088,85.28788166794637,278.07727445014723,3605.4460924693813,1.3443183883598866
Mod,H1,Real,CH,Hlow,HP-Ro,3,C0,2040,2040,HP,12.5,NA,2080.3460924693813,7364.595176264991,192.78939278220088,1.1477666642219555,87.44601204761905,2.0576461209523806,6.511071580952381,17.437331747619048,94.37971728571428,Ro,216,2092.9,2092.9852925285027,119.53182455421168,0.5224137931034483,13.198383466666666,0.24623731766666668,0.27837068185714287,1.5508052266666668,0,Mod-H1-Real-CH-3-HP-Ro-C0-2040-Hlow,4173.246092469381,9457.580468793494,1.6701804573254038,312.3212173364126,100.64439551428572,2.303883438619047,6.789442262809524,18.988136974285716,94.37971728571428,192.78939278220088,119.53182455421168,312.3212173364126,4173.246092469381,1.6701804573254038
Mod,H1,Real,CH,Hlow,HP-Ro,4,C0,2040,2040,HP,12.5,NA,2080.3460924693813,7364.595176264991,192.78939278220088,1.1477666642219555,87.44601204761905,2.0576461209523806,6.511071580952381,17.437331747619048,94.37971728571428,Ro,360,2847.2,2847.2279246596777,156.79824423170464,0.5551724137931034,25.597491480952378,0.3663530823333333,0.5398836285714286,3.0076958795238093,0,Mod-H1-Real-CH-4-HP-Ro-C0-2040-Hlow,4927.546092469382,10211.823100924668,1.702939078015059,349.5876370139055,113.04350352857142,2.423999203285714,7.050955209523809,20.445027627142856,94.37971728571428,192.78939278220088,156.79824423170464,349.5876370139055,4927.546092469382,1.702939078015059
Mod,H1,Real,CH,Hlow,HP-Ro,5,C0,2040,2040,HP,12.5,NA,2080.3460924693813,7364.595176264991,192.78939278220088,1.1477666642219555,87.44601204761905,2.0576461209523806,6.511071580952381,17.437331747619048,94.37971728571428,Ro,360,3324.15,3324.3940525519356,185.2285136901755,0.5241379310344828,25.597491480952378,0.3663530823333333,0.5398836285714286,3.0076958795238093,0,Mod-H1-Real-CH-5-HP-Ro-C0-2040-Hlow,5404.496092469381,10688.989228816927,1.6719045952564384,378.01790647237635,113.04350352857142,2.423999203285714,7.050955209523809,20.445027627142856,94.37971728571428,192.78939278220088,185.2285136901755,378.01790647237635,5404.496092469381,1.6719045952564384
Mod,H1,Real,CH,Hlow,HPl_Rb-HP,1,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HP,135,267.29049419911405,1073.2995674180138,15.80515946463625,0.04889034264693343,24.63829840952381,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mod-H1-Real-CH-1-HPl_Rb-HP-C0-2040-Hlow,3936.1421467379373,8437.894743683006,1.803967982211167,365.90395054575475,97.97656942380952,3.0226033095238094,4.290863569571428,13.289449251904763,46.20324671904761,350.0987910811185,15.80515946463625,365.90395054575475,3936.1421467379373,1.803967982211167
Mod,H1,Real,CH,Hlow,HPl_Rb-HP,2,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HP,135,385.4294016581187,1549.901321452792,22.675990558321573,0.05350769601650404,24.63829840952381,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mod-H1-Real-CH-2-HPl_Rb-HP-C0-2040-Hlow,4054.281054196942,8914.496497717784,1.8085853355807375,372.7747816394401,97.97656942380952,3.0226033095238094,4.290863569571428,13.289449251904763,46.20324671904761,350.0987910811185,22.675990558321573,372.7747816394401,4054.281054196942,1.8085853355807375
Mod,H1,Real,CH,Hlow,HPl_Rb-HP,3,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HP,180,525.1599993573593,2108.024474349978,31.59054123719375,0.13988712945015364,28.447229585714283,1.1621038704761903,0.8565640104761905,3.862356354761905,13.588235295238094,Mod-H1-Real-CH-3-HPl_Rb-HP-C0-2040-Hlow,4194.011651896182,9472.619650614972,1.8949647690143872,381.68933231831227,101.78550059999999,3.263287096190476,4.48306612147619,13.619891645714286,46.20324671904761,350.0987910811185,31.59054123719375,381.68933231831227,4194.011651896182,1.8949647690143872
Mod,H1,Real,CH,Hlow,HPl_Rb-HP,4,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HP,300,711.5567065675885,2861.6860144892566,41.318097461344415,0.15810514951274365,38.6043793952381,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mod-H1-Real-CH-4-HPl_Rb-HP-C0-2040-Hlow,4380.408359106412,10226.28119075425,1.9131827890769773,391.4168885424629,111.94265040952381,3.9051105280952383,4.995606260523809,14.501071362380952,46.20324671904761,350.0987910811185,41.318097461344415,391.4168885424629,4380.408359106412,1.9131827890769773
Mod,H1,Real,CH,Hlow,HPl_Rb-HP,5,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HP,300,829.487123946229,3339.4791632348247,48.50020493843631,0.13366654301892283,38.6043793952381,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mod-H1-Real-CH-5-HPl_Rb-HP-C0-2040-Hlow,4498.338776485052,10704.074339499817,1.8887441825831564,398.5989960195548,111.94265040952381,3.9051105280952383,4.995606260523809,14.501071362380952,46.20324671904761,350.0987910811185,48.50020493843631,398.5989960195548,4498.338776485052,1.8887441825831564
Mod,H1,Real,CH,Hlow,HPl_Rb-HPo,1,C0,2040,2040,HPl_Rb,7.5,4.5,3668.851652538823,7364.595176264993,350.0987910811185,1.7550776395642336,73.33827101428571,2.1011832257142857,3.6265021109999998,9.757535290952381,32.61501142380952,HPo,162,279.470783836782,1121.3468291753002,16.51775062342487,0.04298987918642766,26.923657114285714,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,Mod-H1-Real-CH-1-HPl_Rb-HPo-C0-2040-Hlow,3948.3224363756053,8485.942005440293,1.7980675187506612,366.6165417045434,100.26192812857143,3.167013581904762,4.406185101,13.48771468857143,46.20324671904761,350.0987910811185,16.51775062342487,366.6165417045434,3948.3224363756053,1.7980675187506612
