house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_manuf_life,kgCO2_dist_life,kgCO2_inst_life,kgCO2_eol_life,kgCO2_other_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2289.7439732110024,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9202.149231911004
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2461.2416208834848,40262.973409347505,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9373.646879583484
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,1832.9454361824671,28570.852770529444,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8372.937500682467
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,1960.7906779994414,31386.12611125514,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8500.782742499441
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2114.7192760639336,34333.47443431575,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,8654.711340563934
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,1893.5661715979431,30418.85844581611,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8426.305401297943
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2034.515662725809,33520.43368169569,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8567.254892425808
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2201.7670666063723,36736.55883260742,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,8734.506296306372
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2899.8770997705606,40291.66486860519,911.6991905000001,38.89839479,4.400098522,46.09699423,0,3900.9717778125605
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1085.632314969613,14038.187304758125,338.5301291,14.96867304,1.545996429,17.71927605,0,1458.3963895886131
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,1814.2447848009476,26253.477563847075,573.1690614,23.92972175,2.854102092,28.37771819,0,2442.5753882329477
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8,NA,1272.3018194475499,12271.199480267622,1248.729155,28.28269202,81.11150315,246.4902634,1275.71918,4152.63461301755
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,776.694385014118,7962.039772749726,826.9997436999998,17.52592378,49.36444432999999,152.484381,627.1897679,2450.2586457241177
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2879.4333310889037,33961.96797018283,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9791.838589788906
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3056.7896691802794,37111.047744209965,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,9969.194927880279
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3246.28380689857,40262.973409347505,3861.745522,124.0935889,112.32240350000001,717.9529673000001,2096.290777,10158.68906559857
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2513.3975981105436,28570.852770529444,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9053.389662610543
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2668.5185131982894,31386.12611125514,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9208.51057769829
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2846.870844055565,34333.47443431575,3499.338303,120.05053259999998,118.0814058,553.0027961,2249.519027,9386.862908555564
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2555.199579266085,30418.85844581611,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9087.938808966084
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2721.2465727311715,33520.43368169569,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9253.98580243117
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2910.912841386861,36736.55883260742,3587.0048809999994,118.33822830000001,114.78148169999999,594.4341117,2118.180527,9443.65207108686
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4078.031087078146,40291.66486860519,911.6991905000001,38.89839479,4.400098522,46.09699423,0,5079.125765120146
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1580.317732719117,14038.187304758125,338.5301291,14.96867304,1.545996429,17.71927605,0,1953.0818073381172
