Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Manufacture,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Hyd_Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,Manufacture_MJ,Hyd_Manufacture_MJ_HP,Hyd_Manufacture_MJ_Tank,Hyd_Manufacture_MJ_FC,Hyd_Manufacture_MJ,Distribution_MJ,Installation_MJ,EOL_MJ,Other_MJ
Mass-H1-Real,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,338.5301291,,,,,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,0,0,0,0,317.0161967,5.821068885,33.2472424,0
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,Rb,,,3.5,,,338.5301291,,,,,14.96867304,1.545996429,17.71927605,0,17.71927605,0,8092.854267,0,0,0,0,317.0161967,5.821068885,33.2472424,0
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,651.087459,,,,,28.43544,3.032520167,33.67334362,0,33.67334362,0,15571.01523,0,0,0,0,602.2240592,11.22699827,64.61030624,0
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,Rb,,,6.5,,,651.087459,,,,,28.43544,3.032520167,33.67334362,0,33.67334362,0,15571.01523,0,0,0,0,602.2240592,11.22699827,64.61030624,0
Mod-H1-Real,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,547.1962622,,,,,22.42781567,2.794629401,26.61250971,0,26.61250971,0,13112.24204,0,0,0,0,474.9907226,9.56644025,57.07359199,0
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,Rb,,,4.5,,,547.1962622,,,,,22.42781567,2.794629401,26.61250971,0,26.61250971,0,13112.24204,0,0,0,0,474.9907226,9.56644025,57.07359199,0
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,677.0602581,,,,,29.93734608,3.091992859,35.4385521,0,35.4385521,0,16185.70853,0,0,0,0,634.0323934,11.64213777,66.4944848,0
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,Rl,,,7,,,677.0602581,,,,,29.93734608,3.091992859,35.4385521,0,35.4385521,0,16185.70853,0,0,0,0,634.0323934,11.64213777,66.4944848,0
Mass-H1-Real,Mass-H1,Mass,H1,AK,Rl,,,5,,,573.1690614,,,,,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,0,0,0,0,506.7990568,9.981579754,58.95777055,0
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,Rl,,,5,,,573.1690614,,,,,23.92972175,2.854102092,28.37771819,0,28.37771819,0,13726.93534,0,0,0,0,506.7990568,9.981579754,58.95777055,0
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,885.7263913,,,,,37.39648871,4.34062583,44.33178576,0,44.33178576,0,21205.0963,0,0,0,0,792.0069193,15.38750914,90.32083439,0
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,Rl,,,8,,,885.7263913,,,,,37.39648871,4.34062583,44.33178576,0,44.33178576,0,21205.0963,0,0,0,0,792.0069193,15.38750914,90.32083439,0
Mod-H1-Real,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,468.8359948,,,,,20.20015044,2.229785607,23.93110136,0,23.93110136,0,11217.24145,0,0,0,0,427.8117938,8.108894072,47.04459576,0
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,Rl,,,4.5,,,468.8359948,,,,,20.20015044,2.229785607,23.93110136,0,23.93110136,0,11217.24145,0,0,0,0,427.8117938,8.108894072,47.04459576,0
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,Rl,,,8.5,,,833.3389231,,,,,36.67072956,3.835254728,43.41558588,0,43.41558588,0,19924.78902,0,0,0,0,776.6363246,14.34510246,82.17601672,0
