house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,Operation_SH_life,Operation_WH_life,P_annual_kWh_life,Operation_life,P_avg_peak_kW_year,Manufacture_SH,Manufacture_WH,Manufacture,Distribution_SH,Distribution_WH,Distribution,Installation_SH,Installation_WH,Installation,EOL_SH,EOL_WH,EOL,Other_SH,Other_WH,Other,Embodied_life,Total_life
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,228.33483872618598,253.787356914145,8021.523821320105,482.122195640331,0.13990229208669822,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4179.2683247003315
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,228.33483872618598,368.6190287308528,10369.579795467738,596.9538674570388,0.17751508773499144,1215.547618,479.5114065,1695.0590245000003,27.44847036,19.34982176,46.79829212000001,76.31200903,13.95159063,90.26359966,241.3279934,74.17019318,315.49818658000004,1264.174085,285.3529412,1549.5270262000004,3697.146129060001,4294.0999965170395
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,228.33483872618598,516.3040904266644,13098.478560912303,744.6389291528503,0.20517690087012133,1215.547618,543.696683,1759.2443010000002,27.44847036,24.404181279999996,51.85265164,76.31200903,17.98784422,94.29985325,241.3279934,81.10948345,322.43747685,1264.174085,285.3529412,1549.5270262000004,3777.3613089400005,4522.000238092851
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,228.33483872618598,685.5672071188856,16675.34687363507,913.9020458450716,0.22516688590603012,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,4905.595510825072
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,228.33483872618598,811.7272154347415,19038.585242536225,1040.0620541609273,0.2598876950208742,1215.547618,715.28243,1930.830048,27.44847036,37.88247335,65.33094371,76.31200903,28.75118714,105.06319617,241.3279934,99.6142575,340.9422509,1264.174085,285.3529412,1549.5270262000004,3991.6934649800005,5031.755519140928
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,228.33483872618598,265.6304247781992,8240.914504856963,493.9652635043852,0.13837298057820488,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4239.138498214385
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,228.33483872618598,379.28847913768715,10584.864347773624,607.6233178638731,0.18059688538702276,1215.547618,517.9205701,1733.4681881000001,27.44847036,22.38243748,49.83090784000001,76.31200903,16.37334279,92.68535182000001,241.3279934,78.33376735,319.66176075000004,1264.174085,285.3529412,1549.5270262000004,3745.1732347100005,4352.796552573874
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,228.33483872618598,535.1699581732817,13457.804042023454,763.5047968994676,0.21264590722740828,1215.547618,595.2489089,1810.7965269000001,27.44847036,28.4476689,55.896139260000005,76.31200903,21.2168471,97.52885613,241.3279934,86.66091566999998,327.98890907,1264.174085,285.3529412,1549.5270262000004,3841.73745756,4605.242254459467
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,228.33483872618598,720.3852835965581,17324.21132386455,948.7201223227441,0.2400790128571164,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5047.452162392745
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,228.33483872618598,845.9449618177229,19684.334865831825,1074.2798005439088,0.26746442864227143,1215.547618,800.9478006000002,2016.4954186000004,27.44847036,44.62161938,72.07008974,76.31200903,34.1328586,110.44486763,241.3279934,108.86664449999999,350.1946379,1264.174085,285.3529412,1549.5270262000004,4098.732040070001,5173.01184061391
