house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2025,2025,135.95499194893856,538.9339900224929,0.13584818858014883,11.794389612445936,0.08675216292812275,3.964061799399787,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,11.794389612445936,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,135.95499194893856,0.13584818858014883
Mass,H1,Ideal,AK,Hhigh,HPl,NA,NA,NA,4.5,NA,2025,2025,120.44872220910057,452.53689337432246,0.12500115217285668,10.25525487612559,0.08514208111168114,3.7570916907587657,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,10.25525487612559,37.800866980952385,0.7948429580952381,2.1221404857142856,7.015338619047619,29.31641301904762,120.44872220910057,0.12500115217285668
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,2025,927.2784077653964,3069.426833331161,0.48654583234726434,62.09937096813764,0.06696949961100455,3.3101459147830528,861.6763056383284,0,0,0,0,C0,5,1711.29,639.5454545,1343.693778,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,62.09937096813764,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,927.2784077653964,0.48654583234726434
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,2025,1065.3880246970411,3539.51066666424,0.5192876830307558,70.57113146775711,0.06623983922461026,3.3222737487318317,852.3934212838758,0,0,0,0,C0,5,1711.29,639.5454545,1343.693778,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,70.57113146775711,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,1065.3880246970411,0.5192876830307558
Mass,H1,Ideal,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2025,1205.195896351576,4011.1351555516258,0.5668442487516059,79.75474003887035,0.06617574809232883,3.3282018032871807,845.8121611033579,0,0,0,0,C0,5,1711.29,639.5454545,1343.693778,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,79.75474003887035,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,1205.195896351576,0.5668442487516059
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,2025,808.8276840672446,2532.575,0.4257871270686964,54.48205220695997,0.06735928218108621,3.1311675526049942,320.22305682422194,627.4657308303191,129,-534.5544531223122,89,C0,9,1869.654706,0,1343.693778,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,54.48205220695997,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,808.8276840672446,0.4257871270686964
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,2025,950.2083311285494,3008.858333333333,0.4154287785718064,62.82708024630891,0.06611926899408475,3.1665248922410028,318.01778936877133,1234.5362306686873,182,-458.6164410294224,97,C0,9,1869.654706,0,1343.693778,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,62.82708024630891,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,950.2083311285494,0.4154287785718064
Mass,H1,Ideal,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2025,2025,1097.8573861346918,3486.4166666666665,0.49273939040765574,72.19983233924758,0.0657643089631586,3.1756553362013196,316.83333573398926,1877.035863945541,264,-597.7100087609194,121,C0,9,1869.654706,0,1343.693778,3213.348484,111.7001728,108.6154548,484.7662779,2002.420748,72.19983233924758,153.01659447619048,5.3190558476190475,5.172164514285714,23.08410847142857,95.35336895238095,1097.8573861346918,0.49273939040765574
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2025,2025,834.5999310476572,2765.215655553599,0.44181091021987046,56.11969898231981,0.06724143735774556,3.3132229619076017,554.3755519846553,0,0,0,0,C0,5,1711.29,325.2136364,1343.693778,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,56.11969898231981,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,834.5999310476572,0.44181091021987046
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2025,2025,973.448063575543,3239.093111108693,0.4700766960585953,64.4033319775096,0.06616000831205276,3.327443170631289,548.8548898114417,0,0,0,0,C0,5,1711.29,325.2136364,1343.693778,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,64.4033319775096,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,973.448063575543,0.4700766960585953
Mass,H1,Ideal,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2025,2025,1114.0492566357589,3714.36462221792,0.510156114065266,73.39419571921574,0.06588056612582271,3.334111665254978,545.5916776985082,0,0,0,0,C0,5,1711.29,325.2136364,1343.693778,3380.197414,113.0762903,110.2336872,555.978064,1914.861748,73.39419571921574,160.96178161904763,5.384585252380952,5.2492232,26.475145904761906,91.18389276190476,1114.0492566357589,0.510156114065266
Mass,H1,Ideal,AK,Hhigh,R,NA,NA,7,NA,NA,2025,2025,538.9339900224929,538.9339900224929,0.5555106682420881,46.73512174448864,0.08671771053545557,NA,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,833.780793,34.39267655,4.221680447,40.8013688,0,46.73512174448864,39.70384728571429,1.6377465023809523,0.20103240223809524,1.9429223238095237,0,538.9339900224929,0.5555106682420881
Mass,H1,Ideal,AK,Hhigh,Rb,NA,NA,2,NA,NA,2025,2025,86.39709664817063,86.39709664817063,0.07220971782945447,8.289499770387643,0.09594650852845718,NA,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,260.6117315,10.46295479,1.367578355,12.42365061,0,8.289499770387643,12.410082452380953,0.49823594238095237,0.06512277880952382,0.5916024099999999,0,86.39709664817063,0.07220971782945447
Mass,H1,Ideal,AK,Hhigh,Rl,NA,NA,5,NA,NA,2025,2025,452.53689337432246,452.53689337432246,0.4833009504126336,38.44562197410103,0.08495577385400084,NA,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,573.1690614,23.92972175,2.854102092,28.37771819,0,38.44562197410103,27.29376482857143,1.1395105595238095,0.13590962342857144,1.3513199138095238,0,452.53689337432246,0.4833009504126336
Mass,H1,Ideal,AK,Hlow,HP,NA,NA,NA,6.5,NA,2025,2025,135.95499194893856,538.9339900224929,0.13584818858014883,20.65162025766661,0.15190041911387017,3.964061799399787,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,1215.547618,27.44847036,76.31200903,241.3279934,1264.174085,20.65162025766661,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,135.95499194893856,0.13584818858014883
Mass,H1,Ideal,AK,Hlow,HPl,NA,NA,NA,4.5,NA,2025,2025,120.44872220910057,452.53689337432246,0.12500115217285668,17.80706938083096,0.14783942124282276,3.7570916907587657,NA,NA,NA,NA,NA,C0,NA,NA,NA,NA,793.8182066,16.69170212,44.5649502,147.322111,615.6446734,17.80706938083096,37.800866980952385,0.7948429580952381,2.1221404857142856,7.015338619047619,29.31641301904762,120.44872220910057,0.12500115217285668
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2025,2025,927.2784077653964,3069.426833331161,0.48654583234726434,92.90059678923252,0.10018630436257991,3.3101459147830528,861.6763056383284,0,0,0,0,C0,5,1711.29,639.5454545,1343.693778,3694.529233,120.3758619,110.2336872,694.3871549,1914.861748,92.90059678923252,175.9299634761905,5.7321839,5.2492232,33.0660549952381,91.18389276190476,927.2784077653964,0.48654583234726434
