house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,CS_code,year,Grid_year,SH_code,HP_cap,R_cap,P_annual_kWh_SH,Q_annual_kWh_SH,Operation_SH,P_avg_peak_kW_SH,Manufacture_SH,Distribution_SH,Installation_SH,EOL_SH,Other_SH,DW_code,Tank_Volume (L),P_annual_kWh_WH,Q_annual_kWh_WH,Operation_WH,P_avg_peak_kW_WH,Manufacture_WH,Distribution_WH,Installation_WH,EOL_WH,Other_WH,scenario,P_annual_kWh_total,Q_annual_kWh_total,P_avg_peak_kW_total,Operation,Manufacture,Distribution,Installation,EOL,Other,Operation_SH_total_year,Operation_WH_total_year,Operation_total_year,P_annual_kWh_total_year,P_avg_peak_kW_total_year
Mass,H1,Ideal,AK,Hhigh,HP-HP,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,135,246.0223328758283,1045.1411360470563,13.112588757651778,0.05550475977350389,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HP-C0-2025-Hhigh,381.97732482476687,1584.0751260695492,0.14800270943757113,23.891404474866903,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,10.778815717215124,13.112588757651778,23.891404474866903,381.97732482476687,0.14800270943757113
Mass,H1,Ideal,AK,Hhigh,HP-HP,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,135,357.83452212095375,1521.4076238337868,19.801297982971995,0.09149870125553336,22.833876500000002,0.9214200838095239,0.6643614585714286,3.531913960952381,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HP-C0-2025-Hhigh,493.78951406989233,2060.3416138562798,0.1839966509196006,30.58011370018712,80.71709640476192,2.2284901009523814,4.29826665047619,15.023723170476192,73.78700124761906,10.778815717215124,19.801297982971995,30.58011370018712,493.78951406989233,0.1839966509196006
Mass,H1,Ideal,AK,Hhigh,HP-HP,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,180,487.7820823802187,2072.346479155806,27.368488686785177,0.114113811941449,25.89031823809524,1.1621038704761903,0.8565640104761905,3.862356354761905,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HP-C0-2025-Hhigh,623.7370743291573,2611.2804691782985,0.20661176160551625,38.1473044040003,83.77353814285715,2.4691738876190477,4.490469202380952,15.354165564285715,73.78700124761906,10.778815717215124,27.368488686785177,38.1473044040003,623.7370743291573,0.20661176160551625
Mass,H1,Ideal,AK,Hhigh,HP-HP,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,300,658.1091448908267,2802.744823491569,37.17423380980944,0.142803319374323,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HP-C0-2025-Hhigh,794.0641368397652,3341.6788135140623,0.23530126903839024,47.95304952702456,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,10.778815717215124,37.17423380980944,47.95304952702456,794.0641368397652,0.23530126903839024
Mass,H1,Ideal,AK,Hhigh,HP-HP,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HP,300,770.6443053146912,3280.56704057369,44.20878513780015,0.18026492310148232,34.06106809523809,1.8039273023809523,1.3691041495238094,4.743536071428571,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HP-C0-2025-Hhigh,906.5992972636298,3819.5010305961832,0.27276287276554956,54.98760085501527,91.944288,3.1109973195238094,5.003009341428571,16.23534528095238,73.78700124761906,10.778815717215124,44.20878513780015,54.98760085501527,906.5992972636298,0.27276287276554956
Mass,H1,Ideal,AK,Hhigh,HP-HPo,1,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,162,256.4695082823454,1089.1765010282277,13.7200618575736,0.05456729195886472,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,Mass-H1-Ideal-AK-1-HP-HPo-C0-2025-Hhigh,392.4245002312839,1628.1104910507206,0.14706524162293197,24.498877574788725,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,10.778815717215124,13.7200618575736,24.498877574788725,392.4245002312839,0.14706524162293197
Mass,H1,Ideal,AK,Hhigh,HP-HPo,2,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,162,368.08616746885303,1564.8170593602945,20.397124677772855,0.09348043966075872,24.66288429047619,1.0658303561904763,0.77968299,3.7301793976190476,13.588235295238094,Mass-H1-Ideal-AK-2-HP-HPo-C0-2025-Hhigh,504.0411594177916,2103.7510493827876,0.18597838932482597,31.17594039498798,82.5461041952381,2.3729003733333336,4.413588181904762,15.221988607142858,73.78700124761906,10.778815717215124,20.397124677772855,31.17594039498798,504.0411594177916,0.18597838932482597
Mass,H1,Ideal,AK,Hhigh,HP-HPo,3,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,216,504.89281957598774,2144.518205237764,28.33780350646029,0.12216988641600993,28.345186138095237,1.3546509,1.0103260523809523,4.126710269999999,13.588235295238094,Mass-H1-Ideal-AK-3-HP-HPo-C0-2025-Hhigh,640.8478115249263,2683.452195260257,0.21466783608007717,39.116619223675414,86.22840604285715,2.6617209171428575,4.644231244285714,15.618519479523808,73.78700124761906,10.778815717215124,28.33780350646029,39.116619223675414,640.8478115249263,0.21466783608007717
Mass,H1,Ideal,AK,Hhigh,HP-HPo,4,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,360,689.0074520446115,2932.8425077657357,38.95718629948063,0.16191882909891075,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,Mass-H1-Ideal-AK-4-HP-HPo-C0-2025-Hhigh,824.96244399355,3471.776497788229,0.25441677876297797,49.73600201669576,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,10.778815717215124,38.95718629948063,49.73600201669576,824.96244399355,0.25441677876297797
Mass,H1,Ideal,AK,Hhigh,HP-HPo,5,C0,2025,2025,HP,6.5,NA,135.95499194893856,538.9339900224929,10.778815717215124,0.09249794966406724,57.88321990476191,1.3070700171428573,3.633905191904762,11.49180920952381,60.19876595238096,HPo,360,801.3942873763864,3410.2406622039807,45.99623966932178,0.18285072096875415,38.14037145714286,2.124839018095238,1.625374219047619,5.1841259285714285,13.588235295238094,Mass-H1-Ideal-AK-5-HP-HPo-C0-2025-Hhigh,937.3492793253249,3949.174652226474,0.2753486706328214,56.775055386536906,96.02359136190478,3.431909035238095,5.259279410952381,16.675935138095237,73.78700124761906,10.778815717215124,45.99623966932178,56.775055386536906,937.3492793253249,0.2753486706328214
