house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,...1,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Manufacture_HP,Hyd_Manufacture_Tank,Hyd_Manufacture_FC,Manufacture,Distribution,Installation,EOL,Other,EOL_S,Other_S,kgCO2_oper_year,kgCO2_manuf_year,kgCO2_dist_year,kgCO2_inst_year,kgCO2_eol_year,kgCO2_other_year,kgCO2_EOL_S_year,kgCO2_Other_S_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2439,2025,1992.905448,5506.456602,2.873694405,961.5275417,0.044458756,154.032909,0.077290626,0,0,-70.48573652,60,Cpeak,5,1406.833235,639.5454545,1427.328665,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,154.032909,165.41463595238096,5.987620123809524,3.9211016042857145,31.652593580952377,99.68852942857144,26.50141190952381,82.23271009523809,1992.905448,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2025,2311,2025,1442.569673,3984.847933,2.917542063,391.4482313,0.044458756,116.0775242,0.080465801,0,0,-6188.674559,548,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,116.0775242,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1442.569673,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2025,2327,2025,1577.452273,4463.534,2.97428895,390.6864192,0.044458756,124.3177763,0.078809216,37.69224773,5,-6158.011035,531,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,124.3177763,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1577.452273,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2025,2343,2025,1717.170709,4940.5332,3.011740348,389.9802267,0.044458756,133.4139925,0.077694077,1539.114033,12,-7290.845228,651,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,133.4139925,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1717.170709,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2025,2359,2025,1524.734491,4220,2.914387862,629.5145403,0.044458756,119.8676066,0.078615396,0,0,-1091.118609,281,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,119.8676066,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1524.734491,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2025,2375,2025,1672.448542,4695.2,2.942403086,625.3171672,0.044458756,128.8243077,0.077027367,0,0,-1339.656037,297,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,128.8243077,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1672.448542,0.044458756
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2025,2391,2025,1825.648709,5171.3,2.956882654,622.9206023,0.044458756,138.8965374,0.076080648,37.71545012,4,-1802.80392,359,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,138.8965374,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1825.648709,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2025,2551,2025,1692.888801,4561.021166,2.822164751,973.624281,0.044458756,203.3985911,0.12014882,0,0,-4.219278958,15,Cpeak,5,1406.833235,639.5454545,1427.328665,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,203.3985911,165.41463595238096,5.987620123809524,3.9211016042857145,31.652593580952377,99.68852942857144,26.50141190952381,82.23271009523809,1692.888801,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2025,2567,2025,1842.953974,5032.907964,2.849555726,966.2032206,0.044458756,214.9091554,0.116611244,0,0,-37.24081689,44,Cpeak,5,1406.833235,639.5454545,1427.328665,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,214.9091554,165.41463595238096,5.987620123809524,3.9211016042857145,31.652593580952377,99.68852942857144,26.50141190952381,82.23271009523809,1842.953974,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2025,2583,2025,1992.905448,5506.456602,2.873694405,961.5275417,0.044458756,227.0848719,0.113946636,0,0,-70.48573652,60,Cpeak,5,1406.833235,639.5454545,1427.328665,3473.707355,125.7400226,82.34313369,664.7044652,2093.459118,556.5296501,1726.886912,227.0848719,165.41463595238096,5.987620123809524,3.9211016042857145,31.652593580952377,99.68852942857144,26.50141190952381,82.23271009523809,1992.905448,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2025,2455,2025,1442.569673,3984.847933,2.917542063,391.4482313,0.044458756,179.6998417,0.124569263,0,0,-6188.674559,548,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,179.6998417,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1442.569673,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2025,2471,2025,1577.452273,4463.534,2.97428895,390.6864192,0.044458756,189.9436308,0.12041165,37.69224773,5,-6158.011035,531,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,189.9436308,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1577.452273,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2025,2487,2025,1717.170709,4940.5332,3.011740348,389.9802267,0.044458756,201.3715001,0.117269354,1539.114033,12,-7290.845228,651,Cpeak,12,1923.002118,0,1427.328665,3350.330783,121.6969663,162.8068235,499.7542941,2335.109824,329.1930324,1757.77129,201.3715001,159.5395610952381,5.795093633333333,7.752705880952381,23.797823528571428,111.19570590476191,15.675858685714285,83.70339476190476,1717.170709,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2025,2503,2025,1524.734491,4220,2.914387862,629.5145403,0.044458756,181.822278,0.119248485,0,0,-1091.118609,281,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,181.822278,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1524.734491,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2025,2519,2025,1672.448542,4695.2,2.942403086,625.3171672,0.044458756,192.603947,0.115162854,0,0,-1339.656037,297,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,192.603947,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1672.448542,0.044458756
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2025,2535,2025,1825.648709,5171.3,2.956882654,622.9206023,0.044458756,204.7672278,0.112161352,37.71545012,4,-1802.80392,359,Cpeak,6,1480.571647,325.2136364,1427.328665,3233.113948,119.984662,95.47431016,541.1856096,2127.980647,420.018447,1717.837855,204.7672278,153.95780704761904,5.713555333333334,4.546395721904762,25.770743314285717,101.33241176190475,20.00087842857143,81.80180261904762,1825.648709,0.044458756
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2025,2405,2025,944.9487842,3060.336244,3.3129928,861.2218757,0.013192721,64.48023072,0.068236747,0,0,0,0,Cpeak,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,64.48023072,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,944.9487842,0.013192721
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2025,2421,2025,1082.805403,3530.329478,3.325497811,851.9196735,0.013192721,72.82854939,0.06725913,0,0,0,0,Cpeak,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,72.82854939,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,1082.805403,0.013192721
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2025,2437,2025,1222.652567,4002.047256,3.331038106,845.3853941,0.013192721,82.10817664,0.067155772,0,0,0,0,Cpeak,5,1406.833235,639.5454545,1312.302674,3358.681364,122.6757267,82.34313369,651.5794652,1922.834118,543.4046501,1556.261912,82.10817664,159.9372078095238,5.841701271428572,3.9211016042857145,31.027593580952377,91.56352942857143,25.87641190952381,74.10771009523809,1222.652567,0.013192721
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2025,2309,2025,834.6044157,2551.275,3.136582266,346.3149364,0.013192721,57.19125563,0.068524986,8.163404923,1,-1830.660813,334,Cpeak,9,1701.786882,0,1312.302674,3014.089556,114.0000377,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,57.19125563,143.52807409523808,5.428573223809524,5.876823528571428,21.045647057142858,98.13905880952382,13.8998919,73.95115257142858,834.6044157,0.013192721
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2025,2325,2025,976.5543808,3029.825,3.171451677,345.3898156,0.013192721,65.38844433,0.066958324,83.27784492,7,-1815.75271,283,Cpeak,9,1701.786882,0,1312.302674,3014.089556,114.0000377,123.4132941,441.9585882,2060.920235,291.8977299,1552.974204,65.38844433,143.52807409523808,5.428573223809524,5.876823528571428,21.045647057142858,98.13905880952382,13.8998919,73.95115257142858,976.5543808,0.013192721
