Hshld_code,Hshld_subcode,house_type,insulation,Loc_code,SH_code,DW_code,HP_cap,R_cap,Hyd_Cap_kW_Adj,Tank_Volume (L),Embodied,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Hyd_Embodied
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HP,,15.5,,,,1966.561829,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1467.478715,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HP,,12.5,,,,1467.478715,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,858.0044118,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,AK,HPl,,7,,,,858.0044118,,,,
Mass-H1-Real,Mass-H1,Mass,H1,AK,HPl,,5,,,,705.8823529,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,AK,HPl,,5,,,,705.8823529,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,945.949864,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,AK,HPl,,8,,,,945.949864,,,,
Mod-H1-Real,Mod-H1,Mod,H1,AK,HPl,,5,,,,705.8823529,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,AK,HPl,,5,,,,705.8823529,,,,
Mass-Nom-Real,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,993.2473572,,,,
Mass-Nom-Ideal,Mass-Nom,Mass,Nom,CH,HPl,,8.5,,,,993.2473572,,,,
Mass-H1-Real,Mass-H1,Mass,H1,CH,HPl,,5,,,,705.8823529,,,,
Mass-H1-Ideal,Mass-H1,Mass,H1,CH,HPl,,5,,,,705.8823529,,,,
Mod-Nom-Real,Mod-Nom,Mod,Nom,CH,HPl,,9,,,,1042.909725,,,,
Mod-Nom-Ideal,Mod-Nom,Mod,Nom,CH,HPl,,9,,,,1042.909725,,,,
Mod-H1-Real,Mod-H1,Mod,H1,CH,HPl,,8,,,,945.949864,,,,
Mod-H1-Ideal,Mod-H1,Mod,H1,CH,HPl,,8,,,,945.949864,,,,
,,,,,,R,,,,135,294.1176471,,,,
,,,,,,R,,,,162,352.9411765,,,,
,,,,,,R,,,,180,376.4705882,,,,
,,,,,,R,,,,216,470.5882353,,,,
,,,,,,R,,,,300,588.2352941,,,,
,,,,,,R,,,,360,611.7647059,,,,
,,,,,,Ro,,,,162,352.9411765,,,,
,,,,,,Ro,,,,216,470.5882353,,,,
,,,,,,Ro,,,,360,611.7647059,,,,
,,,,,,HP,,,,135,470.5882353,,,,
,,,,,,HP,,,,162,529.4117647,,,,
,,,,,,HP,,,,180,588.2352941,,,,
,,,,,,HP,,,,216,617.6470588,,,,
,,,,,,HP,,,,300,764.7058824,,,,
,,,,,,HP,,,,360,823.5294118,,,,
,,,,,,HPo,,,,162,529.4117647,,,,
,,,,,,HPo,,,,216,617.6470588,,,,
,,,,,,HPo,,,,360,823.5294118,,,,
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,8.5,,9,200,2534.882353,1509.882353,0,1025,2534.882353
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,11.2,,12,200,2972.529412,1947.529412,0,1025,2972.529412
,Mass-Nom,Mass,Nom,AK,HYD200,HYD200,14,,14,200,3154.882353,2129.882353,0,1025,3154.882353
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,5,,5,500,2943.973262,1509.882353,409.0909091,1025,2943.973262
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,6,,6,500,2943.973262,1509.882353,409.0909091,1025,2943.973262
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,8.5,,9,500,2943.973262,1509.882353,409.0909091,1025,2943.973262
,Mass-Nom,Mass,Nom,AK,HYD500,HYD500,14,,14,500,3563.973262,2129.882353,409.0909091,1025,3563.973262
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,5,,5,1000,3625.791444,1509.882353,1090.909091,1025,3625.791444
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,6,,6,1000,3625.791444,1509.882353,1090.909091,1025,3625.791444
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,8.5,,9,1000,3625.791444,1509.882353,1090.909091,1025,3625.791444
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,11.2,,12,1000,4063.438503,1947.529412,1090.909091,1025,4063.438503
,Mass-Nom,Mass,Nom,AK,HYD1000,HYD1000,14,,14,1000,4245.791444,2129.882353,1090.909091,1025,4245.791444
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,8.5,,9,200,3084.882353,1509.882353,0,1575,3084.882353
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,11.2,,12,200,3522.529412,1947.529412,0,1575,3522.529412
,Mod-Nom,Mod,Nom,AK,HYD200,HYD200,14,,14,200,3704.882353,2129.882353,0,1575,3704.882353
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,5,,5,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,6,,6,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,8.5,,9,500,3493.973262,1509.882353,409.0909091,1575,3493.973262
,Mod-Nom,Mod,Nom,AK,HYD500,HYD500,14,,14,500,4113.973262,2129.882353,409.0909091,1575,4113.973262
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,5,,5,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,6,,6,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,8.5,,9,1000,4175.791444,1509.882353,1090.909091,1575,4175.791444
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,11.2,,12,1000,4613.438503,1947.529412,1090.909091,1575,4613.438503
,Mod-Nom,Mod,Nom,AK,HYD1000,HYD1000,14,,14,1000,4795.791444,2129.882353,1090.909091,1575,4795.791444
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,8.5,,9,200,2703.632353,1509.882353,0,1193.75,2703.632353
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,11.2,,12,200,3141.279412,1947.529412,0,1193.75,3141.279412
,Mass-Nom,Mass,Nom,CH,HYD200,HYD200,14,,14,200,3323.632353,2129.882353,0,1193.75,3323.632353
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,5,,5,500,3112.723262,1509.882353,409.0909091,1193.75,3112.723262
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,6,,6,500,3112.723262,1509.882353,409.0909091,1193.75,3112.723262
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,8.5,,9,500,3112.723262,1509.882353,409.0909091,1193.75,3112.723262
,Mass-Nom,Mass,Nom,CH,HYD500,HYD500,14,,14,500,3732.723262,2129.882353,409.0909091,1193.75,3732.723262
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,5,,5,1000,3794.541444,1509.882353,1090.909091,1193.75,3794.541444
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,6,,6,1000,3794.541444,1509.882353,1090.909091,1193.75,3794.541444
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,8.5,,9,1000,3794.541444,1509.882353,1090.909091,1193.75,3794.541444
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,11.2,,12,1000,4232.188503,1947.529412,1090.909091,1193.75,4232.188503
,Mass-Nom,Mass,Nom,CH,HYD1000,HYD1000,14,,14,1000,4414.541444,2129.882353,1090.909091,1193.75,4414.541444
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,8.5,,9,200,3197.382353,1509.882353,0,1687.5,3197.382353
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,11.2,,12,200,3635.029412,1947.529412,0,1687.5,3635.029412
,Mod-Nom,Mod,Nom,CH,HYD200,HYD200,14,,14,200,3817.382353,2129.882353,0,1687.5,3817.382353
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,5,,5,500,3606.473262,1509.882353,409.0909091,1687.5,3606.473262
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,6,,6,500,3606.473262,1509.882353,409.0909091,1687.5,3606.473262
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,8.5,,9,500,3606.473262,1509.882353,409.0909091,1687.5,3606.473262
,Mod-Nom,Mod,Nom,CH,HYD500,HYD500,14,,14,500,4226.473262,2129.882353,409.0909091,1687.5,4226.473262
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,5,,5,1000,4288.291444,1509.882353,1090.909091,1687.5,4288.291444
,Mod-Nom,Mod,Nom,CH,HYD1000,HYD1000,6,,6,1000,4288.291444,1509.882353,1090.909091,1687.5,4288.291444
