hour_of_day,day_of_week,month,kWh
12,3,2,5363000
13,3,2,5329000
14,3,2,5306000
15,3,2,5330999.999999999
16,3,2,5286000
17,3,2,5346999.999999999
18,3,2,5377000
19,3,2,5336000
20,3,2,5188000.000000001
21,3,2,5122000
22,3,2,4988000
23,3,2,4596999.999999999
0,3,2,4275000
1,4,2,3976000
2,4,2,3791000
3,4,2,3687999.9999999995
4,4,2,3638000
5,4,2,3677000
6,4,2,3991000
7,4,2,4593999.999999999
8,4,2,5220000.000000001
9,4,2,5375000
10,4,2,5417000
11,4,2,5363000
12,4,2,5350000
13,4,2,5307000
14,4,2,5295000
15,4,2,5291000
16,4,2,5226000
17,4,2,5254000
18,4,2,5229000
19,4,2,5155000
20,4,2,4986000
21,4,2,4903000.000000001
22,4,2,4827000
23,4,2,4516000
0,4,2,4243000
1,5,2,3935000
2,5,2,3746000
3,5,2,3610000
4,5,2,3552000
5,5,2,3551000
6,5,2,3703000
7,5,2,3941999.9999999995
8,5,2,4260999.999999999
9,5,2,4591000
10,5,2,4885999.999999999
11,5,2,4912000
12,5,2,4922000
13,5,2,4885999.999999999
14,5,2,4841000
15,5,2,4862000
16,5,2,4843000
17,5,2,4926000
18,5,2,5007000
19,5,2,4997000
20,5,2,4830000
21,5,2,4763000
22,5,2,4672000.000000001
23,5,2,4388999.999999999
0,5,2,4155000.0000000005
1,6,2,3872000
2,6,2,3678000
3,6,2,3566000
4,6,2,3495000
5,6,2,3488000.0000000005
6,6,2,3627000
7,6,2,3828999.9999999995
8,6,2,4078999.9999999995
9,6,2,4432000
10,6,2,4756000
11,6,2,4839000
12,6,2,4846000
13,6,2,4835000
14,6,2,4755000
15,6,2,4769000
16,6,2,4734000
17,6,2,4816000
18,6,2,4980000
19,6,2,4993000
20,6,2,4851000
21,6,2,4792000
22,6,2,4637000
23,6,2,4266999.999999999
0,6,2,3995000
1,0,2,3731000
2,0,2,3598000
3,0,2,3504000
4,0,2,3467000
5,0,2,3526000
6,0,2,3863000
7,0,2,4514000
8,0,2,5173000
9,0,2,5333000
10,0,2,5364000
11,0,2,5350000
12,0,2,5372999.999999999
13,0,2,5352000
14,0,2,5303000
15,0,2,5311999.999999999
16,0,2,5287000
17,0,2,5351000
18,0,2,5438000
19,0,2,5393000
20,0,2,5217000.000000001
21,0,2,5109000
22,0,2,4929000
23,0,2,4529000
0,0,2,4220000
1,1,2,3935000
2,1,2,3778000
3,1,2,3639000.0000000005
4,1,2,3585000
5,1,2,3644000
6,1,2,3979000
7,1,2,4625000
8,1,2,5272000
9,1,2,5404000
10,1,2,5438000.000000001
11,1,2,5388000
12,1,2,5346999.999999999
13,1,2,5289000
14,1,2,5278000.000000001
15,1,2,5294000.000000001
16,1,2,5244000
17,1,2,5297000.000000001
18,1,2,5348000
19,1,2,5288000
20,1,2,5145000
21,1,2,5083000
22,1,2,4936999.999999999
23,1,2,4509000
0,1,2,4171999.9999999995
1,2,2,3884000
2,2,2,3713000
3,2,2,3593000
4,2,2,3542000
5,2,2,3596000
6,2,2,3933000
7,2,2,4590999.999999999
8,2,2,5212000
9,2,2,5354000
10,2,2,5355000
11,2,2,5298999.999999999
12,2,2,5300000
13,2,2,5284000
14,2,2,5250000
15,2,2,5260000
16,2,2,5223000
17,2,2,5289000
18,2,2,5324000
19,2,2,5310000.000000001
20,2,2,5165000
21,2,2,5129000
22,2,2,4977000
23,2,2,4542000
0,2,2,4209000
1,3,2,3894000
2,3,2,3726000
3,3,2,3619000
4,3,2,3567999.9999999995
5,3,2,3620000
6,3,2,3950000
7,3,2,4611000.000000001
8,3,2,5250000
9,3,2,5366000
10,3,2,5364000
11,3,2,5281000.000000001
12,3,2,5254000
13,3,2,5223000
14,3,2,5189999.999999999
15,3,2,5191000.000000001
16,3,2,5172000.000000001
17,3,2,5227000
18,3,2,5262000
19,3,2,5237000
20,3,2,5106000
21,3,2,5069000
22,3,2,4920000
23,3,2,4522000
0,3,2,4191000
1,4,3,3888000
2,4,3,3727999.9999999995
3,4,3,3610000
4,4,3,3544000
5,4,3,3591999.9999999995
6,4,3,3915000
7,4,3,4542999.999999999
8,4,3,5180000
9,4,3,5316000
10,4,3,5295000
11,4,3,5213000
12,4,3,5224000
13,4,3,5188000.000000001
14,4,3,5162000
15,4,3,5153000.000000001
16,4,3,5117000
17,4,3,5140000.000000001
18,4,3,5148000
19,4,3,5077999.999999999
20,4,3,4929000
21,4,3,4898000
22,4,3,4747999.999999999
23,4,3,4419000
0,4,3,4154999.9999999995
1,5,3,3846000
2,5,3,3644000
3,5,3,3535000
4,5,3,3471000
5,5,3,3464000
6,5,3,3638000
7,5,3,3887000
8,5,3,4187000.0000000005
9,5,3,4503000
10,5,3,4742000
11,5,3,4771000
12,5,3,4742000
13,5,3,4721999.999999999
14,5,3,4657000
15,5,3,4649000
16,5,3,4632000
17,5,3,4696000
18,5,3,4798999.999999999
19,5,3,4779999.999999999
20,5,3,4651999.999999999
21,5,3,4622000
22,5,3,4507000
23,5,3,4242000
0,5,3,4024000
1,6,3,3749000
2,6,3,3585000
3,6,3,3481000
4,6,3,3405000.0000000005
5,6,3,3416000.0000000005
6,6,3,3553000
7,6,3,3744000
8,6,3,4003999.9999999995
9,6,3,4359000
10,6,3,4690000
11,6,3,4765000
12,6,3,4768000.000000001
13,6,3,4713000
14,6,3,4634000
15,6,3,4576000.000000001
16,6,3,4572000
17,6,3,4629000
18,6,3,4835000
19,6,3,4896000
20,6,3,4789000
21,6,3,4762000
22,6,3,4608000
23,6,3,4223000.000000001
0,6,3,3947000
1,0,3,3678000
2,0,3,3519000
3,0,3,3419000
4,0,3,3397000.0000000005
5,0,3,3477000.0000000005
6,0,3,3823000
7,0,3,4483000.000000001
8,0,3,5151000
9,0,3,5330000
10,0,3,5321999.999999999
11,0,3,5316000
12,0,3,5330000
13,0,3,5339000
14,0,3,5313000.000000001
15,0,3,5326000.000000001
16,0,3,5303000
17,0,3,5374000
18,0,3,5429000
19,0,3,5378000
20,0,3,5179000
21,0,3,5039000
22,0,3,4771000
23,0,3,4374000.000000001
0,0,3,4061000
1,1,3,3768000
2,1,3,3602999.9999999995
3,1,3,3498000
4,1,3,3452000
5,1,3,3519000
6,1,3,3851000
7,1,3,4511000
8,1,3,5223000
9,1,3,5391999.999999999
10,1,3,5364000
11,1,3,5258000
12,1,3,5215999.999999999
13,1,3,5152000
14,1,3,5092000.000000001
15,1,3,5066000
16,1,3,5031000.000000001
17,1,3,5087000
18,1,3,5169000.000000001
19,1,3,5195000
20,1,3,5093999.999999999
21,1,3,5083000
22,1,3,4878000
23,1,3,4432000
0,1,3,4090000
1,2,3,3806000
2,2,3,3636000
3,2,3,3556000
4,2,3,3506000
5,2,3,3575000
6,2,3,3936000
7,2,3,4648000
8,2,3,5390000.000000001
9,2,3,5519000
10,2,3,5387000
11,2,3,5246000
12,2,3,5189999.999999999
13,2,3,5123000
14,2,3,5061999.999999999
15,2,3,5053000
16,2,3,5015000.000000001
17,2,3,5074000
18,2,3,5151000
19,2,3,5165000
20,2,3,5078000
21,2,3,5102000
22,2,3,4917000
23,2,3,4495000
0,2,3,4151999.999999999
1,3,3,3860000.0000000005
2,3,3,3681000
3,3,3,3583000
4,3,3,3535000
5,3,3,3594999.9999999995
6,3,3,3942999.9999999995
7,3,3,4629000
8,3,3,5355000
9,3,3,5490000
10,3,3,5423000
11,3,3,5309000
12,3,3,5238000
13,3,3,5188000.000000001
14,3,3,5125999.999999999
15,3,3,5139000
16,3,3,5082000
17,3,3,5160000
18,3,3,5245000
19,3,3,5262000
20,3,3,5173999.999999999
21,3,3,5162000
22,3,3,4923000
23,3,3,4496000
0,3,3,4196000
1,4,3,3897000.0000000005
2,4,3,3730000
3,4,3,3615000
4,4,3,3574000
5,4,3,3635000
6,4,3,3953000
7,4,3,4575000
8,4,3,5237000
9,4,3,5410000
10,4,3,5372999.999999999
11,4,3,5270000
12,4,3,5233000.000000001
13,4,3,5189000
14,4,3,5135000
15,4,3,5109999.999999999
16,4,3,5042000
17,4,3,5091000
18,4,3,5112000
19,4,3,5061000
20,4,3,4957000.000000001
21,4,3,4929000
22,4,3,4765000.000000001
23,4,3,4458000
0,4,3,4208000
1,5,3,3915000
2,5,3,3713000
3,5,3,3597000
4,5,3,3530000.0000000005
5,5,3,3537000
6,5,3,3700999.9999999995
7,5,3,3961000
8,5,3,4288000
9,5,3,4632000
10,5,3,4899000
11,5,3,4891000
12,5,3,4824000
13,5,3,4725000
14,5,3,4625999.999999999
15,5,3,4588000
16,5,3,4555000
17,5,3,4620000
18,5,3,4736000.000000001
19,5,3,4739000
20,5,3,4667999.999999999
21,5,3,4638000
22,5,3,4516999.999999999
23,5,3,4231000
0,5,3,4031000.0000000005
1,6,3,3743000
2,6,3,3586000
3,6,3,3474000
4,6,3,3412000
5,6,3,3419000
6,6,3,3560000
7,6,3,3783000
8,6,3,4082000
9,6,3,4454000
10,6,3,4702000
11,6,3,4670000
12,6,3,4610000
13,6,3,4521000
14,6,3,4471000
15,6,3,4460000
16,6,3,4454000.000000001
17,6,3,4580999.999999999
18,6,3,4773000
19,6,3,4846999.999999999
20,6,3,4789000
21,6,3,4802000
22,6,3,4613000
23,6,3,4213000
0,6,3,3928000
1,0,3,3667000
2,0,3,3532000
3,0,3,3442000
4,0,3,3401000
5,0,3,3466000
6,0,3,3808000
7,0,3,4459000
8,0,3,5137000
9,0,3,5300000
10,0,3,5333000
11,0,3,5298000
12,0,3,5303000
13,0,3,5262000
14,0,3,5218000
15,0,3,5212000
16,0,3,5199000
17,0,3,5271000
18,0,3,5381000
19,0,3,5375999.999999999
20,0,3,5258000
21,0,3,5151000
22,0,3,4875000
23,0,3,4462000
0,0,3,4142000.0000000005
1,1,3,3844000
2,1,3,3654000
3,1,3,3573000
4,1,3,3520000
5,1,3,3594000
6,1,3,3937000.0000000005
7,1,3,4598000
8,1,3,5294000.000000001
9,1,3,5433999.999999999
10,1,3,5384000
11,1,3,5313000
12,1,3,5281000
13,1,3,5234000
14,1,3,5204000.000000001
15,1,3,5193000
16,1,3,5175000.000000001
17,1,3,5279000
18,1,3,5358000
19,1,3,5311000
20,1,3,5197000
21,1,3,5121000
22,1,3,4886000
23,1,3,4480000
0,1,3,4156000.0000000005
1,2,3,3867000
2,2,3,3715000
3,2,3,3622000
4,2,3,3573000
5,2,3,3621000
6,2,3,3955000
7,2,3,4616000
8,2,3,5295999.999999999
9,2,3,5429000
10,2,3,5431000
11,2,3,5311000
12,2,3,5319000
13,2,3,5258000
14,2,3,5166000
15,2,3,5208000
16,2,3,5184000
17,2,3,5243000
18,2,3,5293000
19,2,3,5276000
20,2,3,5186000
21,2,3,5118000
22,2,3,4899000
23,2,3,4486000.000000001
0,2,3,4152000
1,3,3,3863000
2,3,3,3706000
3,3,3,3589000
4,3,3,3542000
5,3,3,3602999.9999999995
6,3,3,3955000
7,3,3,4626000
8,3,3,5310000.000000001
9,3,3,5439000
10,3,3,5391000
11,3,3,5274000
12,3,3,5244000
13,3,3,5207000.000000001
14,3,3,5118000
15,3,3,5153000.000000001
16,3,3,5128000
17,3,3,5167000
18,3,3,5224000
19,3,3,5238000
20,3,3,5171000
21,3,3,5133000
22,3,3,4913000
23,3,3,4495000
0,3,3,4176999.9999999995
1,4,3,3873000
2,4,3,3695000.0000000005
3,4,3,3583000
4,4,3,3546999.9999999995
5,4,3,3602000.0000000005
6,4,3,3937000.0000000005
7,4,3,4560000.000000001
8,4,3,5259000
9,4,3,5443000
10,4,3,5430000
11,4,3,5354000
12,4,3,5308999.999999999
13,4,3,5258000
14,4,3,5193000
15,4,3,5200000
16,4,3,5147000
17,4,3,5213000
18,4,3,5256000
19,4,3,5223000
20,4,3,5151000
21,4,3,5024000
22,4,3,4822000
23,4,3,4468999.999999999
0,4,3,4186000
1,5,3,3860999.9999999995
2,5,3,3670000
3,5,3,3548000
4,5,3,3492000
5,5,3,3509000.0000000005
6,5,3,3683000
7,5,3,3977000
8,5,3,4359000
9,5,3,4759000
10,5,3,4979000
11,5,3,4879000
12,5,3,4734000
13,5,3,4593000
14,5,3,4468999.999999999
15,5,3,4381000
16,5,3,4313000
17,5,3,4393000.000000001
18,5,3,4532000
19,5,3,4603000
20,5,3,4593999.999999999
21,5,3,4608000
22,5,3,4467000.000000001
23,5,3,4176999.9999999995
0,5,3,3953999.9999999995
1,6,3,3631000
2,6,3,3490999.9999999995
3,6,3,3378000
4,6,3,3325999.9999999995
5,6,3,3327000
6,6,3,3487000
7,6,3,3735999.9999999995
8,6,3,4062000.0000000005
9,6,3,4461000
10,6,3,4738000
11,6,3,4725000
12,6,3,4617000
13,6,3,4520000
14,6,3,4430000
15,6,3,4385000
16,6,3,4351000
17,6,3,4462000
18,6,3,4675000.000000001
19,6,3,4773999.999999999
20,6,3,4763999.999999999
21,6,3,4746000
22,6,3,4532000
23,6,3,4119000
0,6,3,3819000
1,0,3,3567999.9999999995
2,0,3,3430000
3,0,3,3332000
4,0,3,3306000
5,0,3,3391000
6,0,3,3772999.9999999995
7,0,3,4484000
8,0,3,5241000
9,0,3,5390000.000000001
10,0,3,5298000
11,0,3,5168000
12,0,3,5128000
13,0,3,5045000
14,0,3,5026000
15,0,3,5009000
16,0,3,4987000
17,0,3,5057000
18,0,3,5194000.000000001
19,0,3,5227000
20,0,3,5172000.000000001
21,0,3,5083000
22,0,3,4814999.999999999
23,0,3,4371000
0,0,3,4038000.0000000005
1,1,3,3742000
2,1,3,3581000
3,1,3,3474000
4,1,3,3443000
5,1,3,3523000
6,1,3,3897999.9999999995
7,1,3,4644000
8,1,3,5422000
9,1,3,5515000.000000001
10,1,3,5395000
11,1,3,5238000
12,1,3,5157999.999999999
13,1,3,5072000
14,1,3,5003000
15,1,3,4961000
16,1,3,4927000
17,1,3,5006000
18,1,3,5132000
19,1,3,5176000
20,1,3,5186000
21,1,3,5185000.000000001
22,1,3,4957000
23,1,3,4505000
0,1,3,4149000
1,2,3,3833000
2,2,3,3653000
3,2,3,3520000
4,2,3,3468000
5,2,3,3545000
6,2,3,3947000
7,2,3,4739000.000000001
8,2,3,5569000
9,2,3,5693000
10,2,3,5524000
11,2,3,5289000
12,2,3,5147000
13,2,3,4967000.000000001
14,2,3,4911000
15,2,3,4888000
16,2,3,4868000
17,2,3,4960000
18,2,3,5045000
19,2,3,5145000
20,2,3,5164000
21,2,3,5134000
22,2,3,4918000
23,2,3,4487000
0,2,3,4136000
1,3,3,3833000
2,3,3,3668000
3,3,3,3557000
4,3,3,3509000
5,3,3,3583999.9999999995
6,3,3,3957000
7,3,3,4730000
8,3,3,5545000
9,3,3,5649000
10,3,3,5447000
11,3,3,5205999.999999999
12,3,3,5080999.999999999
13,3,3,5000000
14,3,3,4937000
15,3,3,4904000
16,3,3,4869000
17,3,3,4948000
18,3,3,5055999.999999999
19,3,3,5118000
20,3,3,5125000
21,3,3,5115000
22,3,3,4877000.000000001
23,3,3,4465000
0,3,3,4141999.9999999995
1,4,3,3852000
2,4,3,3682000.0000000005
3,4,3,3588000
4,4,3,3546000.0000000005
5,4,3,3602999.9999999995
6,4,3,3963000
7,4,3,4684000
8,4,3,5471000
9,4,3,5608000.000000001
10,4,3,5500999.999999999
11,4,3,5321000
12,4,3,5213000
13,4,3,5109000
14,4,3,5013000
15,4,3,4971000
16,4,3,4923000
17,4,3,4941000.000000001
18,4,3,4983000.000000001
19,4,3,5004000
20,4,3,5004000
21,4,3,4931000
22,4,3,4729000
23,4,3,4414000
0,4,3,4149000
1,5,3,3843000
2,5,3,3658000
3,5,3,3532000
4,5,3,3479000
5,5,3,3493000.0000000005
6,5,3,3676000
7,5,3,3953999.9999999995
8,5,3,4308000
9,5,3,4705000
10,5,3,4996000
11,5,3,4987000
12,5,3,4911000
13,5,3,4795000
14,5,3,4683000
15,5,3,4625000
16,5,3,4592000.000000001
17,5,3,4648000
18,5,3,4770000
19,5,3,4798000
20,5,3,4750999.999999999
21,5,3,4643000.000000001
22,5,3,4476000
23,5,3,4197000
0,5,3,3984000
1,6,3,3718000
2,6,3,3538000.0000000005
3,6,3,3413999.9999999995
4,6,3,3351000
5,6,3,3362000
6,6,3,3521000
7,6,3,3743000
8,6,3,4022000.0000000005
9,6,3,4430000
10,6,3,4729000
11,6,3,4722000
12,6,3,4640000
13,6,3,4645000
14,6,3,4555999.999999999
15,6,3,4481000
16,6,3,4498000
17,6,3,4611000
18,6,3,4816000.000000001
19,6,3,4898000
20,6,3,4887000
21,6,3,4795000
22,6,3,4561000
23,6,3,4195000
0,6,3,3913999.9999999995
1,0,3,3634000.0000000005
2,0,3,3482999.9999999995
3,0,3,3391000
4,0,3,3351000
5,0,3,3424000
6,0,3,3789000
7,0,3,4470000
8,0,3,5188000.000000001
9,0,3,5330999.999999999
10,0,3,5314999.999999999
11,0,3,5271000
12,0,3,5217000.000000001
13,0,3,5209000
14,0,3,5148000
15,0,3,5080000
16,0,3,5093000
17,0,3,5194000.000000001
18,0,3,5327000
19,0,3,5339000
20,0,3,5287000
21,0,3,5159000.000000001
22,0,3,4878000
23,0,3,4454000
0,0,3,4154000
1,1,3,3847000
2,1,3,3681000
3,1,3,3577000
4,1,3,3522999.9999999995
5,1,3,3578000.0000000005
6,1,3,3931000
7,1,3,4624000.000000001
8,1,3,5325000
9,1,3,5455000
10,1,3,5410000
11,1,3,5277000
12,1,3,5291000
13,1,3,5259000
14,1,3,5167000
15,1,3,5182000
16,1,3,5160000
17,1,3,5246000
18,1,3,5324000
19,1,3,5356000
20,1,3,5343000
21,1,3,5236000
22,1,3,4960000
23,1,3,4539000
0,1,3,4221999.999999999
1,2,3,3921999.9999999995
2,2,3,3730000
3,2,3,3598000
4,2,3,3549000
5,2,3,3620000
6,2,3,3978000
7,2,3,4636000
8,2,3,5348000.000000001
9,2,3,5500999.999999999
10,2,3,5463000
11,2,3,5324999.999999999
12,2,3,5304000
13,2,3,5298999.999999999
14,2,3,5243000
15,2,3,5153000.000000001
16,2,3,5161000
17,2,3,5223000.000000001
18,2,3,5292000
19,2,3,5357000
20,2,3,5388999.999999999
21,2,3,5266999.999999999
22,2,3,5029999.999999999
23,2,3,4596999.999999999
0,2,3,4264000
1,3,3,3945000
2,3,3,3776000
3,3,3,3668000
4,3,3,3615000
5,3,3,3674000
6,3,3,4030000.0000000005
7,3,3,4736000
8,3,3,5477000
9,3,3,5645000
10,3,3,5566000
11,3,3,5475000
12,3,3,5375000
13,3,3,5322000
14,3,3,5254000
15,3,3,5213000
16,3,3,5148000
17,3,3,5207000
18,3,3,5284000
19,3,3,5324000
20,3,3,5359999.999999999
21,3,3,5214000
22,3,3,5026000
23,3,3,4653000.000000001
0,3,3,4311999.999999999
1,4,3,3952000
2,4,3,3737000
3,4,3,3614000
4,4,3,3540000
5,4,3,3535999.9999999995
6,4,3,3703000.0000000005
7,4,3,3970000
8,4,3,4306000
9,4,3,4688000.000000001
10,4,3,4923999.999999999
11,4,3,4895000
12,4,3,4829000.000000001
13,4,3,4714000
14,4,3,4584000
15,4,3,4479000
16,4,3,4379000
17,4,3,4465000
18,4,3,4663000
19,4,3,4771000
20,4,3,4848000
21,4,3,4760000
22,4,3,4612000
23,4,3,4306000
0,4,3,4073000.0000000005
1,5,3,3798000
2,5,3,3625000
3,5,3,3519000
4,5,3,3464000
5,5,3,3477000.0000000005
6,5,3,3665000
7,5,3,3948000
8,5,3,4317000
9,5,3,4739000
10,5,3,4984999.999999999
11,5,3,4907000
12,5,3,4766999.999999999
13,5,3,4637000
14,5,3,4500999.999999999
15,5,3,4441000.000000001
16,5,3,4374000.000000001
17,5,3,4468000
18,5,3,4635000
19,5,3,4741000
20,5,3,4811000
21,5,3,4741000
22,5,3,4578000
23,5,3,4292999.999999999
0,5,3,4061000
1,6,3,3762000
2,6,3,3569000
3,6,3,3448000.0000000005
4,6,3,3389999.9999999995
5,6,3,3409000
6,6,3,3559000
7,6,3,3798000
8,6,3,4125000
9,6,3,4516000
10,6,3,4742000
11,6,3,4701000.000000001
12,6,3,4621000
13,6,3,4534000.000000001
14,6,3,4413000
15,6,3,4339000
16,6,3,4302000
17,6,3,4410000
18,6,3,4587000
19,6,3,4690000
20,6,3,4743000
21,6,3,4675000.000000001
22,6,3,4508000
23,6,3,4211000
0,6,3,3958000
1,0,4,3695000.0000000005
2,0,4,3522999.9999999995
3,0,4,3417000
4,0,4,3360000
5,0,4,3385000
6,0,4,3567000
7,0,4,3847000
8,0,4,4170000
9,0,4,4545000
10,0,4,4827000
11,0,4,4846000
12,0,4,4773000
13,0,4,4677000
14,0,4,4563000
15,0,4,4489000
16,0,4,4445000
17,0,4,4573000
18,0,4,4800000
19,0,4,4909000
20,0,4,4949000
21,0,4,4804000
22,0,4,4566000.000000001
23,0,4,4179000.0000000005
0,0,4,3895000
1,1,4,3617000
2,1,4,3463000
3,1,4,3368000
4,1,4,3332000
5,1,4,3420000
6,1,4,3782000
7,1,4,4414999.999999999
8,1,4,5050000
9,1,4,5354000
10,1,4,5409000.000000001
11,1,4,5319000
12,1,4,5241000
13,1,4,5209000
14,1,4,5145000
15,1,4,5092000
16,1,4,5055999.999999999
17,1,4,5105000
18,1,4,5270000
19,1,4,5361000
20,1,4,5388000
21,1,4,5231999.999999999
22,1,4,4960000
23,1,4,4513000
0,1,4,4187999.9999999995
1,2,4,3877000
2,2,4,3662000
3,2,4,3559999.9999999995
4,2,4,3501000
5,2,4,3554999.9999999995
6,2,4,3929000.0000000005
7,2,4,4658000
8,2,4,5435000.000000001
9,2,4,5573000
10,2,4,5425000
11,2,4,5231999.999999999
12,2,4,5145000
13,2,4,5096000
14,2,4,5055999.999999999
15,2,4,5043000
16,2,4,5035000
17,2,4,5129000
18,2,4,5250000
19,2,4,5307000
20,2,4,5326000
21,2,4,5144000
22,2,4,4872000
23,2,4,4448000
0,2,4,4128999.9999999995
1,3,4,3808000
2,3,4,3625000
3,3,4,3495000
4,3,4,3451000
5,3,4,3526000
6,3,4,3890000
7,3,4,4587000
8,3,4,5333000
9,3,4,5464000
10,3,4,5396000.000000001
11,3,4,5317000
12,3,4,5268000.000000001
13,3,4,5203000
14,3,4,5166000
15,3,4,5132000
16,3,4,5105000
17,3,4,5177000
18,3,4,5278000.000000001
19,3,4,5352000
20,3,4,5378000
21,3,4,5172000
22,3,4,4903000.000000001
23,3,4,4473000
0,3,4,4136000
1,4,4,3804999.9999999995
2,4,4,3634000
3,4,4,3524000
4,4,4,3479000
5,4,4,3546000
6,4,4,3895000
7,4,4,4576000.000000001
8,4,4,5330000
9,4,4,5520000
10,4,4,5472000
11,4,4,5348000.000000001
12,4,4,5266000
13,4,4,5170000
14,4,4,5086000
15,4,4,5013000
16,4,4,4931000
17,4,4,5034000
18,4,4,5132000
19,4,4,5125000
20,4,4,5177000
21,4,4,5004000
22,4,4,4795000
23,4,4,4468999.999999999
0,4,4,4175000.000000001
1,5,4,3872000
2,5,4,3667000
3,5,4,3527000
4,5,4,3458000
5,5,4,3474000
6,5,4,3668000
7,5,4,3958000
8,5,4,4324000
9,5,4,4720000.000000001
10,5,4,4982000
11,5,4,4961000
12,5,4,4865000
13,5,4,4723000.000000001
14,5,4,4620000
15,5,4,4540000
16,5,4,4488000
17,5,4,4576000
18,5,4,4737000
19,5,4,4798999.999999999
20,5,4,4837000
21,5,4,4684000
22,5,4,4516999.999999999
23,5,4,4252000.000000001
0,5,4,4037000
1,6,4,3757000
2,6,4,3575000
3,6,4,3421500
4,6,4,3357999.9999999995
5,6,4,3412000
6,6,4,3604000
7,6,4,3952000
8,6,4,4377000
9,6,4,4713000
10,6,4,4835000
11,6,4,4729000
12,6,4,4616000
13,6,4,4518000.000000001
14,6,4,4395000
15,6,4,4387000
16,6,4,4441000.000000001
17,6,4,4666000
18,6,4,4994000
19,6,4,5218000
20,6,4,5053000
21,6,4,4761000
22,6,4,4498000
23,6,4,4109999.9999999995
0,6,4,3867000
1,0,4,3628000
2,0,4,3488000
3,0,4,3410000
4,0,4,3373999.9999999995
5,0,4,3501000.0000000005
6,0,4,3935000
7,0,4,4798000
8,0,4,5505000
9,0,4,5502000
10,0,4,5336000
11,0,4,5173999.999999999
12,0,4,5096000
13,0,4,5063000
14,0,4,5030000
15,0,4,5029999.999999999
16,0,4,4989000
17,0,4,5162000.000000001
18,0,4,5344000
19,0,4,5577999.999999999
20,0,4,5359999.999999999
21,0,4,5045000
22,0,4,4793000
23,0,4,4366000
0,0,4,4093999.9999999995
1,1,4,3825000
2,1,4,3660000
3,1,4,3558000
4,1,4,3514000
5,1,4,3599000
6,1,4,3917000
7,1,4,4788000
8,1,4,5436000
9,1,4,5420000
10,1,4,5253000
11,1,4,5117000
12,1,4,5072000
13,1,4,5050000
14,1,4,5080999.999999999
15,1,4,5082000.000000001
16,1,4,5086000
17,1,4,5159000
18,1,4,5343999.999999999
19,1,4,5554000
20,1,4,5333000
21,1,4,5006000
22,1,4,4749000.000000001
23,1,4,4339000
0,1,4,4048000
1,2,4,3774000
2,2,4,3627000
3,2,4,3506000
4,2,4,3466000
5,2,4,3556000
6,2,4,3920000
7,2,4,4622000
8,2,4,5254000
9,2,4,5298999.999999999
10,2,4,5211000
11,2,4,5160000
12,2,4,5145000
13,2,4,5133000
14,2,4,5105000
15,2,4,5090000
16,2,4,5086000
17,2,4,5182000
18,2,4,5348000
19,2,4,5529000
20,2,4,5285000
21,2,4,4980000
22,2,4,4727000
23,2,4,4339000
0,2,4,4054999.9999999995
1,3,4,3742000
2,3,4,3605000
3,3,4,3517000
4,3,4,3471000
5,3,4,3543999.9999999995
6,3,4,3900000.0000000005
7,3,4,4627000.000000001
8,3,4,5288000
9,3,4,5406000.000000001
10,3,4,5379000
11,3,4,5329000.000000001
12,3,4,5323000
13,3,4,5303000
14,3,4,5289000
15,3,4,5273000
16,3,4,5284000
17,3,4,5366000
18,3,4,5520000
19,3,4,5649000
20,3,4,5388999.999999999
21,3,4,5069000
22,3,4,4791000
23,3,4,4404000
0,3,4,4125999.9999999995
1,4,4,3844999.9999999995
2,4,4,3677000
3,4,4,3575000
4,4,4,3543000
5,4,4,3610000
6,4,4,3945999.9999999995
7,4,4,4636000
8,4,4,5337000
9,4,4,5510000
10,4,4,5526000
11,4,4,5466000
12,4,4,5285000
13,4,4,5334000
14,4,4,5305000
15,4,4,5244000
16,4,4,5209000
17,4,4,5305999.999999999
18,4,4,5433999.999999999
19,4,4,5520000
20,4,4,5279000
21,4,4,4960000
22,4,4,4733000.000000001
23,4,4,4390000.000000001
0,4,4,4125000
1,5,4,3806000
2,5,4,3629000
3,5,4,3506000
4,5,4,3432000.0000000005
5,5,4,3463000
6,5,4,3628000
7,5,4,3966000
8,5,4,4355000
9,5,4,4712000
10,5,4,4943000
11,5,4,4922000.000000001
12,5,4,4861000
13,5,4,4765000.000000001
14,5,4,4663000
15,5,4,4609000
16,5,4,4628000
17,5,4,4757000
18,5,4,4994000
19,5,4,5146000
20,5,4,4900000
21,5,4,4673999.999999999
22,5,4,4511000
23,5,4,4209000
0,5,4,3977999.9999999995
1,6,4,3702000
2,6,4,3532000
3,6,4,3415000
4,6,4,3355000
5,6,4,3357999.9999999995
6,6,4,3517000
7,6,4,3804000.0000000005
8,6,4,4159000
9,6,4,4506000
10,6,4,4731000
11,6,4,4683000
12,6,4,4588000
13,6,4,4497000
14,6,4,4392000
15,6,4,4342000
16,6,4,4295999.999999999
17,6,4,4566000.000000001
18,6,4,4909000
19,6,4,5169000.000000001
20,6,4,4959000
21,6,4,4699000
22,6,4,4486000
23,6,4,4122000
0,6,4,3862000
1,0,4,3598000
2,0,4,3449000
3,0,4,3370000
4,0,4,3347000
5,0,4,3424000
6,0,4,3815000
7,0,4,4548000
8,0,4,5183000
9,0,4,5375000
10,0,4,5353000
11,0,4,5218999.999999999
