hour_of_day,day_of_week,month,kWh
17,3,1,5425000.000000001
18,3,1,5448000
19,3,1,5411000
20,3,1,5211000
21,3,1,5028000.000000001
22,3,1,4976000
23,3,1,4661000
0,3,1,4339000
1,4,1,4018000
2,4,1,3817999.9999999995
3,4,1,3692000
4,4,1,3651000
5,4,1,3657000
6,4,1,3921999.9999999995
7,4,1,4342000.000000001
8,4,1,4811000
9,4,1,5114000.000000001
10,4,1,5287000
11,4,1,5296000
12,4,1,5301000
13,4,1,5326000.000000001
14,4,1,5334000
15,4,1,5354000
16,4,1,5308999.999999999
17,4,1,5330000
18,4,1,5321999.999999999
19,4,1,5256000
20,4,1,5085000
21,4,1,4879000
22,4,1,4859000
23,4,1,4583000
0,4,1,4309000
1,5,1,3990000
2,5,1,3788000.0000000005
3,5,1,3655000.0000000005
4,5,1,3566000
5,5,1,3570000.0000000005
6,5,1,3714000
7,5,1,3902000
8,5,1,4172000.0000000005
9,5,1,4470000
10,5,1,4766999.999999999
11,5,1,4822000
12,5,1,4835000
13,5,1,4820000
14,5,1,4800000
15,5,1,4821000
16,5,1,4818000
17,5,1,4900000
18,5,1,5011000
19,5,1,5034000
20,5,1,4907999.999999999
21,5,1,4745000
22,5,1,4743000
23,5,1,4496000
0,5,1,4215000
1,6,1,3899000
2,6,1,3705000
3,6,1,3578000
4,6,1,3490999.9999999995
5,6,1,3483000
6,6,1,3608000
7,6,1,3771000
8,6,1,4011000
9,6,1,4314000
10,6,1,4617000
11,6,1,4713000
12,6,1,4745000
13,6,1,4738000
14,6,1,4709000
15,6,1,4743000
16,6,1,4740000
17,6,1,4887000
18,6,1,5045000
19,6,1,5095000.000000001
20,6,1,4959000
21,6,1,4812000
22,6,1,4813000
23,6,1,4489000
0,6,1,4154000
1,0,1,3842000
2,0,1,3662000
3,0,1,3566000
4,0,1,3527000
5,0,1,3569000
6,0,1,3870000
7,0,1,4400000
8,0,1,4904000
9,0,1,5192000
10,0,1,5395000
11,0,1,5412000.000000001
12,0,1,5407000
13,0,1,5402000
14,0,1,5365000
15,0,1,5365000
16,0,1,5319000
17,0,1,5307000
18,0,1,5339000
19,0,1,5272000
20,0,1,5074000
21,0,1,4904000
22,0,1,4837000
23,0,1,4495000
0,0,1,4200000
1,1,1,3908000
2,1,1,3744000
3,1,1,3648000
4,1,1,3593000
5,1,1,3634000.0000000005
6,1,1,3926999.9999999995
7,1,1,4449000
8,1,1,4936000
9,1,1,5188000.000000001
10,1,1,5314000
11,1,1,5289000
12,1,1,5327000
13,1,1,5319000
14,1,1,5305000
15,1,1,5362000
16,1,1,5348000.000000001
17,1,1,5383000
18,1,1,5409000
19,1,1,5369000
20,1,1,5202000
21,1,1,5032000
22,1,1,5008000
23,1,1,4661000
0,1,1,4314999.999999999
1,2,1,3987000
2,2,1,3804000
3,2,1,3697000
4,2,1,3633000
5,2,1,3679999.9999999995
6,2,1,3984000
7,2,1,4502000
8,2,1,4997000
9,2,1,5261000
10,2,1,5420000
11,2,1,5425000
12,2,1,5459000
13,2,1,5490000
14,2,1,5516999.999999999
15,2,1,5567000
16,2,1,5571000
17,2,1,5601000
18,2,1,5600000
19,2,1,5514000
20,2,1,5335000
21,2,1,5162000
22,2,1,5129000
