storage_GWh,inflow_MW
3855.291666666667,2525.8383333333336
3854.9443333333334,2516.771666666667
3854.5969999999998,2507.705
3854.2496666666666,2498.6383333333333
3853.9023333333334,2489.5716666666667
3853.555,2480.505
3853.2075,2458.29
3852.8599999999997,2436.0750000000003
3852.5125,2413.86
3852.165,2391.645
3851.8174999999997,2369.4300000000003
3851.47,2347.215
3850.6676666666663,2327.9058333333332
3849.865333333333,2308.596666666667
3849.063,2289.2875000000004
3848.2606666666666,2269.9783333333335
3847.458333333333,2250.6691666666666
3846.656,2231.36
3845.853666666667,2215.911666666667
3845.0513333333333,2200.4633333333336
3844.249,2185.0150000000003
3843.4466666666667,2169.5666666666666
3842.6443333333336,2154.1183333333333
3841.842,2138.67
3841.409,2130.0275
3840.976,2121.385
3840.543,2112.7425000000003
3840.11,2104.1
3839.677,2095.4575
3839.244,2086.815
3838.8108333333334,2082.6175000000003
3838.3776666666668,2078.42
3837.9445,2074.2225
3837.5113333333334,2070.025
3837.0781666666667,2065.8275000000003
3836.645,2061.63
3835.6821666666665,2060.695833333333
3834.7193333333335,2059.7616666666668
3833.7565,2058.8275000000003
3832.7936666666665,2057.8933333333334
3831.8308333333334,2056.9591666666665
3830.868,2056.025
3829.9049999999997,2060.2558333333336
3828.942,2064.4866666666667
3827.9790000000003,2068.7174999999997
3827.016,2072.9483333333333
3826.053,2077.179166666667
3825.09,2081.41
3824.6296666666667,2083.163333333333
3824.1693333333333,2084.9166666666665
3823.709,2086.67
3823.248666666667,2088.423333333333
3822.7883333333334,2090.1766666666663
3822.328,2091.93
3821.8675,2091.935833333333
3821.407,2091.9416666666666
3820.9465,2091.9475
3820.486,2091.9533333333334
3820.0255,2091.9591666666665
3819.565,2091.965
3818.6263333333336,2095.685
3817.6876666666667,2099.405
3816.749,2103.125
3815.8103333333333,2106.845
3814.871666666667,2110.565
3813.933,2114.285
3812.994333333333,2119.2966666666666
3812.0556666666666,2124.3083333333334
3811.117,2129.3199999999997
3810.1783333333333,2134.3316666666665
3809.2396666666664,2139.3433333333332
3808.301,2144.355
3807.1758333333332,2146.205
3806.0506666666665,2148.055
3804.9255000000003,2149.9049999999997
3803.8003333333336,2151.755
3802.675166666667,2153.605
3801.55,2155.455
3800.4248333333335,2154.5616666666665
3799.299666666667,2153.668333333333
3798.1745,2152.7749999999996
3797.0493333333334,2151.8816666666667
3795.9241666666667,2150.9883333333332
3794.799,2150.095
3793.341,2148.8458333333333
3791.883,2147.5966666666664
3790.425,2146.3475
3788.967,2145.0983333333334
3787.509,2143.8491666666664
3786.051,2142.6
3784.592833333333,2139.523333333333
3783.134666666667,2136.4466666666667
3781.6765,2133.37
3780.2183333333332,2130.293333333333
3778.760166666667,2127.2166666666667
3777.302,2124.14
3776.240333333333,2121.733333333333
3775.1786666666667,2119.3266666666664
3774.117,2116.92
3773.0553333333332,2114.5133333333333
3771.9936666666663,2112.1066666666666
3770.932,2109.7
3769.8703333333333,2108.62
3768.8086666666663,2107.54
3767.747,2106.46
3766.6853333333333,2105.3799999999997
3765.6236666666664,2104.2999999999997
3764.562,2103.22
3763.4303333333332,2103.06
3762.2986666666666,2102.9
3761.167,2102.74
3760.0353333333333,2102.58
3758.9036666666666,2102.42
3757.772,2102.26
3756.6403333333333,2102.8958333333335
3755.5086666666666,2103.5316666666668
3754.377,2104.1675
3753.2453333333333,2104.8033333333333
3752.1136666666666,2105.4391666666666
3750.982,2106.075
3750.0118333333335,2105.5308333333332
3749.0416666666665,2104.9866666666667
3748.0715,2104.4425
3747.1013333333335,2103.898333333333
3746.1311666666666,2103.3541666666665
3745.161,2102.81
3744.1908333333336,2101.2125
3743.2206666666666,2099.615
3742.2505,2098.0175
3741.2803333333336,2096.42
3740.3101666666666,2094.8224999999998
3739.34,2093.225
3737.9390000000003,2092.255833333333
3736.538,2091.2866666666664
3735.137,2090.3175
3733.7360000000003,2089.3483333333334
3732.335,2088.3791666666666
3730.934,2087.41
3729.5328333333337,2088.7
3728.1316666666667,2089.99
3726.7305,2091.2799999999997
3725.3293333333336,2092.57
3723.9281666666666,2093.86
3722.527,2095.15
3721.7345,2098.8225
3720.942,2102.495
3720.1495,2106.1675
3719.357,2109.84
3718.5645,2113.5125
3717.772,2117.185
3716.979333333333,2120.9125
3716.1866666666665,2124.64
3715.3940000000002,2128.3675000000003
3714.6013333333335,2132.0950000000003
3713.808666666667,2135.8225
3713.016,2139.55
3711.7451666666666,2140.4908333333333
3710.4743333333336,2141.431666666667
3709.2035,2142.3725000000004
3707.9326666666666,2143.3133333333335
3706.6618333333336,2144.2541666666666
3705.391,2145.195
3704.12,2142.9075000000003
3702.849,2140.62
3701.578,2138.3325
3700.307,2136.045
3699.036,2133.7574999999997
3697.765,2131.47
3696.9446666666663,2130.1791666666663
3696.124333333333,2128.8883333333333
3695.304,2127.5975
3694.4836666666665,2126.3066666666664
3693.663333333333,2125.0158333333334
3692.843,2123.725
3692.0226666666667,2125.9391666666666
3691.202333333333,2128.153333333333
3690.3819999999996,2130.3675000000003
3689.5616666666665,2132.581666666667
3688.7413333333334,2134.7958333333336
3687.921,2137.01
3687.4049999999997,2140.121666666667
3686.8889999999997,2143.2333333333336
3686.3729999999996,2146.3450000000003
3685.857,2149.4566666666665
3685.341,2152.568333333333
3684.825,2155.68
3684.3089999999997,2156.9341666666664
3683.7929999999997,2158.188333333333
3683.277,2159.4425
3682.761,2160.6966666666667
3682.245,2161.9508333333333
3681.729,2163.205
3680.9296666666664,2156.925
3680.130333333333,2150.645
3679.331,2144.365
