hourly_timestamp,Cogen_Gas,Cogen_Wood,Geo_Geo,Hydro_Hydro,Thrml_Coal,Thrml_Diesel,Thrml_Gas,Wind_Wind,Solar_Solar,kWh
2022-01-01T01:00:00Z,99370,46562,1718078,3447534,0,0,426634,1004246,0,6742424
2022-01-01T02:00:00Z,49540,23734,860871,1627136,0,0,210321,421244,0,3192846
2022-01-01T03:00:00Z,49476,23657,861680,1587010,0,0,215801,359318,0,3096942
2022-01-01T04:00:00Z,50485,22357,862117,1582035,0,0,220012,320242,0,3057248
2022-01-01T05:00:00Z,51034,22007,863288,1618143,0,0,220359,334240,0,3109071
2022-01-01T06:00:00Z,52638,22201,863908,1691727,0,0,206542,420225,0,3257241
2022-01-01T07:00:00Z,53625,22423,861285,1837931,0,0,216870,420545,0,3412679
2022-01-01T08:00:00Z,51116,23624,851348,2027522,0,0,214302,453842,0,3621754
2022-01-01T09:00:00Z,53811,22919,845192,2310163,0,0,212875,472154,0,3917114
2022-01-01T10:00:00Z,56127,24974,838202,2541191,0,0,211294,418734,0,4090522
2022-01-01T11:00:00Z,56367,27007,831125,2679835,0,0,210464,324719,0,4129517
2022-01-01T12:00:00Z,56538,26786,827849,2763285,0,0,209456,226224,0,4110138
2022-01-01T13:00:00Z,56807,26206,823444,2752800,0,0,206065,161910,0,4027232
2022-01-01T14:00:00Z,57130,25063,817936,2707597,0,0,248113,116711,0,3972550
2022-01-01T15:00:00Z,56947,24544,811451,2828272,0,0,219800,82439,0,4023453
2022-01-01T16:00:00Z,57489,24950,800069,2958137,0,0,219360,48747,0,4108752
2022-01-01T17:00:00Z,56684,23937,796861,3079493,0,0,250094,34683,0,4241752
2022-01-01T18:00:00Z,56431,23820,797274,3209194,0,0,245058,36176,0,4367953
2022-01-01T19:00:00Z,57310,26166,790049,3154234,0,0,250634,52707,0,4331100
2022-01-01T20:00:00Z,56290,28742,803738,2986984,0,0,227337,75429,0,4178520
2022-01-01T21:00:00Z,54030,29161,816244,2919044,0,0,238686,87961,0,4145126
2022-01-01T22:00:00Z,56958,31327,822992,2843906,0,0,239490,97889,0,4092562
2022-01-01T23:00:00Z,56838,33214,827309,2563063,0,0,209681,130559,0,3820664
2022-01-02T00:00:00Z,57226,29263,833800,2305279,0,0,209105,118350,0,3553023
2022-01-02T01:00:00Z,58048,30544,838827,2061850,0,0,211405,113367,0,3314041
2022-01-02T02:00:00Z,58906,31699,838924,1933918,0,0,210640,99309,0,3173396
2022-01-02T03:00:00Z,72052,30862,849174,1834119,0,0,211766,102840,0,3100813
2022-01-02T04:00:00Z,100709,31133,860876,1791255,0,0,209621,104970,0,3098564
2022-01-02T05:00:00Z,107434,31882,859825,1816187,0,0,207964,159203,0,3182495
2022-01-02T06:00:00Z,107488,30959,859021,1927877,0,0,211712,205200,0,3342257
2022-01-02T07:00:00Z,107865,30742,857238,2097848,0,0,211699,224297,0,3529689
2022-01-02T08:00:00Z,103812,29943,851957,2382455,0,0,212955,225850,0,3806972
2022-01-02T09:00:00Z,103159,29494,845154,2745149,0,0,212779,150825,0,4086560
2022-01-02T10:00:00Z,102809,30566,832495,2931701,0,0,215377,113010,0,4225958
2022-01-02T11:00:00Z,104872,30861,828909,2935562,0,0,205570,98492,0,4204266
2022-01-02T12:00:00Z,105612,31759,821197,2948825,0,0,210477,97487,0,4215357
2022-01-02T13:00:00Z,106869,31854,815770,2901462,0,0,215223,118821,0,4189999
2022-01-02T14:00:00Z,106955,31513,811161,2849215,0,0,210083,152814,0,4161741
2022-01-02T15:00:00Z,107611,31373,807380,2869846,0,0,207976,169005,0,4193191
2022-01-02T16:00:00Z,105400,31629,805138,2967384,0,0,210388,181841,0,4301780
2022-01-02T17:00:00Z,107163,31417,804156,3032973,0,0,251329,169048,0,4396086
2022-01-02T18:00:00Z,108030,31400,808656,3148651,0,0,272838,143692,0,4513267
2022-01-02T19:00:00Z,106525,31337,815054,3096185,0,0,311341,100075,0,4460517
2022-01-02T20:00:00Z,107228,30946,824469,3004857,0,0,272870,71743,0,4312113
2022-01-02T21:00:00Z,118223,31039,833048,2972454,0,0,255109,52693,0,4262566
2022-01-02T22:00:00Z,114628,31315,837304,2850143,0,0,257236,68687,0,4159313
2022-01-02T23:00:00Z,110842,31036,844180,2612336,0,0,242344,58324,0,3899062
2022-01-03T00:00:00Z,112090,30997,849898,2352099,0,0,212432,78968,0,3636484
2022-01-03T01:00:00Z,111896,31333,852797,2086671,0,0,212293,120364,0,3415354
2022-01-03T02:00:00Z,114111,30942,855696,1945866,0,0,207224,124056,0,3277895
2022-01-03T03:00:00Z,115175,30962,858881,1862764,0,0,207363,121098,0,3196243
2022-01-03T04:00:00Z,114041,31035,858730,1844708,0,0,209244,120617,0,3178375
2022-01-03T05:00:00Z,108981,31567,859212,1927637,0,0,208790,103611,0,3239798
2022-01-03T06:00:00Z,107316,31566,858466,2109669,0,0,206735,115738,0,3429490
2022-01-03T07:00:00Z,104608,31071,855525,2326829,0,0,213102,123759,0,3654894
2022-01-03T08:00:00Z,101903,30517,844942,2636205,0,0,217542,124427,0,3955536
