hour_of_year,Base_2024,Environmental_2025,Environmental_2030,Environmental_2035,Environmental_2040,Environmental_2045,Reference_2025,Reference_2030,Reference_2035,Reference_2040,Reference_2045
43,0,36686.87085,845673.2275,1618732.125,1985106.488,2248237.039,36686.87085,653001.6487,875152.4417,1406638.459,1636733.301
44,0,47406.08941,595657.6341,1093127.362,1323869.049,1479200.2,47406.08941,474425.0425,626317.1808,964663.7285,1107801.552
45,0,61369.90361,843327.7198,1451457.371,1725422.853,1931489.818,61369.90361,653269.6047,884536.3145,1290135.392,1493882.195
46,0,44533.95349,822711.4478,1569678.892,1909948.686,2159599.262,44533.95349,627026.0629,856216.4405,1355317.765,1609375.603
47,0,67141.89668,1172552.732,1864756.46,2195114.779,2450137.903,67141.89668,908043.5422,1220328.377,1679580.074,1965199.106
48,0,40674.01028,1068390.213,1730203.485,2062479.625,2329727.548,40674.01028,816517.7973,1102325.817,1548999.993,1814695.555
49,0,61773.36617,1131408.056,1704601.509,2003425.573,2248452.865,61773.36617,880004.3025,1175537.479,1564381.132,1789367.392
50,0,81479.46093,1167495.51,1738190.991,2044454.084,2346921.743,81479.46093,878790.1977,1223348.526,1590456.552,1831028.023
51,0,91124.60643,1096738.496,1732770.861,2064064.13,2432503.098,91124.60643,784696.8771,1158887.919,1546667.935,1820243.388
52,0,94179.19276,1119721.388,1666745.593,1968879.895,2308733.174,94179.19276,817078.6394,1182629.77,1515269.554,1762929.154
53,0,87503.09209,754413.3849,1255807.329,1539775.539,1823507.728,87503.09209,558199.4543,808800.4367,1114930.925,1306703.494
54,0,48605.25971,370141.3656,684127.0299,891160.3144,1086950.406,48605.25971,274895.273,399801.0392,591339.2227,709959.2973
55,0,74237.0088,467768.7598,796955.7772,1002186.517,1180821.02,74237.0088,368367.1849,510378.5301,709498.3156,831854.6512
56,0,32690.71659,375138.307,623088.7283,778376.9586,918946.6784,32690.71659,284538.468,396408.822,551965.4162,658368.3902
57,0,21363.05356,311556.8179,538200.8,676264.9296,794329.9748,21363.05356,238698.1569,326267.9703,475912.7032,557237.0403
58,0,49955.66633,270839.0368,419072.9149,502624.8292,540077.9322,49955.66633,242562.1231,297361.7035,392121.282,440498.3645
59,0,44703.73303,278157.9105,404214.1553,475855.413,506639.1519,44703.73303,246037.9662,302181.7645,383371.4062,429779.0514
60,0,8633.91587,342157.4462,576288.9412,720790.7174,776713.7883,8633.91587,308568.6564,348464.0262,528208.8208,593490.3882
61,0,8530.765683,362579.0255,631025.217,799027.5728,855652.2802,8530.765683,336180.4022,368535.3758,575073.5974,651259.3611
62,0,11920.87141,308995.4473,591997.233,755532.6984,821254.2438,11920.87141,277979.9819,316985.9,516205.4515,628642.8984
63,0,10368.36117,219388.1366,425433.1072,542944.0635,599733.6792,10368.36117,190778.4459,226368.0222,367809.2581,451572.6367
64,0,11827.78675,177809.6839,354768.5859,464643.0927,533909.2428,11827.78675,149301.8413,185482.3685,304758.0938,370860.0717
65,0,37019.85495,139421.9165,327096.8177,420222.1056,490066.7267,37019.85495,110582.8979,159779.2247,270768.7923,336055.9949
66,0,80460.87088,169609.7474,402973.5857,502146.1362,580881.8138,80460.87088,138068.7359,211912.2176,337454.6082,406067.0759
67,0,55984.6645,176468.529,418812.1247,532232.5587,617581.1075,55984.6645,139550.4039,206831.0985,344367.87,434872.8615
68,0,45359.30664,219318.1235,576920.8207,751086.4443,871121.5186,45359.30664,170261.9346,245271.0418,458812.5179,608965.6511
69,0,27021.51986,151594.8678,414432.5957,535584.7546,622087.9317,27021.51986,112625.468,167676.3417,327566.1497,430827.204
70,0,21312.05432,78338.98275,293629.0759,396819.7883,473176.369,21312.05432,55823.09221,90672.22419,223147.0421,293816.6382
71,0,12649.18824,75412.98504,282183.6929,374912.3036,440723.5671,12649.18824,51754.14853,83454.75447,213057.9017,284137.936
72,0,6054.730657,56019.57723,174630.0965,229735.6304,263429.7619,6054.730657,42672.20909,60003.59088,133719.2098,185051.6764
73,0,4090.950876,52037.40606,199807.6997,266451.245,307763.0677,4090.950876,37699.64904,55179.64957,149125.7975,206084.42
74,0,2544.877389,55809.85931,188316.7853,251314.5518,289630.8145,2544.877389,41792.55373,58114.12053,142160.5314,198822.9316
75,0,3719.009523,77619.13635,153619.7967,200677.6131,222427.4143,3719.009523,66911.04566,80148.98216,125473.0685,181986.8685
76,0,2669.118824,64827.17004,165400.0745,218455.6062,248845.3653,2669.118824,52497.62806,67004.18976,131198.9879,179129.0841
77,0,1691.857566,106115.9092,217727.4869,271401.9863,314887.5614,1691.857566,75032.40485,108755.6412,179751.1296,231829.6332
78,0,1665.581352,94594.89128,137696.889,169940.3752,200943.5702,1665.581352,69885.69843,96710.32841,122793.9972,155478.5855
79,0,1976.464523,39866.85338,78194.70719,100513.7166,115909.2371,1976.464523,31154.13933,41364.74563,65289.42804,86014.31053
80,0,1881.812947,35955.01902,62578.49161,77900.18598,91371.11264,1881.812947,26708.56961,37405.43002,54472.5279,66182.92484
81,0,5544.196047,116592.7774,154053.6956,174849.2489,192588.3196,5544.196047,91704.11776,120615.2563,146772.4664,164863.1433
82,0,19059.86845,85207.20634,133706.0624,160872.3425,173212.4166,19059.86845,77681.09518,95157.56524,126164.2084,137292.084
83,0,15870.87224,112363.1862,165812.3764,206240.9019,229634.0572,15870.87224,98736.46257,121014.5214,154835.1272,180279.0389
84,0,15825.16709,192356.5059,283166.0564,351632.7124,376309.4292,15825.16709,178245.1336,201021.6467,270874.6757,296893.8592
