Northland,Auckland,Waikato,Bay of Plenty,Gisborne,Hawke's Bay,Taranaki,Manawatu-Wanganui,Wellington,Tasman,Nelson,Marlborough,West Coast,Canterbury,Otago,Southland,kWh
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,0.0,1143.8964523502314,53.32697036646879,673.126786668954,0.0,1033.412954127381,1668.918308150383,278.08602795014855,409.15116407419396,493.2607905607553,-0.0,314.0457537085815,436.9178798347756,82.97589057107014,6587.118978362943
3470.1722145530366,6036.956518719783,8907.635180341107,4573.202493865976,394.40707978607577,4978.455900109048,2349.491518105698,1549.214367480541,2889.719789923891,599.8912388021436,882.6268636474161,1064.0693776785563,141.48544205786516,6397.939949772395,1032.9509550222194,455.4214727125346,45723.640362578284
6901.994986204242,20199.099921019828,19833.745301753686,5792.536413426564,845.5325399846358,10672.847111932879,4863.345370834312,7322.210855752913,7346.452995179737,1831.6654320396058,2694.9503692713865,3248.954094207956,345.479399904478,13746.319747285508,2297.976837005235,1080.5478645209291,109023.65924032389
10387.87014219567,33241.291275774856,23358.001476592075,14686.135949141715,1240.0170297442494,15652.28012974401,8045.8971929254885,9716.819780120146,11614.86191160821,3211.002296723535,4724.384526736676,5695.581123040762,516.6040456867712,26144.70266998174,2188.2650634899464,1277.1994165362435,171700.9140300421
12222.633762380603,46926.26725799929,36913.32762876132,12811.300900173674,1300.600643118689,16417.004859374876,7014.27370280282,11101.487728392598,15880.454508226414,5096.7794369695375,7498.950073246162,9040.516968526292,474.64223307719845,32217.3688361499,2742.376434499491,2461.333332878527,220119.31830657742
13534.975336349922,55995.1447097509,32525.548139237948,14385.433762253735,1237.0051022687826,15614.261673992482,7764.44215361146,11702.232279421616,16258.574300321625,4582.6007898706275,6742.433129358832,8128.482056786916,703.7118472963793,33427.887780719,4685.012930860948,2921.007082074355,230208.75307417556
18118.645412464357,59312.594431057485,31853.562330745517,18116.09309940335,1354.899425471265,17102.398472285022,8789.464420173797,13001.14980876778,19008.612115732492,4416.868605820777,6498.589465121552,7834.51119917718,742.891096732121,32795.97181589681,6253.714505917047,3200.999314325834,248400.96551909237
14591.540091146106,49731.509552553296,34259.35633662499,16146.603485201542,1304.1816658657012,16462.20679599568,8588.341771772351,8427.543782379127,17896.152462965776,5265.589712680038,7747.322569066121,9339.947654294756,703.610035678171,36000.574237991605,5938.72868390493,3423.7870137405444,235826.99585186076
13047.900806511905,52287.37056101642,36009.38293620163,14983.359361116463,1188.9673426418426,15007.89865441262,10536.633781419205,11439.129262145048,18986.89863834218,5859.400386379863,8621.00302750152,10393.23150502133,666.1655283699528,35209.7564111396,4650.1416573112365,3282.0264948869967,242169.2663544178
12853.160448828712,62325.26334039153,27190.120787142765,13387.267723799776,1156.2217526425259,14594.563082893284,9159.515662175554,12919.622817013464,22621.851738030404,4200.501676374748,6180.246318928421,7450.725924323734,545.1583017149421,34003.69282501558,4423.156530962605,2710.4425965067535,235721.51152674484
12550.082103556872,41589.63032722691,22748.387765111533,12028.794380140958,906.0310783262023,11436.497970629202,8302.82503380839,11543.9558178192,20121.87397339719,3492.7062365503716,5138.858766072063,6195.25925893033,497.3561595163577,33758.429301281445,2740.5318436373964,2403.5679712184606,195454.78798722287
8922.55513576508,24174.688766027484,17373.780282226562,9330.708566586098,707.3962878547071,8929.203869503757,4753.30107900601,8747.815584531774,11431.625561776758,3266.62759880017,4806.2266720051675,5794.24764246194,409.23037622048867,22537.54707110771,3269.0132562430877,2178.4019635512727,136632.36971366804
7194.106744626471,14246.53327909008,13977.606916858085,4296.248553776707,390.11039749947275,4924.220455623024,3895.9067424438067,6781.451070548882,9277.717512064231,2724.3508436880065,4008.368659360632,4832.373135853152,266.526697647369,11569.824373605108,1788.7394336536452,1791.01897426296,91965.1037906016
4770.067719684875,11063.610066071926,6141.900460670183,1135.0829954921014,139.77386356780445,1764.3142109355713,1326.7349872007806,2991.7469074134137,4451.973607187083,1219.2151488671527,1793.845239521753,2162.607854220097,110.88618187212097,4199.496315632292,2036.7660784535926,1127.9709961089113,46435.99263289965
424.97175290277426,547.3916888932195,364.7678514388156,450.7299193142516,46.16154491245362,582.6802494321424,170.37418485155658,813.4526703128056,166.41969937046377,168.5029619267102,247.92034152331541,298.8855816470499,15.068737101361137,1858.4345793101268,1229.8840157811173,317.00560391628983,7702.651382634453
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10416421594248,32.10416421594248
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
0.0,-0.0,0.0,647.6118175999632,169.29971093543125,2137.0081522127134,0.0,1051.4684736717215,307.3472802390666,0.0,0.0,0.0,-0.0,313.8734539861502,1.1409190829367089,0.0,4627.749807727982
