storage_GWh,inflow_MW
2710.989,5936.973333333333
2712.6400000000003,5878.326666666667
2714.291,5819.68
2715.942,5761.033333333333
2717.5930000000003,5702.386666666666
2719.244,5643.74
2720.8948333333333,5549.219166666667
2722.545666666667,5454.698333333333
2724.1965,5360.1775
2725.847333333333,5265.656666666667
2727.4981666666667,5171.135833333333
2729.149,5076.615
2729.8165,4980.576666666667
2730.484,4884.538333333333
2731.1515,4788.5
2731.819,4692.461666666667
2732.4865,4596.423333333333
2733.154,4500.385
2733.8213333333333,4411.449166666667
2734.4886666666666,4322.513333333333
2735.156,4233.5775
2735.8233333333333,4144.641666666666
2736.4906666666666,4055.7058333333334
2737.158,3966.77
2737.8636666666666,3899.1966666666667
2738.5693333333334,3831.6233333333334
2739.2749999999996,3764.05
2739.9806666666664,3696.4766666666665
2740.686333333333,3628.903333333333
2741.392,3561.33
2742.0976666666666,3507.8849999999998
2742.8033333333333,3454.44
2743.509,3400.995
2744.2146666666667,3347.5499999999997
2744.9203333333335,3294.105
2745.626,3240.66
2745.943666666667,3200.77
2746.2613333333334,3160.88
2746.579,3120.99
2746.896666666667,3081.1
2747.2143333333333,3041.21
2747.532,3001.32
2747.8495000000003,2972.7650000000003
2748.167,2944.21
2748.4845,2915.6549999999997
2748.802,2887.1
2749.1195,2858.545
2749.437,2829.99
2749.2793333333334,2807.7166666666662
2749.1216666666664,2785.443333333333
2748.964,2763.17
2748.8063333333334,2740.8966666666665
2748.6486666666665,2718.623333333333
2748.491,2696.35
2748.3333333333335,2678.5941666666668
2748.1756666666665,2660.838333333333
2748.018,2643.0825
2747.8603333333335,2625.326666666667
2747.7026666666666,2607.570833333333
2747.545,2589.815
2747.0495,2576.4833333333336
2746.554,2563.1516666666666
2746.0585,2549.8199999999997
2745.563,2536.4883333333332
2745.0675,2523.1566666666668
2744.572,2509.825
2744.0765,2504.088333333333
2743.581,2498.3516666666665
2743.0855,2492.615
2742.59,2486.8783333333336
2742.0945,2481.141666666667
2741.599,2475.405
2741.8255,2479.806666666667
2742.052,2484.2083333333335
2742.2785000000003,2488.61
2742.505,2493.0116666666668
2742.7315,2497.4133333333334
2742.958,2501.815
2743.1843333333336,2512.5158333333334
2743.4106666666667,2523.2166666666667
2743.6369999999997,2533.9175
2743.8633333333332,2544.6183333333333
2744.0896666666667,2555.3191666666667
2744.316,2566.02
2744.8819999999996,2584.4525
2745.448,2602.8849999999998
2746.014,2621.3175
2746.58,2639.75
2747.1459999999997,2658.1825
2747.712,2676.615
2748.2780000000002,2691.9575
2748.844,2707.2999999999997
2749.41,2722.6425
2749.976,2737.985
2750.5420000000004,2753.3275
2751.108,2768.67
2751.1026666666667,2771.331666666667
2751.0973333333336,2773.9933333333333
2751.092,2776.6549999999997
2751.0866666666666,2779.3166666666666
2751.0813333333335,2781.9783333333335
2751.076,2784.64
2751.0706666666665,2779.758333333333
2751.0653333333335,2774.8766666666666
2751.06,2769.995
2751.0546666666664,2765.1133333333332
2751.0493333333334,2760.2316666666666
2751.044,2755.35
2750.398833333333,2740.2174999999997
2749.7536666666665,2725.085
2749.1085,2709.9525
2748.463333333333,2694.8199999999997
2747.8181666666665,2679.6875
2747.173,2664.555
2746.5276666666664,2642.4516666666664
2745.882333333333,2620.3483333333334
2745.237,2598.245
2744.5916666666667,2576.1416666666664
2743.9463333333333,2554.0383333333334
2743.301,2531.935
2743.3046666666664,2512.2466666666664
2743.3083333333334,2492.5583333333334
2743.312,2472.87
2743.3156666666664,2453.1816666666664
2743.3193333333334,2433.4933333333333
2743.323,2413.805
2743.3266666666664,2397.9083333333333
2743.3303333333333,2382.0116666666668
2743.334,2366.115
2743.3376666666663,2350.2183333333332
2743.3413333333333,2334.3216666666667
2743.345,2318.425
2742.784333333333,2308.215
2742.2236666666668,2298.005
2741.663,2287.795
2741.1023333333333,2277.585
2740.541666666667,2267.375
2739.981,2257.165
2739.420166666667,2252.73
2738.8593333333333,2248.295
2738.2985,2243.8599999999997
2737.737666666667,2239.4249999999997
2737.1768333333334,2234.99
2736.616,2230.555
2736.0398333333333,2226.9041666666667
2735.4636666666665,2223.253333333333
2734.8875,2219.6025
2734.3113333333336,2215.951666666667
2733.735166666667,2212.3008333333332
2733.159,2208.65
2732.5828333333334,2200.9808333333335
2732.0066666666667,2193.311666666667
2731.4305000000004,2185.6425
2730.8543333333337,2177.9733333333334
2730.278166666667,2170.304166666667
2729.702,2162.635
2729.0606666666667,2152.1908333333336
2728.4193333333333,2141.746666666667
2727.7780000000002,2131.3025
2727.1366666666668,2120.858333333333
2726.4953333333333,2110.4141666666665
2725.854,2099.97
2725.2126666666663,2091.7791666666662
2724.5713333333333,2083.588333333333
2723.93,2075.3975
2723.2886666666664,2067.2066666666665
2722.6473333333333,2059.015833333333
2722.006,2050.825
2721.475,2052.0125
2720.944,2053.2
2720.413,2054.3875
2719.882,2055.575
2719.351,2056.7625
2718.82,2057.95
2718.289,2064.625833333333
2717.7580000000003,2071.3016666666667
2717.227,2077.9775
2716.696,2084.653333333333
2716.165,2091.329166666667
2715.634,2098.005
2714.6001666666666,2097.6516666666666
2713.566333333333,2097.2983333333336
2712.5325000000003,2096.945
2711.498666666667,2096.5916666666667
2710.4648333333334,2096.2383333333337
2709.431,2095.885
2708.3971666666666,2089.8908333333334
2707.3633333333332,2083.896666666667
2706.3295,2077.9025
2705.295666666667,2071.9083333333333
2704.2618333333335,2065.914166666667
2703.228,2059.92
2702.5293333333334,2053.3425
2701.8306666666667,2046.765
2701.132,2040.1875
2700.4333333333334,2033.61
