hour_of_year,Reference_2025,Environmental_2025,Reference_2030,Environmental_2030,Reference_2035,Environmental_2035,Reference_2040,Environmental_2040,Reference_2045,Environmental_2045
48,40674.01027529903,40674.01027529903,775843.7870219137,1027716.202988887,285808.02003164677,661813.2719108714,446674.17574402335,332276.1397126313,265695.56177342794,267247.92288833135
49,61773.36616984717,61773.36616984717,818230.9363571714,1069634.6898064713,295533.1765906063,573193.4530360508,388843.6527626803,298824.0640811559,224986.25997168804,245027.2923047083
50,81479.46092587562,81479.46092587562,797310.7367744388,1086016.0493572576,344558.32794477994,570695.4811661744,367108.02682031156,306263.0922713098,240571.4708617319,302467.65964082826
51,91124.60642816301,91124.60642816301,693572.2707043797,1005613.889419775,374191.04189023725,636032.3655009028,387780.0163311003,331293.26903314097,273575.452408053,368438.96788859286
52,94179.19275688622,94179.19275688622,722899.4466920146,1025542.1949866309,365551.1306314028,547024.204889372,332639.7841261789,302134.30203313404,247659.60025701317,339853.2788897625
53,87503.09208761864,87503.09208761864,470696.362181498,666910.2928574365,250600.98244051106,501393.94446074084,306130.4885323166,283968.20922862575,191772.5685278801,283732.1896936228
54,48605.25971051077,48605.25971051077,226290.01329529297,321536.10586282634,124905.76621672437,313985.664366632,191538.18343244956,207033.2844864113,118620.07466032736,195790.09139460174
55,74237.00879911358,74237.00879911358,294130.17607749306,393531.7510473006,142011.3451878251,329187.01737383753,199119.78553492177,205230.73994266358,122356.33564177302,178634.50267786006
56,32690.716586568746,32690.716586568746,251847.75136563645,342447.5904307487,111870.35404859696,247950.4212471936,155556.5941530676,155288.23034684657,106402.97402699754,140569.71980580653
57,21363.053555767656,21363.053555767656,217335.10331106934,290193.76435678866,87569.81347910756,226643.98213448664,149644.7328345401,138064.12951093633,81324.33713397458,118065.04521481576
58,49955.6663285929,49955.6663285929,192606.4567951605,220883.37050767668,54799.58041212972,148233.8780375731,94759.57843438751,83551.91432148537,48377.08255163448,37453.1030369078
59,44703.73302830035,44703.73302830035,201334.2331243161,233454.17750785555,56143.79839414429,126056.24476349064,81189.64164904271,71641.2577482837,46407.64517309131,30783.738877012078
60,8633.915869590652,8633.915869590652,299934.74051411846,333523.53032489604,39895.369837165934,234131.49501723328,179744.79456480287,144501.77615700965,65281.56741235567,55923.07095921126
61,8530.765682859794,8530.765682859794,327649.6365149006,354048.2598027263,32354.973580309037,268446.19153845974,206538.22164395876,168002.35576474364,76185.76363742053,56624.70739382857
62,11920.871407399074,11920.871407399074,266059.11048337736,297074.5758761291,39005.91809930996,283001.7856941778,199219.55147970052,163535.46545664285,112437.44692634608,65721.54531799669
63,10368.36116988649,10368.36116988649,180410.08474066542,209019.77541763848,35589.57630874188,206044.9705750226,141441.23592093718,117510.9563686661,83763.37852379856,56789.61564946899
64,11827.786753369131,11827.786753369131,137474.05458864942,165981.89715927216,36180.52716126374,176958.90197582895,119275.7252613248,109874.50678558928,66101.9779413456,69266.15009920507
65,37019.85494989201,37019.85494989201,73563.04294277904,102402.06159912594,49196.32680771005,187674.90117806627,110989.5675716634,93125.28783110873,65287.20260768736,69844.62118917512
66,80460.87088072584,80460.87088072584,57607.86499505188,89148.87656072882,73843.48168879477,233363.83830502836,125542.39059516415,99172.55044985845,68612.4677219313,78735.6776393872
67,55984.66449979134,55984.66449979134,83565.73944228803,120483.86449522857,67280.69455397523,242343.59566871668,137536.7714617832,113420.43407290713,90504.99153976077,85348.54871610369
68,45359.3066420769,45359.3066420769,124902.627921469,173958.81684684867,75009.10721993848,357602.6972422323,213541.47610508092,174165.62352052456,150153.13318159358,120035.07437388277
69,27021.519860279284,27021.519860279284,85603.9480955054,124573.34795244524,55050.87373848748,262837.72783755936,159889.80804044925,121152.1589069297,103261.05427008242,86503.17718392414
70,21312.054320073054,21312.054320073054,34511.037892206165,57026.92843089257,34849.13197624035,215290.0931778817,132474.81793087005,103190.71241531559,70669.59603261112,76356.58062533301
