geo_kWh
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
888540.2608695652
889170.6666666666
890167.4583333334
891068.4583333334
891854.0833333334
892598.5416666666
893250.25
893845.7083333334
894362.25
894755.25
895050.8333333334
895310.9583333334
895427.3333333334
895332.375
895111.375
894915.9583333334
894706.125
894368.3333333334
894027.2083333334
893771.5833333334
893519.875
893314.9583333334
893060.0833333334
892886
892780.5833333334
892774.5416666666
892699.2083333334
892622.2916666666
892623.8333333334
892637.8333333334
892621.5833333334
892579.0416666666
892461.5416666666
892436.3333333334
892422.7916666666
892381.7083333334
892328.625
892469.9166666666
892699.75
891914.75
891883.5416666666
891976
892044.7916666666
892102.5
892128.7916666666
891966.25
891631.9166666666
891166.4166666666
890386.4583333334
889876.9166666666
889458.0416666666
889004
888471
887976.2916666666
887572.875
887225.7083333334
886939.125
886596.0833333334
886211.0833333334
884992.2083333334
883440.6666666666
882505.2916666666
881650.2916666666
881371.625
880669.8333333334
880102
879985.2916666666
879951.2083333334
879982.2916666666
880165.3333333334
880414.8333333334
880712.375
881354.875
881815.875
882318.1666666666
882752.25
883127
883412.2083333334
883638.375
883760.9583333334
883856.375
883975.875
884199
885270.3333333334
886773.9166666666
887599.8333333334
888308.0833333334
889471.0833333334
890312.4166666666
891055.5416666666
891532.0833333334
892078.625
892587.6666666666
893075.1666666666
893516.0416666666
893761.5833333334
893988.0416666666
893953.7916666666
893894.4583333334
893873.4583333334
893836.3333333334
893838.75
893868.5416666666
893872.2083333334
893938.125
893981.125
893994.125
893967.7083333334
893928.9583333334
893965.2083333334
893855.9583333334
893643.3333333334
893414.3333333334
893013.9583333334
892305.1666666666
891690.7916666666
890763.5416666666
889695.9583333334
888970.125
888500.9583333334
887969.75
887511
887053.7916666666
886704.4166666666
886503
886352.7916666666
886162.3333333334
886006
885791.9166666666
885726.0833333334
885660.6666666666
885532.6666666666
885247.375
884731.1666666666
884413.8333333334
883999.6666666666
883502
882948.8333333334
882682.3333333334
882102.625
881700.3333333334
881249.5833333334
880692.8333333334
880100.125
879552.75
879053.75
878584.9583333334
878012.1666666666
877354.0833333334
876627.3333333334
875906.375
