house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life,x_num
Mass,H1,Ideal,CH,Hhigh,HPl_Rb R,5,2008.96588739,3769.5827505,93638.1569398,5778.5486378900005,1028,500,1528,7306.5486378900005,7
Mass,H1,Ideal,CH,Hhigh,HPl_Rb Ro,1,2008.96588739,1190.98017465,46132.456939799995,3199.94606204,1028,300,1328,4527.9460620400005,8
Mass,H1,Ideal,CH,Hhigh,HPl_Rb Ro,2,2008.96588739,1739.10247119,56600.0569398,3748.06835858,1028,300,1328,5076.06835858,8
Mass,H1,Ideal,CH,Hhigh,HPl_Rb Ro,3,2008.96588739,2456.9152311000003,69091.6569398,4465.88111849,1028,400,1428,5893.88111849,8
Mass,H1,Ideal,CH,Hhigh,HPl_Rb Ro,4,2008.96588739,3301.5916237,85686.25693979999,5310.55751109,1028,520,1548,6858.55751109,8
Mass,H1,Ideal,CH,Hhigh,HPl_Rb Ro,5,2008.96588739,3910.2294481999998,96179.1569398,5919.19533559,1028,520,1548,7467.19533559,8
Mass,H1,Ideal,CH,Hhigh,HYD1000 HYD1000,3,NA,NA,35579.20454,2601.9951407,NA,NA,3739.4,6341.3951407,9
Mass,H1,Ideal,CH,Hhigh,HYD1000 HYD1000,4,NA,NA,38878.2405,2787.3702957,NA,NA,3739.4,6526.7702957,9
Mass,H1,Ideal,CH,Hhigh,HYD1000 HYD1000,5,NA,NA,42180.257856000004,2991.7225781,NA,NA,3739.4,6731.1225781,9
Mass,H1,Ideal,CH,Hhigh,HYD200 HYD200,3,NA,NA,29931.369577999998,2231.5512795,NA,NA,2911.4,5142.9512795,10
Mass,H1,Ideal,CH,Hhigh,HYD200 HYD200,4,NA,NA,32880.703548,2388.7251969,NA,NA,2911.4,5300.1251969,10
Mass,H1,Ideal,CH,Hhigh,HYD200 HYD200,5,NA,NA,35968.401787999996,2569.3796618,NA,NA,2911.4,5480.7796618,10
Mass,H1,Ideal,CH,Hhigh,HYD500 HYD500,3,NA,NA,31867.375518,2305.04455985,NA,NA,2989.4,5294.444559850001,11
Mass,H1,Ideal,CH,Hhigh,HYD500 HYD500,4,NA,NA,35116.644816,2477.6048254,NA,NA,2989.4,5467.0048254,11
Mass,H1,Ideal,CH,Hhigh,HYD500 HYD500,5,NA,NA,38485.918768,2675.1640681,NA,NA,2989.4,5664.5640681,11
Mass,H1,Ideal,CH,Hhigh,R HP,1,3541.980606,315.84917212,48090.70644839999,3857.82977812,856,400,1256,5113.82977812,12
Mass,H1,Ideal,CH,Hhigh,R HP,2,3541.980606,456.05555058,50689.7624134,3998.03615658,856,400,1256,5254.036156579999,12
Mass,H1,Ideal,CH,Hhigh,R HP,3,3541.980606,638.0746513,53763.8355628,4180.0552572999995,856,500,1356,5536.0552572999995,12
Mass,H1,Ideal,CH,Hhigh,R HP,4,3541.980606,855.2975632299999,57864.5631212,4397.2781692300005,856,650,1506,5903.2781692300005,12
Mass,H1,Ideal,CH,Hhigh,R HP,5,3541.980606,1007.14341023,60459.0323018,4549.12401623,856,650,1506,6055.12401623,12
Mass,H1,Ideal,CH,Hhigh,R HPo,1,3541.980606,331.31890819,48358.672819600004,3873.29951419,856,450,1306,5179.29951419,13
Mass,H1,Ideal,CH,Hhigh,R HPo,2,3541.980606,471.18011143,50952.47054259999,4013.1607174299997,856,450,1306,5319.16071743,13
Mass,H1,Ideal,CH,Hhigh,R HPo,3,3541.980606,663.44556097,54203.9763496,4205.42616697,856,525,1381,5586.42616697,13
Mass,H1,Ideal,CH,Hhigh,R HPo,4,3541.980606,901.87348838,58656.2891662,4443.85409438,856,700,1556,5999.85409438,13
Mass,H1,Ideal,CH,Hhigh,R HPo,5,3541.980606,1052.95455777,61247.5330302,4594.93516377,856,700,1556,6150.93516377,13
Mass,H1,Ideal,CH,Hhigh,R R,1,3541.980606,1142.27165596,64425.915576,4684.25226196,856,250,1106,5790.25226196,14
Mass,H1,Ideal,CH,Hhigh,R R,2,3541.980606,1692.05136659,74908.915576,5234.03197259,856,250,1106,6340.03197259,14
Mass,H1,Ideal,CH,Hhigh,R R,3,3541.980606,2379.4360957,86837.31557600001,5921.4167017,856,320,1176,7097.4167017,14
Mass,H1,Ideal,CH,Hhigh,R R,4,3541.980606,3159.4717947,102296.715576,6701.4524007,856,500,1356,8057.4524007,14
Mass,H1,Ideal,CH,Hhigh,R R,5,3541.980606,3769.5827505,112800.615576,7311.5633565,856,500,1356,8667.563356499999,14
Mass,H1,Ideal,CH,Hhigh,R Ro,1,3541.980606,1190.98017465,65294.915576,4732.96078065,856,300,1156,5888.96078065,15
Mass,H1,Ideal,CH,Hhigh,R Ro,2,3541.980606,1739.10247119,75762.51557599999,5281.08307719,856,300,1156,6437.08307719,15
Mass,H1,Ideal,CH,Hhigh,R Ro,3,3541.980606,2456.9152311000003,88254.115576,5998.8958371,856,400,1256,7254.8958371,15
Mass,H1,Ideal,CH,Hhigh,R Ro,4,3541.980606,3301.5916237,104848.715576,6843.5722297,856,520,1376,8219.5722297,15
Mass,H1,Ideal,CH,Hhigh,R Ro,5,3541.980606,3910.2294481999998,115341.615576,7452.2100542,856,520,1376,8828.2100542,15
Mass,H1,Ideal,CH,Hlow,HP HP,1,1494.68322216,399.85912614,18735.9331852,1894.5423483,844.2602536,400,1244.2602536,3138.8026019,1
Mass,H1,Ideal,CH,Hlow,HP HP,2,1494.68322216,577.49271098,21334.989150200003,2072.17593314,844.2602536,400,1244.2602536,3316.43618674,1
Mass,H1,Ideal,CH,Hlow,HP HP,3,1494.68322216,801.78192078,24409.0622996,2296.46514294,844.2602536,500,1344.2602536,3640.72539654,1
Mass,H1,Ideal,CH,Hlow,HP HP,4,1494.68322216,1061.53047939,28509.789858,2556.2137015499998,844.2602536,650,1494.2602536,4050.4739551499997,1
Mass,H1,Ideal,CH,Hlow,HP HP,5,1494.68322216,1230.44518788,31104.2590386,2725.12841004,844.2602536,650,1494.2602536,4219.38866364,1
Mass,H1,Ideal,CH,Hlow,HP HPo,1,1494.68322216,418.96788871,19003.8995564,1913.65111087,844.2602536,450,1294.2602536,3207.91136447,2
Mass,H1,Ideal,CH,Hlow,HP HPo,2,1494.68322216,596.28104933,21597.6972794,2090.96427149,844.2602536,450,1294.2602536,3385.22452509,2
Mass,H1,Ideal,CH,Hlow,HP HPo,3,1494.68322216,833.75215589,24849.203086400004,2328.43537805,844.2602536,525,1369.2602536,3697.69563165,2
