house_type,insulation,schedule,Loc_code,Hydro_resource,SH_DW_code,Occ_code,kgCO2_SH_life,kgCO2_WH_life,P_annual_kWh_life,kgCO2_op_life,Embodied_SH,Embodied_WH,Embodied,kgCO2_total_life,x_num
Mass,H1,Ideal,AK,Hhigh,R R,3,1002.85173705,2379.4360957,56483.54778,3382.28783275,856,320,1176,4558.28783275,14
Mass,H1,Ideal,AK,Hhigh,R R,4,1002.85173705,3159.4717947,71942.94778,4162.323531749999,856,500,1356,5518.323531749999,14
Mass,H1,Ideal,AK,Hhigh,R R,5,1002.85173705,3769.5827505,82446.84778,4772.43448755,856,500,1356,6128.43448755,14
Mass,H1,Ideal,AK,Hhigh,R Ro,1,1002.85173705,1190.98017465,34941.14778,2193.8319117,856,300,1156,3349.8319117,15
Mass,H1,Ideal,AK,Hhigh,R Ro,2,1002.85173705,1739.10247119,45408.74778,2741.95420824,856,300,1156,3897.95420824,15
Mass,H1,Ideal,AK,Hhigh,R Ro,3,1002.85173705,2456.9152311000003,57900.347780000004,3459.76696815,856,400,1256,4715.76696815,15
Mass,H1,Ideal,AK,Hhigh,R Ro,4,1002.85173705,3301.5916237,74494.94778,4304.44336075,856,520,1376,5680.44336075,15
Mass,H1,Ideal,AK,Hhigh,R Ro,5,1002.85173705,3910.2294481999998,84987.84778,4913.08118525,856,520,1376,6289.08118525,15
Mass,H1,Ideal,AK,Hlow,HP HP,1,355.37692855,359.57224216,8403.501145600001,714.94917071,694.575,400,1094.575,1809.52417071,1
Mass,H1,Ideal,AK,Hlow,HP HP,2,355.37692855,525.53704288,10863.369308000001,880.91397143,694.575,400,1094.575,1975.48897143,1
Mass,H1,Ideal,AK,Hlow,HP HP,3,355.37692855,730.15983088,13722.215634600001,1085.53675943,694.575,500,1194.575,2280.1117594300003,1
Mass,H1,Ideal,AK,Hlow,HP HP,4,355.37692855,960.86713255,17469.4110096,1316.2440611,694.575,650,1344.575,2660.8190611,1
Mass,H1,Ideal,AK,Hlow,HP HP,5,355.37692855,1121.38611449,19945.1845384,1476.76304304,694.575,650,1344.575,2821.3380430400002,1
Mass,H1,Ideal,AK,Hlow,HP HPo,1,355.37692855,375.60576102,8633.3390044,730.98268957,694.575,450,1144.575,1875.55768957,2
Mass,H1,Ideal,AK,Hlow,HP HPo,2,355.37692855,541.02691562,11088.9055068,896.4038441700001,694.575,450,1144.575,2040.9788441700002,2
Mass,H1,Ideal,AK,Hlow,HP HPo,3,355.37692855,756.5268997300001,14098.651853000001,1111.90382828,694.575,525,1219.575,2331.47882828,2
Mass,H1,Ideal,AK,Hlow,HP HPo,4,355.37692855,1009.30977259,18149.1737658,1364.68670114,694.575,700,1394.575,2759.26170114,2
Mass,H1,Ideal,AK,Hlow,HP HPo,5,355.37692855,1168.8965837599999,20621.6841446,1524.2735123100001,694.575,700,1394.575,2918.84851231,2
Mass,H1,Ideal,AK,Hlow,HP R,1,355.37692855,1424.3001382,25206.6098218,1779.67706675,694.575,250,944.575,2724.2520667500003,3
Mass,H1,Ideal,AK,Hlow,HP R,2,355.37692855,2116.82834238,35689.609821800004,2472.20527093,694.575,250,944.575,3416.7802709300004,3
Mass,H1,Ideal,AK,Hlow,HP R,3,355.37692855,2949.0576277,47618.009821800006,3304.43455625,694.575,320,1014.575,4319.00955625,3
Mass,H1,Ideal,AK,Hlow,HP R,4,355.37692855,3858.5893132,63077.4098218,4213.96624175,694.575,500,1194.575,5408.54124175,3
Mass,H1,Ideal,AK,Hlow,HP R,5,355.37692855,4529.6598573,73581.30982180001,4885.03678585,694.575,500,1194.575,6079.61178585,3
Mass,H1,Ideal,AK,Hlow,HP Ro,1,355.37692855,1480.45213785,26075.6098218,1835.8290664,694.575,300,994.575,2830.4040664000004,4
Mass,H1,Ideal,AK,Hlow,HP Ro,2,355.37692855,2170.57626608,36543.2098218,2525.95319463,694.575,300,994.575,3520.52819463,4
Mass,H1,Ideal,AK,Hlow,HP Ro,3,355.37692855,3040.0721144999998,49034.8098218,3395.44904305,694.575,400,1094.575,4490.02404305,4
Mass,H1,Ideal,AK,Hlow,HP Ro,4,355.37692855,4028.5461609,65629.4098218,4383.92308945,694.575,520,1214.575,5598.4980894499995,4
Mass,H1,Ideal,AK,Hlow,HP Ro,5,355.37692855,4696.6579119,76122.30982180001,5052.03484045,694.575,520,1214.575,6266.60984045,4
Mass,H1,Ideal,AK,Hlow,HPl_Rb HP,1,559.98727584,359.57224216,9963.0993385,919.559518,1028,400,1428,2347.559518,5
Mass,H1,Ideal,AK,Hlow,HPl_Rb HP,2,559.98727584,525.53704288,12422.967500900002,1085.52431872,1028,400,1428,2513.5243187200003,5
Mass,H1,Ideal,AK,Hlow,HPl_Rb HP,3,559.98727584,730.15983088,15281.813827499998,1290.14710672,1028,500,1528,2818.14710672,5
Mass,H1,Ideal,AK,Hlow,HPl_Rb HP,4,559.98727584,960.86713255,19029.0092025,1520.85440839,1028,650,1678,3198.8544083899997,5
Mass,H1,Ideal,AK,Hlow,HPl_Rb HP,5,559.98727584,1121.38611449,21504.7827313,1681.37339033,1028,650,1678,3359.37339033,5
Mass,H1,Ideal,AK,Hlow,HPl_Rb HPo,1,559.98727584,375.60576102,10192.9371973,935.59303686,1028,450,1478,2413.59303686,6
Mass,H1,Ideal,AK,Hlow,HPl_Rb HPo,2,559.98727584,541.02691562,12648.503699699999,1101.0141914600001,1028,450,1478,2579.01419146,6
Mass,H1,Ideal,AK,Hlow,HPl_Rb HPo,3,559.98727584,756.5268997300001,15658.2500459,1316.5141755700001,1028,525,1553,2869.51417557,6
Mass,H1,Ideal,AK,Hlow,HPl_Rb HPo,4,559.98727584,1009.30977259,19708.7719587,1569.29704843,1028,700,1728,3297.29704843,6
Mass,H1,Ideal,AK,Hlow,HPl_Rb HPo,5,559.98727584,1168.8965837599999,22181.2823375,1728.8838596,1028,700,1728,3456.8838596,6
Mass,H1,Ideal,AK,Hlow,HPl_Rb R,1,559.98727584,1424.3001382,26766.2080147,1984.28741404,1028,250,1278,3262.28741404,7
Mass,H1,Ideal,AK,Hlow,HPl_Rb R,2,559.98727584,2116.82834238,37249.2080147,2676.81561822,1028,250,1278,3954.81561822,7
Mass,H1,Ideal,AK,Hlow,HPl_Rb R,3,559.98727584,2949.0576277,49177.608014699996,3509.0449035399997,1028,320,1348,4857.04490354,7
Mass,H1,Ideal,AK,Hlow,HPl_Rb R,4,559.98727584,3858.5893132,64637.0080147,4418.57658904,1028,500,1528,5946.57658904,7
Mass,H1,Ideal,AK,Hlow,HPl_Rb R,5,559.98727584,4529.6598573,75140.9080147,5089.64713314,1028,500,1528,6617.64713314,7
Mass,H1,Ideal,AK,Hlow,HPl_Rb Ro,1,559.98727584,1480.45213785,27635.2080147,2040.43941369,1028,300,1328,3368.43941369,8
Mass,H1,Ideal,AK,Hlow,HPl_Rb Ro,2,559.98727584,2170.57626608,38102.80801469999,2730.56354192,1028,300,1328,4058.56354192,8
Mass,H1,Ideal,AK,Hlow,HPl_Rb Ro,3,559.98727584,3040.0721144999998,50594.4080147,3600.05939034,1028,400,1428,5028.05939034,8
Mass,H1,Ideal,AK,Hlow,HPl_Rb Ro,4,559.98727584,4028.5461609,67189.0080147,4588.53343674,1028,520,1548,6136.53343674,8
Mass,H1,Ideal,AK,Hlow,HPl_Rb Ro,5,559.98727584,4696.6579119,77681.9080147,5256.64518774,1028,520,1548,6804.64518774,8
Mass,H1,Ideal,AK,Hlow,HYD1000 HYD1000,3,NA,NA,20400.1249716,1660.16402632,NA,NA,3739.4,5399.56402632,9
Mass,H1,Ideal,AK,Hlow,HYD1000 HYD1000,4,NA,NA,23438.53655,1840.93656966,NA,NA,3739.4,5580.33656966,9
Mass,H1,Ideal,AK,Hlow,HYD1000 HYD1000,5,NA,NA,26514.309712,2044.6368524900001,NA,NA,3739.4,5784.0368524900005,9
Mass,H1,Ideal,AK,Hlow,HYD200 HYD200,3,NA,NA,17794.209050200003,1484.11884741,NA,NA,2539.4,4023.51884741,10
Mass,H1,Ideal,AK,Hlow,HYD200 HYD200,4,NA,NA,20904.5832842,1664.4721164,NA,NA,2539.4,4203.8721164,10
Mass,H1,Ideal,AK,Hlow,HYD200 HYD200,5,NA,NA,24152.862491999997,1878.67309395,NA,NA,2539.4,4418.07309395,10
Mass,H1,Ideal,AK,Hlow,HYD500 HYD500,3,NA,NA,18361.198482,1503.744281,NA,NA,2989.4,4493.144281,11
Mass,H1,Ideal,AK,Hlow,HYD500 HYD500,4,NA,NA,21415.8573992,1680.1933605,NA,NA,2989.4,4669.5933605,11
Mass,H1,Ideal,AK,Hlow,HYD500 HYD500,5,NA,NA,24509.083654,1879.94093954,NA,NA,2989.4,4869.34093954,11
Mass,H1,Ideal,AK,Hlow,R HP,1,1404.16739653,359.57224216,17269.0391038,1763.73963869,856,400,1256,3019.73963869,12
Mass,H1,Ideal,AK,Hlow,R HP,2,1404.16739653,525.53704288,19728.9072662,1929.7044394099998,856,400,1256,3185.70443941,12
Mass,H1,Ideal,AK,Hlow,R HP,3,1404.16739653,730.15983088,22587.7535928,2134.32722741,856,500,1356,3490.32722741,12
Mass,H1,Ideal,AK,Hlow,R HP,4,1404.16739653,960.86713255,26334.948967800003,2365.03452908,856,650,1506,3871.03452908,12
Mass,H1,Ideal,AK,Hlow,R HP,5,1404.16739653,1121.38611449,28810.7224966,2525.55351102,856,650,1506,4031.55351102,12
Mass,H1,Ideal,AK,Hlow,R HPo,1,1404.16739653,375.60576102,17498.8769626,1779.77315755,856,450,1306,3085.77315755,13
Mass,H1,Ideal,AK,Hlow,R HPo,2,1404.16739653,541.02691562,19954.443465,1945.19431215,856,450,1306,3251.19431215,13
Mass,H1,Ideal,AK,Hlow,R HPo,3,1404.16739653,756.5268997300001,22964.189811199998,2160.69429626,856,525,1381,3541.69429626,13
Mass,H1,Ideal,AK,Hlow,R HPo,4,1404.16739653,1009.30977259,27014.711723999997,2413.47716912,856,700,1556,3969.47716912,13
Mass,H1,Ideal,AK,Hlow,R HPo,5,1404.16739653,1168.8965837599999,29487.2221028,2573.06398029,856,700,1556,4129.0639802900005,13
Mass,H1,Ideal,AK,Hlow,R R,1,1404.16739653,1424.3001382,34072.14778,2828.46753473,856,250,1106,3934.46753473,14
Mass,H1,Ideal,AK,Hlow,R R,2,1404.16739653,2116.82834238,44555.14778,3520.99573891,856,250,1106,4626.99573891,14
Mass,H1,Ideal,AK,Hlow,R R,3,1404.16739653,2949.0576277,56483.54778,4353.22502423,856,320,1176,5529.22502423,14
Mass,H1,Ideal,AK,Hlow,R R,4,1404.16739653,3858.5893132,71942.94778,5262.75670973,856,500,1356,6618.75670973,14
Mass,H1,Ideal,AK,Hlow,R R,5,1404.16739653,4529.6598573,82446.84778,5933.82725383,856,500,1356,7289.82725383,14
Mass,H1,Ideal,AK,Hlow,R Ro,1,1404.16739653,1480.45213785,34941.14778,2884.61953438,856,300,1156,4040.61953438,15
Mass,H1,Ideal,AK,Hlow,R Ro,2,1404.16739653,2170.57626608,45408.74778,3574.7436626100002,856,300,1156,4730.743662610001,15
Mass,H1,Ideal,AK,Hlow,R Ro,3,1404.16739653,3040.0721144999998,57900.347780000004,4444.23951103,856,400,1256,5700.23951103,15
Mass,H1,Ideal,AK,Hlow,R Ro,4,1404.16739653,4028.5461609,74494.94778,5432.71355743,856,520,1376,6808.71355743,15
Mass,H1,Ideal,AK,Hlow,R Ro,5,1404.16739653,4696.6579119,84987.84778,6100.82530843,856,520,1376,7476.82530843,15
Mass,H1,Ideal,CH,Hhigh,HP HP,1,1102.5135004200001,315.84917212,18735.9331852,1418.36267254,844.2602536,400,1244.2602536,2662.62292614,1
Mass,H1,Ideal,CH,Hhigh,HP HP,2,1102.5135004200001,456.05555058,21334.989150200003,1558.5690510000002,844.2602536,400,1244.2602536,2802.8293046,1
Mass,H1,Ideal,CH,Hhigh,HP HP,3,1102.5135004200001,638.0746513,24409.0622996,1740.58815172,844.2602536,500,1344.2602536,3084.84840532,1
Mass,H1,Ideal,CH,Hhigh,HP HP,4,1102.5135004200001,855.2975632299999,28509.789858,1957.8110636499998,844.2602536,650,1494.2602536,3452.07131725,1
Mass,H1,Ideal,CH,Hhigh,HP HP,5,1102.5135004200001,1007.14341023,31104.2590386,2109.65691065,844.2602536,650,1494.2602536,3603.91716425,1
Mass,H1,Ideal,CH,Hhigh,HP HPo,1,1102.5135004200001,331.31890819,19003.8995564,1433.8324086100001,844.2602536,450,1294.2602536,2728.09266221,2
Mass,H1,Ideal,CH,Hhigh,HP HPo,2,1102.5135004200001,471.18011143,21597.6972794,1573.69361185,844.2602536,450,1294.2602536,2867.95386545,2
Mass,H1,Ideal,CH,Hhigh,HP HPo,3,1102.5135004200001,663.44556097,24849.203086400004,1765.95906139,844.2602536,525,1369.2602536,3135.21931499,2
Mass,H1,Ideal,CH,Hhigh,HP HPo,4,1102.5135004200001,901.87348838,29301.515903,2004.3869888,844.2602536,700,1544.2602536,3548.6472424,2
Mass,H1,Ideal,CH,Hhigh,HP HPo,5,1102.5135004200001,1052.95455777,31892.759767,2155.46805819,844.2602536,700,1544.2602536,3699.72831179,2
Mass,H1,Ideal,CH,Hhigh,HP R,1,1102.5135004200001,1142.27165596,35071.142312799995,2244.78515638,844.2602536,250,1094.2602536,3339.04540998,3
Mass,H1,Ideal,CH,Hhigh,HP R,2,1102.5135004200001,1692.05136659,45554.142312799995,2794.56486701,844.2602536,250,1094.2602536,3888.82512061,3
Mass,H1,Ideal,CH,Hhigh,HP R,3,1102.5135004200001,2379.4360957,57482.542312800004,3481.94959612,844.2602536,320,1164.2602536,4646.20984972,3
Mass,H1,Ideal,CH,Hhigh,HP R,4,1102.5135004200001,3159.4717947,72941.9423128,4261.98529512,844.2602536,500,1344.2602536,5606.24554872,3
Mass,H1,Ideal,CH,Hhigh,HP R,5,1102.5135004200001,3769.5827505,83445.8423128,4872.096250920001,844.2602536,500,1344.2602536,6216.356504520001,3
Mass,H1,Ideal,CH,Hhigh,HP Ro,1,1102.5135004200001,1190.98017465,35940.142312799995,2293.49367507,844.2602536,300,1144.2602536,3437.75392867,4
Mass,H1,Ideal,CH,Hhigh,HP Ro,2,1102.5135004200001,1739.10247119,46407.7423128,2841.61597161,844.2602536,300,1144.2602536,3985.87622521,4
Mass,H1,Ideal,CH,Hhigh,HP Ro,3,1102.5135004200001,2456.9152311000003,58899.34231280001,3559.42873152,844.2602536,400,1244.2602536,4803.688985119999,4
Mass,H1,Ideal,CH,Hhigh,HP Ro,4,1102.5135004200001,3301.5916237,75493.9423128,4404.10512412,844.2602536,520,1364.2602536,5768.36537772,4
Mass,H1,Ideal,CH,Hhigh,HP Ro,5,1102.5135004200001,3910.2294481999998,85986.8423128,5012.74294862,844.2602536,520,1364.2602536,6377.003202219999,4
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HP,1,2008.96588739,315.84917212,28928.247812200003,2324.81505951,1028,400,1428,3752.81505951,5
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HP,2,2008.96588739,456.05555058,31527.3037772,2465.02143797,1028,400,1428,3893.02143797,5
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HP,3,2008.96588739,638.0746513,34601.376926599994,2647.04053869,1028,500,1528,4175.04053869,5
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HP,4,2008.96588739,855.2975632299999,38702.104484999996,2864.26345062,1028,650,1678,4542.26345062,5
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HP,5,2008.96588739,1007.14341023,41296.5736656,3016.1092976200002,1028,650,1678,4694.10929762,5
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HPo,1,2008.96588739,331.31890819,29196.2141834,2340.28479558,1028,450,1478,3818.28479558,6
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HPo,2,2008.96588739,471.18011143,31790.011906400003,2480.14599882,1028,450,1478,3958.14599882,6
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HPo,3,2008.96588739,663.44556097,35041.517713400004,2672.41144836,1028,525,1553,4225.411448360001,6
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HPo,4,2008.96588739,901.87348838,39493.83053,2910.83937577,1028,700,1728,4638.83937577,6
Mass,H1,Ideal,CH,Hhigh,HPl_Rb HPo,5,2008.96588739,1052.95455777,42085.074393999996,3061.92044516,1028,700,1728,4789.92044516,6
Mass,H1,Ideal,CH,Hhigh,HPl_Rb R,1,2008.96588739,1142.27165596,45263.456939799995,3151.23754335,1028,250,1278,4429.23754335,7
Mass,H1,Ideal,CH,Hhigh,HPl_Rb R,2,2008.96588739,1692.05136659,55746.456939799995,3701.01725398,1028,250,1278,4979.0172539800005,7
Mass,H1,Ideal,CH,Hhigh,HPl_Rb R,3,2008.96588739,2379.4360957,67674.8569398,4388.40198309,1028,320,1348,5736.40198309,7
Mass,H1,Ideal,CH,Hhigh,HPl_Rb R,4,2008.96588739,3159.4717947,83134.25693979999,5168.43768209,1028,500,1528,6696.43768209,7
