house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,Nom,Ideal,AK,Hlow,Rb,NA,NA,4,NA,NA,2024,2024,887.9253732,887.9253732,0.231552866,156.0395422,0.175734974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,156.0395422,25.17647059,887.9253732,0.231552866
Mass,Nom,Ideal,AK,Hlow,Rl,NA,NA,7,NA,NA,2024,2024,1563.88151,1563.88151,0.861348021,255.0057258,0.163059493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.5294118,255.0057258,25.17647059,1563.88151,0.861348021
Mass,Nom,Ideal,CH,Hhigh,HP,NA,NA,NA,15.5,NA,2024,2024,1990.511485,6756.827442,0.710638543,208.2306183,0.104611614,3.394518189,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966.561829,208.2306183,98.32809145,1990.511485,0.710638543
Mass,Nom,Ideal,CH,Hhigh,HPl,NA,NA,NA,8.5,NA,2024,2024,964.1722575,3452.191552,0.512422304,101.7922399,0.105574745,3.580471773,NA,NA,NA,NA,NA,NA,NA,NA,NA,993.2473572,101.7922399,49.66236786,964.1722575,0.512422304
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,11.2,1000,2024,2024,3363.289519,9409.754133,1.19010314,340.9000364,0.101359111,2.797782968,984.7122305,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,340.9000364,211.60942515000002,3363.289519,1.19010314
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,11.2,1000,2024,2024,3500.14591,9885.106867,1.201826744,354.2782376,0.101218134,2.824198511,980.69261530000006,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,354.2782376,211.60942515000002,3500.14591,1.201826744
Mass,Nom,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,11.2,1000,2024,2024,3641.631127,10360.4334,1.292254896,367.2086861,0.100836321,2.844998035,977.6190741,0,0,0,0,12,1947.529412,1090.909091,1193.75,4232.188503,367.2086861,211.60942515000002,3641.631127,1.292254896
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,14,200,2024,2024,3088.90245,8801.8,1.0892521020000001,310.9155609,0.100655675,2.849491087,371.0684792,16.508218,11,-253.3240955,74,14,2129.882353,0,1193.75,3323.632353,310.9155609,166.18161765,3088.90245,1.0892521020000001
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,14,200,2024,2024,3228.067381,9280.366667,1.066065305,324.1061152,0.100402525,2.874898684,370.3501987,34.46732806,22,-220.884272,86,14,2129.882353,0,1193.75,3323.632353,324.1061152,166.18161765,3228.067381,1.066065305
Mass,Nom,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,14,200,2024,2024,3373.51789,9759.166667,1.176963865,336.7719796,0.099828129,2.892875326,369.6293383,64.20254969,18,-341.8447558,125,14,2129.882353,0,1193.75,3323.632353,336.7719796,166.18161765,3373.51789,1.176963865
