Hshld_code,Loc_code,Occ_code,SH_code,DW_code,Grid_code,Tank_Volume (L),HP_cap (kW),P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code
Mod-H1-Real,AK,,Rl,,2030-Hhigh,,,1686.918049,1686.918049,,,1.154369743,112.5788719,0.06673642,,,,,C0
Mod-H1-Real,AK,,Rl,,2030-Hlow,,,1686.918049,1686.918049,,,1.154369743,198.7574808,0.117822843,,,,,C0
Mod-H1-Real,AK,,Rl,,2035-Hhigh,,,1686.918049,1686.918049,,,1.154369743,120.1134746,0.07120291,,,,,C0
Mod-H1-Real,AK,,Rl,,2035-Hlow,,,1686.918049,1686.918049,,,1.154369743,177.5826738,0.105270481,,,,,C0
Mod-H1-Real,AK,,Rl,,2040-Hhigh,,,1686.918049,1686.918049,,,1.154369743,128.0328892,0.075897516,,,,,C0
Mod-H1-Real,AK,,Rl,,2040-Hlow,,,1686.918049,1686.918049,,,1.154369743,182.6666664,0.108284256,,,,,C0
Mod-H1-Real,AK,,Rl,,2045-Hhigh,,,1686.918049,1686.918049,,,1.154369743,147.0887196,0.087193755,,,,,C0
Mod-H1-Real,AK,,Rl,,2045-Hlow,,,1686.918049,1686.918049,,,1.154369743,200.378876,0.118784001,,,,,C0
Mod-H1-Real,AK,,Rb,,2024-Hhigh,,,498.3491919,498.3491919,,,0.33671559,44.24820376,0.088789557,,,,,C0
Mod-H1-Real,AK,,Rb,,2024-Hlow,,,498.3491919,498.3491919,,,0.33671559,84.45028696,0.169460066,,,,,C0
Mod-H1-Real,AK,,Rb,,2025-Hhigh,,,498.3491919,498.3491919,,,0.33671559,36.35014637,0.072941116,,,,,C0
Mod-H1-Real,AK,,Rb,,2025-Hlow,,,498.3491919,498.3491919,,,0.33671559,71.82075075,0.144117322,,,,,C0
Mod-H1-Real,AK,,Rb,,2030-Hhigh,,,498.3491919,498.3491919,,,0.33671559,36.35110732,0.072943045,,,,,C0
Mod-H1-Real,AK,,Rb,,2030-Hlow,,,498.3491919,498.3491919,,,0.33671559,68.0368039,0.136524359,,,,,C0
Mod-H1-Real,AK,,Rb,,2035-Hhigh,,,498.3491919,498.3491919,,,0.33671559,38.99391631,0.078246171,,,,,C0
Mod-H1-Real,AK,,Rb,,2035-Hlow,,,498.3491919,498.3491919,,,0.33671559,58.1756881,0.116736796,,,,,C0
Mod-H1-Real,AK,,Rb,,2040-Hhigh,,,498.3491919,498.3491919,,,0.33671559,42.61928391,0.085520925,,,,,C0
Mod-H1-Real,AK,,Rb,,2040-Hlow,,,498.3491919,498.3491919,,,0.33671559,61.455926,0.123319004,,,,,C0
Mod-H1-Real,AK,,Rb,,2045-Hhigh,,,498.3491919,498.3491919,,,0.33671559,48.49891614,0.097319143,,,,,C0
Mod-H1-Real,AK,,Rb,,2045-Hlow,,,498.3491919,498.3491919,,,0.33671559,67.9410417,0.1363322,,,,,C0
Mod-H1-Real,AK,,R,,2024-Hhigh,,,2185.267241,2185.267241,,,1.491085333,188.2603443,0.086149804,,,,,C0
Mod-H1-Real,AK,,R,,2024-Hlow,,,2185.267241,2185.267241,,,1.491085333,338.0782777,0.154707979,,,,,C0
Mod-H1-Real,AK,,R,,2025-Hhigh,,,2185.267241,2185.267241,,,1.491085333,151.5559258,0.069353497,,,,,C0
Mod-H1-Real,AK,,R,,2025-Hlow,,,2185.267241,2185.267241,,,1.491085333,283.5849542,0.129771292,,,,,C0
Mod-H1-Real,AK,,R,,2030-Hhigh,,,2185.267241,2185.267241,,,1.491085333,148.9299792,0.068151838,,,,,C0
Mod-H1-Real,AK,,R,,2030-Hlow,,,2185.267241,2185.267241,,,1.491085333,266.7942847,0.122087715,,,,,C0
Mod-H1-Real,AK,,R,,2035-Hhigh,,,2185.267241,2185.267241,,,1.491085333,159.1073909,0.072809123,,,,,C0
Mod-H1-Real,AK,,R,,2035-Hlow,,,2185.267241,2185.267241,,,1.491085333,235.7583619,0.107885369,,,,,C0
Mod-H1-Real,AK,,R,,2040-Hhigh,,,2185.267241,2185.267241,,,1.491085333,170.6521732,0.07809213,,,,,C0
Mod-H1-Real,AK,,R,,2040-Hlow,,,2185.267241,2185.267241,,,1.491085333,244.1225924,0.111712924,,,,,C0
Mod-H1-Real,AK,,R,,2045-Hhigh,,,2185.267241,2185.267241,,,1.491085333,195.5876357,0.089502845,,,,,C0
Mod-H1-Real,AK,,R,,2045-Hlow,,,2185.267241,2185.267241,,,1.491085333,268.3199177,0.12278586,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2024-Hhigh,,,5867.605446,5867.605446,,,3.280447081,524.6754307,0.089419003,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2024-Hlow,,,5867.605446,5867.605446,,,3.280447081,788.3689937,0.134359578,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2025-Hhigh,,,5867.605446,5867.605446,,,3.280447081,417.3422699,0.071126505,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2025-Hlow,,,5867.605446,5867.605446,,,3.280447081,642.6675788,0.109528083,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2030-Hhigh,,,5867.605446,5867.605446,,,3.280447081,401.431237,0.068414831,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2030-Hlow,,,5867.605446,5867.605446,,,3.280447081,602.193321,0.102630166,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2035-Hhigh,,,5867.605446,5867.605446,,,3.280447081,415.7090163,0.070848154,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2035-Hlow,,,5867.605446,5867.605446,,,3.280447081,553.3137444,0.094299753,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2040-Hhigh,,,5867.605446,5867.605446,,,3.280447081,429.0642457,0.07312425,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2040-Hlow,,,5867.605446,5867.605446,,,3.280447081,554.6194696,0.094522284,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2045-Hhigh,,,5867.605446,5867.605446,,,3.280447081,485.6963041,0.082775897,,,,,C0
Mod-Nom-Ideal,CH,,Rl,,2045-Hlow,,,5867.605446,5867.605446,,,3.280447081,607.9182454,0.103605849,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2024-Hhigh,,,5056.106239,5056.106239,,,1.245439724,457.2303719,0.090431322,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2024-Hlow,,,5056.106239,5056.106239,,,1.245439724,746.2390192,0.147591641,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2025-Hhigh,,,5056.106239,5056.106239,,,1.245439724,362.9921345,0.071792822,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2025-Hlow,,,5056.106239,5056.106239,,,1.245439724,621.4659765,0.122913947,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2030-Hhigh,,,5056.106239,5056.106239,,,1.245439724,346.0022874,0.068432559,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2030-Hlow,,,5056.106239,5056.106239,,,1.245439724,577.7042752,0.11425873,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2035-Hhigh,,,5056.106239,5056.106239,,,1.245439724,376.6572671,0.074495521,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2035-Hlow,,,5056.106239,5056.106239,,,1.245439724,543.5545744,0.107504579,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2040-Hhigh,,,5056.106239,5056.106239,,,1.245439724,384.8669192,0.076119231,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2040-Hlow,,,5056.106239,5056.106239,,,1.245439724,536.5626308,0.106121708,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2045-Hhigh,,,5056.106239,5056.106239,,,1.245439724,430.0623386,0.085058011,,,,,C0
Mod-Nom-Ideal,CH,,Rb,,2045-Hlow,,,5056.106239,5056.106239,,,1.245439724,568.8988171,0.11251718,,,,,C0
Mod-Nom-Ideal,CH,,R,,2024-Hhigh,,,10923.71168,10923.71168,,,4.525886804,981.9058026,0.089887561,,,,,C0
Mod-Nom-Ideal,CH,,R,,2024-Hlow,,,10923.71168,10923.71168,,,4.525886804,1534.608013,0.140484119,,,,,C0
