house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),year,Grid_year,P_annual (kWh),Q_annual (kWh),sCOP_annual,Q_standing_losses_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,unmet_demand_DW (L.K),unmet_demand_DW (min),unmet_demand_SH (L.K),unmet_demand_SH (min),CS_code,Hyd_Cap_kW_Adj,Hyd_Embodied_HP,Hyd_Embodied_Tank,Hyd_Embodied_FC,Embodied,kgCO2_oper_year,kgCO2_embod_year,P_annual_kWh_year,P_avg_peak_kW_year
Mass,H1,Ideal,AK,Hlow,Rb,NA,NA,2,NA,NA,2024,2024,86.39709665,86.39709665,NA,NA,0.03777853,15.24123765,0.176409142,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,15.24123765,25.17647059,86.39709665,0.03777853
Mass,H1,Ideal,AK,Hlow,Rl,NA,NA,5,NA,NA,2024,2024,452.5368934,452.5368934,NA,NA,0.292156638,69.12671608,0.152753769,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,69.12671608,25.17647059,452.5368934,0.292156638
Mass,H1,Ideal,CH,Hhigh,HP,NA,NA,NA,8.5,NA,2024,2024,584.3428324,1918.650708,3.283433289,NA,0.342511423,61.66079783,0.105521612,NA,NA,NA,NA,C0,NA,NA,NA,NA,993.2473572,61.66079783,49.66236786,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hhigh,HPl,NA,NA,NA,5,NA,2024,2024,379.1447511,1250.165598,3.297330623,NA,0.261959279,39.25208842,0.103527975,NA,NA,NA,NA,C0,NA,NA,NA,NA,705.8823529,39.25208842,35.294117645,379.1447511,0.261959279
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2024,1693.982598,4561.500326,2.820552299,974.1031087,0.74201537,170.5694652,0.100691392,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,170.5694652,179.4145722,1693.982598,0.74201537
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1843.938778,5033.442435,2.848270194,966.6977832,0.754874597,184.8833921,0.100265472,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,184.8833921,179.4145722,1843.938778,0.754874597
Mass,H1,Ideal,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1994.030476,5506.922867,2.872251362,961.993413,0.836702038,198.3478315,0.099470812,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,198.3478315,179.4145722,1994.030476,0.836702038
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2024,1443.164556,3985.185867,2.916519196,391.7092306,0.644914674,148.0195599,0.102565961,0,0,-184.5926599,56,C0,12,1947.529412,0,987.5,2935.029412,148.0195599,146.7514706,1443.164556,0.644914674
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2024,1578.011496,4463.869333,2.973404391,390.9890882,0.632248332,161.0133784,0.102035618,37.09402899,5,-95.13898551,48,C0,12,1947.529412,0,987.5,2935.029412,161.0133784,146.7514706,1578.011496,0.632248332
Mass,H1,Ideal,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2024,1718.371319,4942.5366,3.010758074,390.3155868,0.752021298,173.3904523,0.100903949,40.96967998,2,-249.6029066,101,C0,12,1947.529412,0,987.5,2935.029412,173.3904523,146.7514706,1718.371319,0.752021298
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2024,2024,1525.263097,4220.4,2.913600461,629.9121468,0.657096249,152.7523891,0.100148223,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,152.7523891,145.3236631,1525.263097,0.657096249
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2024,2024,1672.957156,4695.6,2.941716117,625.7135286,0.678221924,166.7275965,0.09966041,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,166.7275965,145.3236631,1672.957156,0.678221924
Mass,H1,Ideal,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2024,2024,1826.105973,5171.8,2.956395576,623.3202958,0.757206801,180.0180153,0.098580268,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,180.0180153,145.3236631,1826.105973,0.757206801
Mass,H1,Ideal,CH,Hhigh,R,NA,NA,8.5,NA,NA,2024,2024,1918.650708,1918.650708,NA,NA,1.111468888,199.1068121,0.103774393,NA,NA,NA,NA,C0,NA,NA,NA,NA,1007.058824,199.1068121,50.3529412,1918.650708,1.111468888
Mass,H1,Ideal,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,2024,2024,668.4851098,668.4851098,NA,NA,0.280849937,71.99046394,0.107691948,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,71.99046394,25.17647059,668.4851098,0.280849937
Mass,H1,Ideal,CH,Hhigh,Rl,NA,NA,5,NA,NA,2024,2024,1250.165598,1250.165598,NA,NA,0.830618951,127.1163481,0.101679608,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,127.1163481,25.17647059,1250.165598,0.830618951
Mass,H1,Ideal,CH,Hlow,HP,NA,NA,NA,8.5,NA,2024,2024,584.3428324,1918.650708,3.283433289,NA,0.342511423,90.90604624,0.155569712,NA,NA,NA,NA,C0,NA,NA,NA,NA,993.2473572,90.90604624,49.66236786,584.3428324,0.342511423
Mass,H1,Ideal,CH,Hlow,HPl,NA,NA,NA,5,NA,2024,2024,379.1447511,1250.165598,3.297330623,NA,0.261959279,56.32988211,0.148570914,NA,NA,NA,NA,C0,NA,NA,NA,NA,705.8823529,56.32988211,35.294117645,379.1447511,0.261959279
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2024,1693.982598,4561.500326,2.820552299,974.1031087,0.74201537,247.0020737,0.145811459,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,247.0020737,179.4145722,1693.982598,0.74201537
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1843.938778,5033.442435,2.848270194,966.6977832,0.754874597,262.2059608,0.142198843,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,262.2059608,179.4145722,1843.938778,0.754874597
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1994.030476,5506.922867,2.872251362,961.993413,0.836702038,278.8514148,0.139843106,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,278.8514148,179.4145722,1994.030476,0.836702038
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2024,2024,1443.164556,3985.185867,2.916519196,391.7092306,0.644914674,219.2255101,0.151906107,0,0,-184.5926599,56,C0,12,1947.529412,0,987.5,2935.029412,219.2255101,146.7514706,1443.164556,0.644914674
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,2024,2024,1578.011496,4463.869333,2.973404391,390.9890882,0.632248332,233.0709529,0.147699148,37.09402899,5,-95.13898551,48,C0,12,1947.529412,0,987.5,2935.029412,233.0709529,146.7514706,1578.011496,0.632248332
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,2024,2024,1718.371319,4942.5366,3.010758074,390.3155868,0.752021298,249.2001368,0.145021122,40.96967998,2,-249.6029066,101,C0,12,1947.529412,0,987.5,2935.029412,249.2001368,146.7514706,1718.371319,0.752021298
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,2024,2024,1525.263097,4220.4,2.913600461,629.9121468,0.657096249,221.7036477,0.145354364,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,221.7036477,145.3236631,1525.263097,0.657096249
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,2024,2024,1672.957156,4695.6,2.941716117,625.7135286,0.678221924,236.4415299,0.141331491,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,236.4415299,145.3236631,1672.957156,0.678221924
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,2024,2024,1826.105973,5171.8,2.956395576,623.3202958,0.757206801,253.2829672,0.138701133,0,0,0,0,C0,6,1509.882353,409.0909091,987.5,2906.473262,253.2829672,145.3236631,1826.105973,0.757206801
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,2024,2024,1918.650708,1918.650708,NA,NA,1.111468888,292.0660228,0.152224697,NA,NA,NA,NA,C0,NA,NA,NA,NA,1007.058824,292.0660228,50.3529412,1918.650708,1.111468888
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,2024,2024,668.4851098,668.4851098,NA,NA,0.280849937,110.277852,0.164966804,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,110.277852,25.17647059,668.4851098,0.280849937
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2024,2024,1250.165598,1250.165598,NA,NA,0.830618951,181.7881707,0.145411273,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,181.7881707,25.17647059,1250.165598,0.830618951
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,2024,2024,133.3106768,530.2778946,3.977760125,NA,0.081080262,13.35745366,0.100197928,NA,NA,NA,NA,C0,NA,NA,NA,NA,817.1470588,13.35745366,40.85735294,133.3106768,0.081080262
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,5,NA,2024,2024,120.2443884,451.7643111,3.757051095,NA,0.075756903,11.84656125,0.098520699,NA,NA,NA,NA,C0,NA,NA,NA,NA,705.8823529,11.84656125,35.294117645,120.2443884,0.075756903
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2024,945.1301733,3060.524044,3.312545639,861.4321648,0.345131064,83.61714865,0.088471568,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,83.61714865,179.4145722,945.1301733,0.345131064
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1083.054517,3530.518789,3.324895917,852.1081541,0.36446211,96.44436137,0.089048483,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,96.44436137,179.4145722,1083.054517,0.36446211
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1222.876568,4002.205489,3.330548848,845.5635167,0.4103511,108.496477,0.088722345,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,108.496477,179.4145722,1222.876568,0.4103511
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,2024,2024,834.8609322,2551.558333,3.135941632,346.4842293,0.311540681,74.55756804,0.089305374,11.61972745,1,-265.3832572,62,C0,9,1509.882353,0,987.5,2497.382353,74.55756804,124.86911764999999,834.8609322,0.311540681
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,2024,2024,976.7931151,3029.966667,3.170807601,345.5463935,0.293939852,87.67336823,0.089756333,83.81209042,7,-177.7636724,57,C0,9,1509.882353,0,987.5,2497.382353,87.67336823,124.86911764999999,976.7931151,0.293939852
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,2024,2024,1124.810989,3508.516667,3.17915646,344.8187406,0.414146937,100.2616131,0.08913641,158.9013232,6,-166.5289549,59,C0,9,1509.882353,0,987.5,2497.382353,100.2616131,124.86911764999999,1124.810989,0.414146937
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,2024,2024,852.8202344,2756.466233,3.314617615,554.2117651,0.316562303,75.80638466,0.088889055,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,75.80638466,145.3236631,852.8202344,0.316562303
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,2024,2024,991.5411753,3230.228633,3.328999861,548.6700004,0.329206714,88.63827665,0.089394449,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,88.63827665,145.3236631,991.5411753,0.329206714
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,2024,2024,1132.093393,3705.5308,3.335664702,545.413947,0.379134606,100.5928441,0.088855606,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,100.5928441,145.3236631,1132.093393,0.379134606
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,2024,2024,530.2778946,530.2778946,NA,NA,0.329818026,53.11507944,0.100164612,NA,NA,NA,NA,C0,NA,NA,NA,NA,1007.058824,53.11507944,50.3529412,530.2778946,0.329818026
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,2024,2024,78.51358348,78.51358348,NA,NA,0.037782231,8.659291771,0.110290365,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,8.659291771,25.17647059,78.51358348,0.037782231
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,2024,2024,451.7643111,451.7643111,NA,NA,0.292035795,44.45578767,0.098404824,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,44.45578767,25.17647059,451.7643111,0.292035795
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,2024,2024,133.3106768,530.2778946,3.977760125,NA,0.081080262,20.888649,0.156691493,NA,NA,NA,NA,C0,NA,NA,NA,NA,817.1470588,20.888649,40.85735294,133.3106768,0.081080262
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,5,NA,2024,2024,120.2443884,451.7643111,3.757051095,NA,0.075756903,18.44737018,0.153415643,NA,NA,NA,NA,C0,NA,NA,NA,NA,705.8823529,18.44737018,35.294117645,120.2443884,0.075756903
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,2024,2024,945.1301733,3060.524044,3.312545639,861.4321648,0.345131064,118.1330144,0.124991263,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,118.1330144,179.4145722,945.1301733,0.345131064
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1083.054517,3530.518789,3.324895917,852.1081541,0.36446211,131.4920391,0.121408514,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,131.4920391,179.4145722,1083.054517,0.36446211
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1222.876568,4002.205489,3.330548848,845.5635167,0.4103511,146.7312147,0.119988573,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,146.7312147,179.4145722,1222.876568,0.4103511
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,2024,2024,834.8609322,2551.558333,3.135941632,346.4842293,0.311540681,107.6928263,0.128994929,11.61972745,1,-265.3832572,62,C0,9,1509.882353,0,987.5,2497.382353,107.6928263,124.86911764999999,834.8609322,0.311540681
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,2024,2024,976.7931151,3029.966667,3.170807601,345.5463935,0.293939852,121.5060982,0.124392869,83.81209042,7,-177.7636724,57,C0,9,1509.882353,0,987.5,2497.382353,121.5060982,124.86911764999999,976.7931151,0.293939852
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,2024,2024,1124.810989,3508.516667,3.17915646,344.8187406,0.414146937,138.1796267,0.122846974,158.9013232,6,-166.5289549,59,C0,9,1509.882353,0,987.5,2497.382353,138.1796267,124.86911764999999,1124.810989,0.414146937
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,2024,2024,852.8202344,2756.466233,3.314617615,554.2117651,0.316562303,107.6142692,0.126186346,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,107.6142692,145.3236631,852.8202344,0.316562303
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,2024,2024,991.5411753,3230.228633,3.328999861,548.6700004,0.329206714,120.9105517,0.121942038,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,120.9105517,145.3236631,991.5411753,0.329206714
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,2024,2024,1132.093393,3705.5308,3.335664702,545.413947,0.379134606,136.2741444,0.120373589,0,0,0,0,C0,5,1509.882353,409.0909091,987.5,2906.473262,136.2741444,145.3236631,1132.093393,0.379134606
Mass,H1,Real,AK,Hlow,R,NA,NA,7,NA,NA,2024,2024,530.2778946,530.2778946,NA,NA,0.329818026,82.81632378,0.156175327,NA,NA,NA,NA,C0,NA,NA,NA,NA,1007.058824,82.81632378,50.3529412,530.2778946,0.329818026
Mass,H1,Real,AK,Hlow,Rb,NA,NA,2,NA,NA,2024,2024,78.51358348,78.51358348,NA,NA,0.037782231,13.82459424,0.176079012,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,13.82459424,25.17647059,78.51358348,0.037782231
Mass,H1,Real,AK,Hlow,Rl,NA,NA,5,NA,NA,2024,2024,451.7643111,451.7643111,NA,NA,0.292035795,68.99172953,0.152716201,NA,NA,NA,NA,C0,NA,NA,NA,NA,503.5294118,68.99172953,25.17647059,451.7643111,0.292035795
Mass,H1,Real,CH,Hhigh,HP,NA,NA,NA,8.5,NA,2024,2024,540.1156813,1797.95054,3.32882492,NA,0.37055866,57.74437176,0.106911119,NA,NA,NA,NA,C0,NA,NA,NA,NA,993.2473572,57.74437176,49.66236786,540.1156813,0.37055866
Mass,H1,Real,CH,Hhigh,HPl,NA,NA,NA,5,NA,2024,2024,379.3076315,1250.597853,3.297054289,NA,0.262316992,39.29159443,0.103587672,NA,NA,NA,NA,C0,NA,NA,NA,NA,705.8823529,39.29159443,35.294117645,379.3076315,0.262316992
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2024,2024,1628.13719,4439.320632,2.852632021,972.6253269,0.825181072,165.4100678,0.101594674,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,165.4100678,179.4145722,1628.13719,0.825181072
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2024,2024,1777.524413,4911.074798,2.879371713,965.0833927,0.85059026,179.7534306,0.101125717,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,179.7534306,179.4145722,1777.524413,0.85059026
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2024,2024,1927.717315,5384.644702,2.901523198,960.4189263,0.9182468,193.1417061,0.100191924,0,0,0,0,C0,5,1509.882353,1090.909091,987.5,3588.291444,193.1417061,179.4145722,1927.717315,0.9182468
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2024,2024,1379.269636,3863.260933,2.955028235,390.4844095,0.70544713,142.7084883,0.103466708,0,0,-244.4734064,68,C0,12,1947.529412,0,987.5,2935.029412,142.7084883,146.7514706,1379.269636,0.70544713
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2024,2024,1513.669481,4341.944,3.011575936,389.842638,0.687446891,155.5562099,0.10276762,39.84926559,5,-109.3989895,51,C0,12,1947.529412,0,987.5,2935.029412,155.5562099,146.7514706,1513.669481,0.687446891
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2024,2024,1653.71891,4820.609067,3.047544796,389.0627319,0.818454758,167.8726631,0.101512211,40.96967998,2,-227.4714394,89,C0,12,1947.529412,0,987.5,2935.029412,167.8726631,146.7514706,1653.71891,0.818454758
