house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3667.1045103,40566.653116,3947.1205884,7614.225098700001
Mass,H1,Ideal,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3884.0299695,43868.670472,3947.1205884,7831.1505579
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,3045.7776174,31749.620231999997,3228.5323532,6274.3099706
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3225.6361678000003,34716.252912,3228.5323532,6454.1685210000005
Mass,H1,Ideal,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3428.9169426999997,37804.169018,3228.5323532,6657.4492959
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,3,NA,6,500,3094.8462497,33555.788134,3197.1205882,6291.9668378999995
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,4,NA,6,500,3287.3836089,36805.057432,3197.1205882,6484.5041971
Mass,H1,Ideal,CH,Hlow,HYD500,HYD500,5,NA,6,500,3503.2835064,40174.331406,3197.1205882,6700.4040946000005
Mass,H1,Ideal,CH,Hlow,R,NA,NA,8.5,NA,NA,4797.0508787,42210.315576,1107.7647064,5904.8155851
Mass,H1,Ideal,CH,Hlow,Rb,NA,NA,3.5,NA,NA,1846.13923602,14706.6724156,553.8823529800001,2400.021589
Mass,H1,Ideal,CH,Hlow,Rl,NA,NA,5,NA,NA,2950.9116427,27503.643156000002,553.8823529800001,3504.79399568
Mass,H1,Real,AK,Hhigh,HP,NA,NA,NA,6.5,NA,249.0449093,2932.8348896,898.86176468,1147.90667398
Mass,H1,Real,AK,Hhigh,HPl,NA,NA,NA,5,NA,219.839230075,2645.3765448,776.47058819,996.3098182649999
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,3,NA,5,1000,1261.26586641,20792.8638126,3947.1205884,5208.38645481
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,4,NA,5,1000,1416.14796036,23827.199374,3947.1205884,5363.26854876
Mass,H1,Real,AK,Hhigh,HYD1000,HYD1000,5,NA,5,1000,1594.9432239,26903.284495999997,3947.1205884,5542.0638123
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,3,NA,8.5,200,1115.91995992,18366.9405084,2747.1205883,3863.04054822
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,4,NA,8.5,200,1268.05550638,21489.4485322,2747.1205883,4015.1760946799996
Mass,H1,Real,AK,Hhigh,HYD200,HYD200,5,NA,8.5,200,1450.77979879,24745.841758000002,2747.1205883,4197.90038709
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,3,NA,5,500,1142.26931698,18762.0451568,3197.1205882,4339.38990518
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,4,NA,5,500,1293.38609464,21813.9058566,3197.1205882,4490.5066828399995
Mass,H1,Real,AK,Hhigh,HYD500,HYD500,5,NA,5,500,1467.78756771,24906.054646000004,3197.1205882,4664.90815591
Mass,H1,Real,AK,Hhigh,R,NA,NA,7,NA,NA,988.61998898,11666.113681199999,1107.7647064,2096.3846953800003
Mass,H1,Real,AK,Hhigh,Rb,NA,NA,2,NA,NA,165.12877230499998,1727.29883656,553.8823529800001,719.011125285
Mass,H1,Real,AK,Hhigh,Rl,NA,NA,5,NA,NA,823.49121669,9938.8148442,553.8823529800001,1377.37356967
Mass,H1,Real,AK,Hlow,HP,NA,NA,NA,6.5,NA,347.29371964,2932.8348896,898.86176468,1246.15548432
Mass,H1,Real,AK,Hlow,HPl,NA,NA,NA,5,NA,307.2472928,2645.3765448,776.47058819,1083.71788099
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,3,NA,5,1000,1647.75930306,20792.8638126,3947.1205884,5594.87989146
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,4,NA,5,1000,1820.02097734,23827.199374,3947.1205884,5767.14156574
Mass,H1,Real,AK,Hlow,HYD1000,HYD1000,5,NA,5,1000,2020.4104853,26903.284495999997,3947.1205884,5967.5310737
Mass,H1,Real,AK,Hlow,HYD200,HYD200,3,NA,8.5,200,1487.1433600599998,18366.9405084,2747.1205883,4234.26394836
Mass,H1,Real,AK,Hlow,HYD200,HYD200,4,NA,8.5,200,1661.36807037,21489.4485322,2747.1205883,4408.4886586699995
Mass,H1,Real,AK,Hlow,HYD200,HYD200,5,NA,8.5,200,1873.64191732,24745.841758000002,2747.1205883,4620.7625056199995
Mass,H1,Real,AK,Hlow,HYD500,HYD500,3,NA,5,500,1498.42766898,18762.0451568,3197.1205882,4695.54825718
Mass,H1,Real,AK,Hlow,HYD500,HYD500,4,NA,5,500,1668.00507958,21813.9058566,3197.1205882,4865.12566778
Mass,H1,Real,AK,Hlow,HYD500,HYD500,5,NA,5,500,1864.50888008,24906.054646000004,3197.1205882,5061.62946828
Mass,H1,Real,AK,Hlow,R,NA,NA,7,NA,NA,1377.71177404,11666.113681199999,1107.7647064,2485.47648044
Mass,H1,Real,AK,Hlow,Rb,NA,NA,2,NA,NA,227.860028735,1727.29883656,553.8823529800001,781.7423817150001
Mass,H1,Real,AK,Hlow,Rl,NA,NA,5,NA,NA,1149.85174523,9938.8148442,553.8823529800001,1703.73409821
Mass,H1,Real,CH,Hhigh,HP,NA,NA,NA,8.5,NA,1037.75425888,11882.5449886,1092.5720929200002,2130.3263518000003
Mass,H1,Real,CH,Hhigh,HPl,NA,NA,NA,5,NA,692.88067657,8344.767893,776.47058819,1469.35126476
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,3,NA,5,1000,2504.1011851,35819.01818,3947.1205884,6451.2217734999995
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,4,NA,5,1000,2683.8713532,39105.537086000004,3947.1205884,6630.9919416
Mass,H1,Real,CH,Hhigh,HYD1000,HYD1000,5,NA,5,1000,2880.4333162,42409.78093,3947.1205884,6827.553904599999
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,3,NA,11.2,200,2155.3158734,30343.931991999998,3228.5323532,5383.8482266
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,4,NA,11.2,200,2307.4957958,33300.728581999996,3228.5323532,5536.028149
Mass,H1,Real,CH,Hhigh,HYD200,HYD200,5,NA,11.2,200,2483.752203,36381.81602,3228.5323532,5712.2845562
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,3,NA,6,500,2242.03489755,32344.782381999998,3197.1205882,5439.15548575
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,4,NA,6,500,2410.86493645,35590.919342,3197.1205882,5607.98552465
Mass,H1,Real,CH,Hhigh,HYD500,HYD500,5,NA,6,500,2603.794588,38962.445324,3197.1205882,5800.9151762
Mass,H1,Real,CH,Hhigh,R,NA,NA,8.5,NA,NA,3368.3467541,39554.91188,1107.7647064,4476.1114605
Mass,H1,Real,CH,Hhigh,Rb,NA,NA,3.5,NA,NA,1140.6748359599999,12041.7590986,553.8823529800001,1694.5571889399998
Mass,H1,Real,CH,Hhigh,Rl,NA,NA,5,NA,NA,2227.67191835,27513.152766,553.8823529800001,2781.55427133
Mass,H1,Real,CH,Hlow,HP,NA,NA,NA,8.5,NA,1373.55938545,11882.5449886,1092.5720929200002,2466.13147837
Mass,H1,Real,CH,Hlow,HPl,NA,NA,NA,5,NA,917.61669568,8344.767893,776.47058819,1694.08728387
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,3,NA,5,1000,3284.6980608999997,35819.01818,3947.1205884,7231.818649299999
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,4,NA,5,1000,3486.1693123,39105.537086000004,3947.1205884,7433.2899007
Mass,H1,Real,CH,Hlow,HYD1000,HYD1000,5,NA,5,1000,3704.7501686,42409.78093,3947.1205884,7651.870757000001
Mass,H1,Real,CH,Hlow,HYD200,HYD200,3,NA,11.2,200,2876.1729238000003,30343.931991999998,3228.5323532,6104.705277000001
Mass,H1,Real,CH,Hlow,HYD200,HYD200,4,NA,11.2,200,3054.0699871,33300.728581999996,3228.5323532,6282.6023403
Mass,H1,Real,CH,Hlow,HYD200,HYD200,5,NA,11.2,200,3256.3495297,36381.81602,3228.5323532,6484.8818829
Mass,H1,Real,CH,Hlow,HYD500,HYD500,3,NA,6,500,2947.3290723,32344.782381999998,3197.1205882,6144.4496605
Mass,H1,Real,CH,Hlow,HYD500,HYD500,4,NA,6,500,3139.1497471,35590.919342,3197.1205882,6336.2703353
Mass,H1,Real,CH,Hlow,HYD500,HYD500,5,NA,6,500,3356.4397521,38962.445324,3197.1205882,6553.5603403000005
Mass,H1,Real,CH,Hlow,R,NA,NA,8.5,NA,NA,4467.8336351,39554.91188,1107.7647064,5575.5983415
