Hshld_code,Loc_code,SH_code,Grid_code,P_annual (kWh),Q_annual (kWh),P_avg_peak (kW),kgCO2,kgCO2_kWh_dispatched,sCOP_annual,Occ_code,DW_code,Tank_Volume (L),Q_standing_losses_annual (kWh),unmet_demand_DW (L.K),unmet_demand_DW (min),HP_cap,unmet_demand_SH (L.K),unmet_demand_SH (min)
Mod-Nom-Ideal,AK,Rl,2024-Hhigh,2233.508469594546,2233.508469594546,1.413018111909291,197.37115094600574,0.08836821244820933,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2024-Hlow,2233.508469594546,2233.508469594546,1.413018111909291,360.04687016509683,0.16120237512708288,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2025-Hhigh,2233.508469594546,2233.508469594546,1.4467622211843683,160.50520196774306,0.0718623654903265,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2025-Hlow,2233.508469594546,2233.508469594546,1.4467622211843683,251.33800801103652,0.11253058201147653,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2030-Hhigh,2233.508469594546,2233.508469594546,1.4200183063756628,157.66282077850542,0.07058975729208956,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2030-Hlow,2233.508469594546,2233.508469594546,1.4200183063756628,233.90508440800795,0.10472540739926958,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2035-Hhigh,2233.508469594546,2233.508469594546,1.4200183063756628,139.79652732713723,0.0625905516948923,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2035-Hlow,2233.508469594546,2233.508469594546,1.4200183063756628,209.4108954912981,0.09375872012220887,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2040-Hhigh,2233.508469594546,2233.508469594546,1.4200183063756628,155.16367967442204,0.06947082663294725,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2040-Hlow,2233.508469594546,2233.508469594546,1.4200183063756628,251.9208620643669,0.11279154097414221,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2045-Hhigh,2233.508469594546,2233.508469594546,1.4200183063756628,147.1657224679121,0.06588993257528476,,,,,,,,,,
Mod-Nom-Ideal,AK,Rl,2045-Hlow,2233.508469594546,2233.508469594546,1.4200183063756628,236.7363554447164,0.10599304129242532,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2024-Hhigh,1157.0023147021138,1157.0023147021138,0.4177784950669235,96.87198959913238,0.08372670336798194,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2024-Hlow,1157.0023147021138,1157.0023147021138,0.4177784950669235,206.69707772544805,0.17864880225297133,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2025-Hhigh,1157.0023147021138,1157.0023147021138,0.4527943278982247,82.17633651329635,0.07102521357915674,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2025-Hlow,1157.0023147021138,1157.0023147021138,0.4527943278982247,151.58416880848057,0.1310145769652224,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2030-Hhigh,1157.0023147021138,1157.0023147021138,0.4177784950669235,80.67583434240265,0.06972832579265302,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2030-Hlow,1157.0023147021138,1157.0023147021138,0.4177784950669235,135.75645024327798,0.11733464014566847,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2035-Hhigh,1157.0023147021138,1157.0023147021138,0.4177784950669235,70.35163172492732,0.06080509159831742,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2035-Hlow,1157.0023147021138,1157.0023147021138,0.4177784950669235,115.80256345906261,0.10008844579440411,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2040-Hhigh,1157.0023147021138,1157.0023147021138,0.4177784950669235,81.27366752764685,0.07024503451280638,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2040-Hlow,1157.0023147021138,1157.0023147021138,0.4177784950669235,141.6788773682592,0.1224534087511626,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2045-Hhigh,1157.0023147021138,1157.0023147021138,0.4177784950669235,77.25228726923062,0.06676934547803415,,,,,,,,,,
Mod-Nom-Ideal,AK,Rb,2045-Hlow,1157.0023147021138,1157.0023147021138,0.4177784950669235,134.09587913351157,0.11589940437417051,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2024-Hhigh,3390.510784296661,3390.510784296661,1.830796606976215,294.2431405451381,0.08678431046671244,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2024-Hlow,3390.510784296661,3390.510784296661,1.830796606976215,566.7439478905446,0.16715591954918732,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2025-Hhigh,3390.510784296661,3390.510784296661,1.8995565490825932,242.68153848103935,0.0715766897439266,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2025-Hlow,3390.510784296661,3390.510784296661,1.8995565490825932,402.92217681951723,0.11883819355056285,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2030-Hhigh,3390.510784296661,3390.510784296661,1.8377968014425867,238.33865512090804,0.07029579620415508,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2030-Hlow,3390.510784296661,3390.510784296661,1.8377968014425867,369.66153465128576,0.10902827277925016,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2035-Hhigh,3390.510784296661,3390.510784296661,1.8377968014425867,210.14815905206453,0.06198126843464926,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2035-Hlow,3390.510784296661,3390.510784296661,1.8377968014425867,325.21345895036063,0.09591872129019759,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2040-Hhigh,3390.510784296661,3390.510784296661,1.8377968014425867,236.43734720206896,0.06973502290485012,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2040-Hlow,3390.510784296661,3390.510784296661,1.8377968014425867,393.5997394326259,0.11608862630834414,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2045-Hhigh,3390.510784296661,3390.510784296661,1.8377968014425867,224.4180097371427,0.06619002976676765,,,,,,,,,,
Mod-Nom-Ideal,AK,R,2045-Hlow,3390.510784296661,3390.510784296661,1.8377968014425867,370.83223457822805,0.10937355996499352,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2024-Hhigh,1684.7373555181127,1684.7373555181127,1.1538501469480826,144.95203149622313,0.08603835548695693,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2024-Hlow,1684.7373555181127,1684.7373555181127,1.1538501469480826,275.96145139292395,0.16380087405853042,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2025-Hhigh,1684.7373555181127,1684.7373555181127,1.1836010366289302,118.17267727457826,0.07014308603505515,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2025-Hlow,1684.7373555181127,1684.7373555181127,1.1836010366289302,191.7909242670365,0.11384025150202384,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2030-Hhigh,1684.7373555181127,1684.7373555181127,1.1512813660895267,116.36404803865692,0.06906954823404572,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2030-Hlow,1684.7373555181127,1684.7373555181127,1.1512813660895267,177.7373930129376,0.105498576636165,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2035-Hhigh,1684.7373555181127,1684.7373555181127,1.1512813660895267,103.48081193502757,0.0614225188253179,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2035-Hlow,1684.7373555181127,1684.7373555181127,1.1512813660895267,158.88304297447738,0.09430730698412962,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2040-Hhigh,1684.7373555181127,1684.7373555181127,1.1512813660895267,115.22967326271154,0.06839622382995988,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2040-Hlow,1684.7373555181127,1684.7373555181127,1.1512813660895267,192.40929982632062,0.11420729717668567,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2045-Hhigh,1684.7373555181127,1684.7373555181127,1.1512813660895267,109.20906830561337,0.06482260748116905,,,,,,,,,,
Mod-H1-Ideal,AK,Rl,2045-Hlow,1684.7373555181127,1684.7373555181127,1.1512813660895267,180.67556126853512,0.10724256850882931,,,,,,,,,,
Mod-H1-Ideal,AK,Rb,2024-Hhigh,577.4506731790643,577.4506731790643,0.3233454045991835,50.30280509896025,0.08711186502221224,,,,,,,,,,
Mod-H1-Ideal,AK,Rb,2024-Hlow,577.4506731790643,577.4506731790643,0.3233454045991835,108.54777124151234,0.1879775646358148,,,,,,,,,,
Mod-H1-Ideal,AK,Rb,2025-Hhigh,577.4506731790643,577.4506731790643,0.35110671598147764,42.54601212740421,0.07367904152431548,,,,,,,,,,
