house_type,insulation,schedule,Loc_code,Hydro_resource,SH_code,DW_code,Occ_code,CS_code,R_cap,HP_cap,Tank_Volume (L),kgCO2_oper_life,P_annual_kWh_life,kgCO2_embod_life,kgCO2_total_life
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,C0,NA,5,1000,2033.8434458502522,26988.57163095447,3947.1205884,5980.964034250253
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,Cpeak,NA,5,1000,2031.6834640476468,26983.411008209456,3947.1205884,5978.804052447647
Mass,H1,Ideal,AK,Hlow,HYD1000,HYD1000,5,Crenew,NA,5,1000,1599.5725632464764,27284.155969324172,3947.1205884,5546.6931516464765
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,C0,NA,8.5,200,1497.94197002141,18443.208739312016,2747.1205883,4245.06255832141
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,Cpeak,NA,8.5,200,1496.2139615261744,18438.684357349885,2747.1205883,4243.334549826174
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,3,Crenew,NA,8.5,200,1437.086875050619,18474.03311845086,2747.1205883,4184.207463350619
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,C0,NA,8.5,200,1671.9972976345723,21567.951152140668,2747.1205883,4419.117885934572
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,Cpeak,NA,8.5,200,1670.079808456717,21563.7744846775,2747.1205883,4417.200396756717
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,4,Crenew,NA,8.5,200,1619.9131780183632,21610.709825415946,2747.1205883,4367.033766318363
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,C0,NA,8.5,200,1883.8527764609175,24824.748579788422,2747.1205883,4630.973364760917
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,Cpeak,NA,8.5,200,1880.9335280813439,24807.123683088903,2747.1205883,4628.054116381343
Mass,H1,Ideal,AK,Hlow,HYD200,HYD200,5,Crenew,NA,8.5,200,1837.315373233363,24885.664605572936,2747.1205883,4584.435961533363
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,C0,NA,5,500,1509.2575963006802,18835.460394268248,3197.1205882,4706.37818450068
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,Cpeak,NA,5,500,1507.4043896224296,18831.886652917063,3197.1205882,4704.52497782243
Mass,H1,Ideal,AK,Hlow,HYD500,HYD500,3,Crenew,NA,5,500,1282.4539749065284,19055.111390691087,3197.1205882,4479.574563106528
